선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강승호,두산,2루수,103,82,686 1/3,5,0,137,226,46,0.986,0,0,0,-
강승호,두산,3루수,12,4,49,1,0,8,10,0,0.947,0,0,0,-
강승호,두산,유격수,1,0,4,2,0,2,1,0,0.600,0,0,0,-
강승호,두산,1루수,17,0,22,0,0,12,5,2,1.0,0,0,0,-
고봉재,두산,투수,1,0,1 1/3,0,0,0,0,0,-,0,0,0,-
곽빈,두산,투수,21,21,98 2/3,1,0,3,6,0,0.9,0,0,0,-
국해성,두산,우익수,3,1,13,0,0,2,0,0,1.000,0,0,0,-
권민석,두산,2루수,6,0,19,0,0,5,4,2,1.0,0,0,0,-
권민석,두산,3루수,10,0,19,1,0,5,2,0,0.875,0,0,0,-
권민석,두산,1루수,11,0,14,0,0,7,0,1,1.0,0,0,0,-
권민석,두산,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
권민석,두산,좌익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
권휘,두산,투수,24,0,20 1/3,0,0,1,3,0,1.0,0,0,0,-
김강률,두산,투수,50,0,51 2/3,0,1,4,7,1,1.0,0,0,0,-
김도윤,두산,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
김명신,두산,투수,58,1,67,0,0,2,11,0,1.0,0,0,0,-
김민규,두산,투수,31,6,56 1/3,0,0,3,1,0,1.0,0,0,0,-
김민혁,두산,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
김민혁,두산,1루수,1,0,2,0,0,2,0,1,1.000,0,0,0,-
김인태,두산,우익수,83,75,536,0,0,145,4,2,1.0,0,0,0,-
김인태,두산,좌익수,38,18,188,0,0,40,1,1,1.0,0,0,0,-
김인태,두산,1루수,1,0,2,0,0,3,0,0,1.000,0,0,0,-
김재호,두산,유격수,83,63,543,4,0,108,150,41,0.985,0,0,0,-
김재환,두산,좌익수,126,125,948,4,0,199,4,0,0.981,0,0,0,-
남호,두산,투수,5,0,2 2/3,0,0,0,1,0,1.0,0,0,0,-
로켓,두산,투수,21,21,124,4,1,7,15,1,0.846,0,0,0,-
문원,두산,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
미란다,두산,투수,28,28,173 2/3,0,0,4,15,0,1.0,0,0,0,-
박건우,두산,우익수,88,63,571 2/3,0,0,129,3,1,1.0,0,0,0,-
박건우,두산,중견수,57,55,361 1/3,1,0,109,0,0,0.991,0,0,0,-
박계범,두산,유격수,64,43,374 1/3,1,0,70,87,21,0.994,0,0,0,-
박계범,두산,2루수,56,36,316 1/3,8,0,73,105,27,0.957,0,0,0,-
박계범,두산,3루수,27,18,140 2/3,2,0,18,21,1,0.951,0,0,0,-
박세혁,두산,포수,96,73,575 1/3,4,2,495,51,1,0.993,2,39,19,32.8
박소준,두산,투수,22,5,59 2/3,1,0,3,6,1,0.9,0,0,0,-
박웅,두산,투수,10,0,11 2/3,0,0,0,1,0,1.0,0,0,0,-
박정수,두산,투수,12,5,30 1/3,1,0,2,2,1,0.8,0,0,0,-
박지훈,두산,1루수,14,0,20 2/3,0,0,20,3,1,1.0,0,0,0,-
박지훈,두산,3루수,6,0,9,0,0,1,1,0,1.0,0,0,0,-
박지훈,두산,2루수,1,0,2,0,0,0,0,0,-,0,0,0,-
박지훈,두산,우익수,1,1,2,0,0,0,0,0,-,0,0,0,-
박지훈,두산,유격수,1,0,4,0,0,3,1,0,1.000,0,0,0,-
박치국,두산,투수,23,0,22,0,0,2,4,0,1.0,0,0,0,-
백동훈,두산,우익수,2,0,1 1/3,0,0,1,0,0,1.000,0,0,0,-
백동훈,두산,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
백동훈,두산,중견수,2,2,8,0,0,5,0,0,1.000,0,0,0,-
서예일,두산,3루수,3,1,7,1,0,0,2,0,0.667,0,0,0,-
서예일,두산,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
서예일,두산,유격수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
신성현,두산,3루수,2,2,17,0,0,2,4,1,1.000,0,0,0,-
신성현,두산,1루수,6,0,13,0,0,10,2,2,1.0,0,0,0,-
안권수,두산,중견수,11,1,27 1/3,0,0,6,0,0,1.0,0,0,0,-
안권수,두산,우익수,52,3,107 1/3,0,0,27,0,0,1.0,0,0,0,-
안권수,두산,좌익수,18,0,32,0,0,6,1,0,1.0,0,0,0,-
안재석,두산,유격수,61,37,340,9,0,67,97,22,0.948,0,0,0,-
안재석,두산,3루수,9,3,33,1,0,4,8,1,0.923,0,0,0,-
안재석,두산,2루수,24,15,108 1/3,3,0,25,33,6,0.951,0,0,0,-
양석환,두산,1루수,127,125,1014 1/3,8,0,854,57,92,0.991,0,0,0,-
오명진,두산,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
오명진,두산,3루수,1,0,3,0,0,0,0,0,-,0,0,0,-
오명진,두산,2루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
오재원,두산,1루수,14,2,40 1/3,0,0,30,3,4,1.0,0,0,0,-
오재원,두산,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
오재원,두산,우익수,1,0,1 1/3,0,0,0,1,0,1.000,0,0,0,-
오재원,두산,2루수,28,10,125 1/3,2,0,32,47,12,0.975,0,0,0,-
유재유,두산,투수,4,0,3 1/3,0,0,0,1,0,1.000,0,0,0,-
유희관,두산,투수,15,15,63,0,0,6,4,0,1.0,0,0,0,-
윤명준,두산,투수,45,0,45 2/3,0,2,1,13,1,1.0,0,0,0,-
이교훈,두산,투수,11,0,8 1/3,0,0,0,1,0,1.0,0,0,0,-
이승진,두산,투수,47,0,48 1/3,1,0,2,5,1,0.875,0,0,0,-
이영하,두산,투수,35,11,78 2/3,0,0,2,8,0,1.0,0,0,0,-
이현승,두산,투수,38,0,23 1/3,0,0,1,1,0,1.0,0,0,0,-
이형범,두산,투수,4,0,2 2/3,0,0,1,0,0,1.000,0,0,0,-
장승현,두산,포수,91,57,505,4,0,429,33,5,0.991,7,30,16,34.8
장원준,두산,투수,32,0,18 2/3,0,0,0,5,0,1.0,0,0,0,-
전민재,두산,2루수,4,0,6,1,0,3,0,0,0.750,0,0,0,-
전민재,두산,3루수,3,0,6,0,0,0,1,0,1.000,0,0,0,-
정수빈,두산,중견수,103,77,731 2/3,1,0,218,4,1,0.996,0,0,0,-
조수행,두산,중견수,36,9,140,1,0,61,1,0,0.984,0,0,0,-
조수행,두산,우익수,15,1,36 2/3,0,0,11,0,0,1.0,0,0,0,-
