player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
63123,강승호,두산,0.239,113,340,301,47,72,16,2,7,113,37,8,3
79290,국해성,두산,0.125,4,8,8,0,1,0,0,0,1,0,0,0
68204,권민석,두산,0.214,33,15,14,8,3,2,0,0,5,1,0,0
50203,권휘,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
77263,김강률,두산,-,8,0,0,0,0,0,0,0,0,0,0,0
67246,김명신,두산,-,4,0,0,0,0,0,0,0,0,0,0,0
68200,김민규,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
65269,김민혁,두산,0.000,6,8,6,0,0,0,0,0,0,0,0,0
63257,김인태,두산,0.259,133,418,344,51,89,15,1,8,130,46,5,4
74206,김재호,두산,0.209,89,251,211,23,44,8,0,1,55,24,6,3
78224,김재환,두산,0.274,137,566,475,86,130,23,2,27,238,102,0,5
69104,남호,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
67259,문원,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
79215,박건우,두산,0.325,126,525,458,82,149,31,2,6,202,63,0,6
64468,박계범,두산,0.267,118,385,322,44,86,12,1,5,115,46,7,3
51298,박성재,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0
62244,박세혁,두산,0.219,96,270,237,25,52,12,0,0,64,30,3,3
63292,박소준,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
50204,박지훈,두산,0.333,34,14,12,6,4,1,0,0,5,2,0,0
67266,박치국,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
63559,백동훈,두산,0.000,5,3,3,1,0,0,0,0,0,0,0,0
66203,서예일,두산,0.000,5,1,1,0,0,0,0,0,0,0,0,0
64086,신성현,두산,0.182,11,15,11,3,2,0,0,0,2,0,0,0
50202,안권수,두산,0.238,87,47,42,17,10,0,1,0,12,4,2,0
51203,안재석,두산,0.255,96,224,200,28,51,8,2,2,69,14,0,4
64153,양석환,두산,0.273,133,546,488,66,133,22,0,28,239,96,0,7
50208,오명진,두산,0.000,2,3,3,1,0,0,0,0,0,0,0,0
77248,오재원,두산,0.167,45,79,72,6,12,3,0,0,15,5,0,1
62242,윤명준,두산,-,4,0,0,0,0,0,0,0,0,0,0,0
69205,이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
64805,이승진,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
66291,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
63202,장승현,두산,0.232,92,211,177,18,41,10,0,2,57,27,6,1
68205,전민재,두산,0.250,9,5,4,1,1,0,0,0,1,1,0,1
79231,정수빈,두산,0.259,104,351,313,50,81,19,4,3,117,37,4,2
66209,조수행,두산,0.286,115,104,84,34,24,2,1,1,31,8,1,0
64213,최용제,두산,0.279,79,119,104,7,29,3,0,0,32,15,1,1
69209,페르난데스,두산,0.315,141,617,540,73,170,24,0,15,239,81,0,6
79240,허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3
61643,홍건희,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
66207,황경태,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0
