player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
67119,고우석,LG,투수,63,0,58,0,0,2,11,1,1.0,0,0,0,-
72523,고효준,LG,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
69100,구본혁,LG,유격수,44,6,113 1/3,1,0,17,48,13,0.985,0,0,0,-
69100,구본혁,LG,3루수,35,1,62 2/3,0,0,6,15,2,1.0,0,0,0,-
69100,구본혁,LG,2루수,55,0,89,1,0,23,19,7,0.977,0,0,0,-
60337,김대유,LG,투수,64,0,50 2/3,2,1,2,8,0,0.833,0,0,0,-
66145,김대현,LG,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-
77564,김민성,LG,3루수,117,107,854,7,0,54,176,22,0.97,0,0,0,-
77564,김민성,LG,2루수,3,0,5 2/3,0,0,2,3,0,1.000,0,0,0,-
77564,김민성,LG,유격수,2,0,2,0,0,0,0,0,-,0,0,0,-
78217,김용의,LG,3루수,6,0,7,0,0,1,0,0,1.000,0,0,0,-
78217,김용의,LG,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
78217,김용의,LG,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
78217,김용의,LG,2루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
78217,김용의,LG,1루수,79,3,155 2/3,1,0,153,15,18,0.994,0,0,0,-
78217,김용의,LG,우익수,5,0,5,0,0,0,0,0,-,0,0,0,-
50157,김윤식,LG,투수,35,3,66 2/3,0,0,4,9,0,1.0,0,0,0,-
65132,김재성,LG,포수,55,16,198 2/3,1,0,162,13,1,0.994,2,13,5,27.8
66162,김주성,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
66162,김주성,LG,3루수,2,1,12,2,0,1,0,0,0.333,0,0,0,-
60181,김지용,LG,투수,3,0,4,0,0,0,1,0,1.000,0,0,0,-
51154,김진수,LG,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
67122,김태형,LG,투수,2,0,1,0,0,0,0,0,-,0,0,0,-
76290,김현수,LG,1루수,5,2,15 2/3,0,0,19,1,1,1.000,0,0,0,-
76290,김현수,LG,좌익수,80,76,615 2/3,0,0,112,1,0,1.0,0,0,0,-
66113,김호은,LG,1루수,2,1,9,0,0,9,2,1,1.000,0,0,0,-
50165,라모스,LG,1루수,37,37,287,4,0,286,24,35,0.987,0,0,0,-
63103,류원석,LG,투수,6,0,6,0,0,0,0,0,-,0,0,0,-
69102,문보경,LG,3루수,54,31,270 2/3,3,0,25,65,2,0.968,0,0,0,-
69102,문보경,LG,1루수,61,48,390 2/3,2,0,403,38,45,0.995,0,0,0,-
69102,문보경,LG,2루수,1,0,3,0,0,0,0,0,-,0,0,0,-
68119,문성주,LG,좌익수,23,11,117,1,0,26,0,0,0.963,0,0,0,-
68119,문성주,LG,중견수,5,4,34,0,0,14,0,0,1.000,0,0,0,-
68119,문성주,LG,우익수,6,5,30,0,0,8,0,0,1.000,0,0,0,-
63145,배재준,LG,투수,15,6,32 2/3,1,0,3,3,1,0.857,0,0,0,-
65109,백승현,LG,투수,16,0,16 2/3,0,0,0,3,0,1.000,0,0,0,-
