선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
고우석,LG,2.17,63,1,5,30,0,0.167,58,47,3,23,3,68,15,14,1.21
고효준,LG,3.86,3,0,0,0,0,-,2 1/3,3,0,0,0,1,1,1,1.29
김대유,LG,2.13,64,4,1,0,24,0.800,50 2/3,32,2,15,9,56,13,12,0.93
김대현,LG,12.27,4,0,0,0,0,-,3 2/3,7,2,3,1,4,8,5,2.73
김윤식,LG,4.46,35,7,4,0,1,0.636,66 2/3,65,3,36,6,56,37,33,1.52
김지용,LG,0.0,3,0,0,0,0,-,4,2,0,1,1,5,0,0,0.75
김진수,LG,3.86,3,0,0,0,0,-,2 1/3,2,0,0,0,2,1,1,0.86
류원석,LG,6.0,6,0,0,0,0,-,6,1,0,9,1,8,4,4,1.67
배재준,LG,4.13,15,2,2,0,0,0.500,32 2/3,42,1,13,3,23,17,15,1.68
백승현,LG,2.16,16,0,0,0,1,-,16 2/3,13,0,4,2,10,4,4,1.02
손주영,LG,8.44,7,1,3,0,0,0.250,26 2/3,31,4,20,1,21,25,25,1.91
송은범,LG,4.1,35,2,2,0,4,0.500,37 1/3,34,1,13,2,19,18,17,1.26
수아레즈,LG,2.18,23,10,2,0,0,0.833,115 1/3,91,4,41,4,126,33,28,1.14
오석주,LG,6.48,9,0,0,0,0,-,8 1/3,9,0,6,0,7,6,6,1.8
이민호,LG,4.3,25,8,9,0,0,0.471,115,89,13,45,14,100,58,55,1.17
이상규,LG,9.0,7,0,0,0,0,-,6,8,1,2,1,4,6,6,1.67
이상영,LG,4.32,21,1,1,0,0,0.500,50,48,7,32,8,30,28,24,1.6
이우찬,LG,5.56,15,0,1,0,0,0.000,34,36,3,25,1,27,25,21,1.79
이정용,LG,2.97,66,3,3,0,15,0.500,69 2/3,55,4,23,1,74,25,23,1.12
이찬혁,LG,18.0,1,0,0,0,0,-,1,1,0,2,0,2,2,2,3.0
임준형,LG,3.13,6,1,0,0,0,1.000,23,24,0,4,3,21,8,8,1.22
임찬규,LG,3.87,17,1,8,0,0,0.111,90 2/3,76,7,41,3,67,45,39,1.29
정우영,LG,2.22,70,7,3,2,27,0.700,65,43,0,26,8,41,16,16,1.06
진해수,LG,2.44,50,1,0,0,5,1.000,44 1/3,41,2,18,3,39,17,12,1.33
차우찬,LG,5.24,5,2,1,0,0,0.667,22 1/3,16,2,13,3,12,14,13,1.3
채원후,LG,3.12,14,0,0,0,0,-,17 1/3,15,0,20,0,18,8,6,2.02
최동환,LG,9.53,8,0,0,0,0,-,5 2/3,6,0,4,2,2,6,6,1.76
최성훈,LG,2.43,46,1,1,0,3,0.500,40 2/3,40,2,19,1,33,14,11,1.45
켈리,LG,3.15,30,13,8,0,0,0.619,177,160,12,60,11,142,64,62,1.24
함덕주,LG,4.29,16,1,2,0,1,0.333,21,20,2,13,3,18,11,10,1.57
