player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
65515,강로한,롯데,21,0,0,0,-,0,0
79358,강윤구,롯데,1,0,0,0,-,0,0
65514,강태율,롯데,19,1,0,1,0.0,0,0
67504,김민수,롯데,82,0,0,0,-,4,1
62528,김원중,롯데,3,0,0,0,-,0,0
64596,김유영,롯데,2,0,0,0,-,0,0
65506,김재유,롯데,87,7,7,0,100,0,1
66749,김주현,롯데,8,0,0,0,-,0,0
67539,나균안,롯데,1,0,0,0,-,0,0
51551,나승엽,롯데,60,1,1,0,100,0,0
67454,나원탁,롯데,1,0,0,0,-,0,0
50506,마차도,롯데,134,13,8,5,61.5,8,1
76249,민병헌,롯데,14,1,0,1,0.0,1,0
64501,배성근,롯데,78,1,1,0,100,2,0
51528,손성빈,롯데,20,0,0,0,-,0,0
77532,손아섭,롯데,139,17,11,6,64.7,7,0
51594,송재영,롯데,1,0,0,0,-,0,0
69508,신윤후,롯데,71,4,3,1,75.0,3,0
64022,안중열,롯데,58,0,0,0,-,0,1
79608,안치홍,롯데,119,9,3,6,33.3,4,0
79293,오현택,롯데,1,0,0,0,-,0,0
71564,이대호,롯데,114,0,0,0,-,3,0
76100,이병규,롯데,29,0,0,0,-,0,0
64565,이인복,롯데,1,0,0,0,-,0,0
51560,이주찬,롯데,3,0,0,0,-,0,0
68504,이호연,롯데,7,0,0,0,-,0,0
68507,장두성,롯데,43,6,4,2,66.7,0,1
78513,전준우,롯데,144,9,6,3,66.7,4,0
68518,정보근,롯데,11,1,0,1,0.0,0,0
60523,정훈,롯데,135,9,8,1,88.9,13,2
64717,지시완,롯데,73,0,0,0,-,1,0
63895,최민재,롯데,21,2,2,0,100,1,0
51574,최종은,롯데,1,0,0,0,-,0,0
68362,추재현,롯데,95,7,4,3,57.1,1,1
68525,한동희,롯데,129,1,0,1,0.0,2,0
