선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,4,2
권희동,NC,0.263,55,171,133,25,35,3,0,8,62,26,1,3
김건태,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
김기환,NC,0.207,62,149,140,19,29,7,2,3,49,13,1,0
김수윤,NC,0.000,7,7,7,0,0,0,0,0,0,0,0,0
김영규,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
김주원,NC,0.241,69,189,166,20,40,7,1,5,64,16,2,2
김준완,NC,0.167,13,14,12,3,2,0,1,0,4,1,0,0
김진성,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
김태군,NC,0.220,102,276,232,23,51,7,0,7,79,24,9,3
김태현,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
나성범,NC,0.281,144,623,570,96,160,29,1,33,290,101,0,4
노시훈,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
노진혁,NC,0.288,107,384,330,41,95,22,0,8,141,58,4,3
도태훈,NC,0.182,77,76,66,10,12,1,0,1,16,9,0,0
류진욱,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
모창민,NC,0.000,3,6,5,0,0,0,0,0,0,0,0,0
박대온,NC,0.212,42,95,85,4,18,1,0,0,19,5,4,2
박민우,NC,0.261,50,215,180,30,47,5,3,1,61,18,4,2
박석민,NC,0.257,59,205,171,27,44,8,0,10,82,41,3,2
박시원,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0
박준영,NC,0.209,111,315,273,37,57,7,2,8,92,31,3,2
배민서,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
신민혁,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
안인산,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
알테어,NC,0.272,143,565,492,83,134,19,2,32,253,84,0,5
양의지,NC,0.325,141,570,480,81,156,29,2,30,279,111,0,10
오장한,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0
오태양,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0
원종현,NC,-,4,0,0,0,0,0,0,0,0,0,0,0
윤형준,NC,0.297,51,81,74,10,22,0,0,5,37,10,3,1
이명기,NC,0.293,56,232,191,30,56,12,0,2,74,14,3,0
이용찬,NC,-,6,0,0,0,0,0,0,0,0,0,0,0
이우석,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
이원재,NC,0.231,31,69,65,3,15,2,0,0,17,7,1,1
이재율,NC,0.200,23,17,15,5,3,2,0,0,5,1,0,0
임정호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
임창민,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
전민수,NC,0.255,71,109,98,12,25,3,0,3,37,16,0,0
정범모,NC,0.211,19,23,19,2,4,1,0,1,8,5,1,0
정진기,NC,0.223,88,206,193,27,43,8,0,6,69,21,2,0
정현,NC,0.222,68,149,117,14,26,5,1,0,33,7,8,0
지석훈,NC,0.147,28,43,34,6,5,1,0,0,6,2,0,1
최금강,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
최보성,NC,0.250,10,14,12,0,3,0,0,0,3,1,1,0
최승민,NC,0.226,48,34,31,8,7,1,0,0,8,1,2,0
최우재,NC,0.000,2,2,2,0,0,0,0,0,0,0,0,0
최정원,NC,0.283,72,238,212,40,60,4,2,0,68,8,4,0
홍성민,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
