선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
가빌리오,SSG,투수,15,15,81 1/3,0,0,3,7,0,1.000,0,0,0,-
강지광,SSG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
고명준,SSG,1루수,1,0,1,0,0,1,1,0,1.000,0,0,0,-
고종욱,SSG,좌익수,40,33,214,1,0,27,1,1,0.966,0,0,0,-
김강민,SSG,중견수,116,40,566 1/3,2,0,149,6,3,0.987,0,0,0,-
김강민,SSG,투수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
김건우,SSG,투수,6,4,11,0,0,1,1,0,1.000,0,0,0,-
김규남,SSG,좌익수,2,2,11,0,0,3,0,0,1.000,0,0,0,-
김규남,SSG,우익수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
김사윤,SSG,투수,6,6,17 1/3,0,1,0,3,0,1.000,0,0,0,-
김상수,SSG,투수,50,0,58 1/3,0,1,4,11,1,1.0,0,0,0,-
김성현,SSG,유격수,40,29,242 1/3,5,0,29,73,8,0.953,0,0,0,-
김성현,SSG,3루수,7,5,44,0,0,1,7,1,1.000,0,0,0,-
김성현,SSG,2루수,73,33,357,3,0,86,119,31,0.986,0,0,0,-
김세현,SSG,투수,5,0,4 1/3,0,0,0,0,0,-,0,0,0,-
김주온,SSG,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
김찬형,SSG,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
김찬형,SSG,2루수,34,17,160 1/3,0,0,27,64,12,1.0,0,0,0,-
김찬형,SSG,3루수,40,11,159 2/3,2,0,15,28,1,0.956,0,0,0,-
김찬형,SSG,유격수,15,8,59 1/3,2,0,13,17,2,0.938,0,0,0,-
김창평,SSG,유격수,3,0,6,0,0,1,2,0,1.000,0,0,0,-
김창평,SSG,좌익수,7,2,23,0,0,3,0,0,1.000,0,0,0,-
김창평,SSG,우익수,6,0,8 2/3,0,0,1,0,0,1.000,0,0,0,-
김창평,SSG,3루수,3,1,10,0,0,0,2,0,1.000,0,0,0,-
김창평,SSG,2루수,3,0,5,0,0,2,0,0,1.000,0,0,0,-
김창평,SSG,중견수,1,1,8,0,0,4,0,0,1.000,0,0,0,-
김태훈,SSG,투수,65,0,58,2,0,0,4,0,0.667,0,0,0,-
김택형,SSG,투수,59,0,75 1/3,1,2,6,14,1,0.952,0,0,0,-
남태혁,SSG,1루수,6,3,23,2,0,21,0,2,0.913,0,0,0,-
로맥,SSG,1루수,100,93,770,2,0,690,41,67,0.997,0,0,0,-
르위키,SSG,투수,4,4,14 1/3,0,0,0,0,0,-,0,0,0,-
문승원,SSG,투수,9,9,50 1/3,1,1,3,5,0,0.889,0,0,0,-
박민호,SSG,투수,40,0,41,0,0,2,5,0,1.0,0,0,0,-
박성한,SSG,2루수,8,1,14,0,0,5,2,0,1.000,0,0,0,-
박성한,SSG,유격수,129,111,993 2/3,23,0,194,313,75,0.957,0,0,0,-
박종훈,SSG,투수,9,9,54 1/3,1,3,6,12,1,0.947,0,0,0,-
서동민,SSG,투수,20,0,26 1/3,0,2,1,4,0,1.000,0,0,0,-
서진용,SSG,투수,65,0,67 1/3,0,1,2,5,0,1.0,0,0,0,-
신재영,SSG,투수,20,1,28 1/3,0,0,3,2,0,1.000,0,0,0,-
신재웅,SSG,투수,8,0,8 1/3,0,0,0,0,0,-,0,0,0,-
안상현,SSG,2루수,20,9,82,2,0,22,25,3,0.959,0,0,0,-
안상현,SSG,유격수,3,0,3,0,0,0,0,0,-,0,0,0,-
양선률,SSG,투수,1,1,1,0,0,1,0,0,1.000,0,0,0,-
오원석,SSG,투수,33,21,110,1,0,3,14,0,0.944,0,0,0,-
오준혁,SSG,우익수,4,1,10,0,0,2,0,0,1.000,0,0,0,-
오준혁,SSG,좌익수,4,1,12,0,0,3,0,0,1.000,0,0,0,-
오태곤,SSG,좌익수,54,24,248 1/3,0,0,63,3,1,1.0,0,0,0,-
오태곤,SSG,중견수,3,2,16,0,0,2,0,0,1.000,0,0,0,-
오태곤,SSG,3루수,2,0,3,0,0,0,0,0,-,0,0,0,-
오태곤,SSG,1루수,61,20,257 1/3,2,0,251,21,29,0.993,0,0,0,-
오태곤,SSG,우익수,8,2,22 2/3,1,0,4,0,0,0.800,0,0,0,-
유서준,SSG,우익수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
유서준,SSG,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
이건욱,SSG,투수,5,4,12 2/3,0,0,0,1,0,1.000,0,0,0,-
이재원,SSG,포수,104,80,678 2/3,7,0,551,38,6,0.988,9,59,20,25.3
이정범,SSG,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-
이정범,SSG,좌익수,17,17,107,1,0,19,1,0,0.952,0,0,0,-
이채호,SSG,투수,3,0,5,0,0,0,0,0,-,0,0,0,-
이태양,SSG,투수,40,14,103 2/3,0,0,5,12,1,1.0,0,0,0,-
이현석,SSG,포수,38,25,220,2,0,184,15,2,0.99,1,21,6,22.2
이흥련,SSG,포수,87,38,369,1,0,301,22,4,0.997,2,24,7,22.6
장지훈,SSG,투수,60,1,80 1/3,2,1,2,18,0,0.909,0,0,0,-
정동윤,SSG,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
정상호,SSG,포수,3,1,9,1,0,4,0,0,0.800,0,1,0,0.0
정수민,SSG,투수,10,7,30 1/3,1,0,1,2,0,0.750,0,0,0,-
정영일,SSG,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
정의윤,SSG,우익수,15,11,84,0,0,12,1,0,1.000,0,0,0,-
정의윤,SSG,좌익수,22,20,138,0,0,33,1,0,1.000,0,0,0,-
조병현,SSG,투수,3,3,6 2/3,0,0,0,2,0,1.000,0,0,0,-
조요한,SSG,투수,6,0,7,0,0,1,1,0,1.000,0,0,0,-
조이현,SSG,투수,30,8,66 2/3,0,1,2,8,0,1.000,0,0,0,-
최민준,SSG,투수,38,12,86,0,1,3,12,0,1.0,0,0,0,-
최정,SSG,3루수,128,123,1029,12,0,83,209,24,0.961,0,0,0,-
최주환,SSG,1루수,32,28,218 2/3,3,0,197,24,7,0.987,0,0,0,-
최주환,SSG,2루수,74,69,553 2/3,8,0,130,173,40,0.974,0,0,0,-
최지훈,SSG,우익수,34,10,139 1/3,1,0,29,1,0,0.968,0,0,0,-
최지훈,SSG,좌익수,74,9,244 1/3,0,0,57,1,0,1.0,0,0,0,-
최지훈,SSG,중견수,105,98,670 1/3,1,0,216,5,1,0.995,0,0,0,-
최항,SSG,2루수,17,14,99 1/3,3,0,30,28,4,0.951,0,0,0,-
최항,SSG,1루수,4,0,5 2/3,0,0,4,0,2,1.000,0,0,0,-
최항,SSG,3루수,2,1,7,0,0,1,4,1,1.000,0,0,0,-
추신수,SSG,우익수,47,47,372 1/3,1,0,79,0,0,0.988,0,0,0,-
폰트,SSG,투수,25,25,145 2/3,1,0,4,12,0,0.941,0,0,0,-
하재훈,SSG,투수,18,0,18,0,0,2,3,0,1.000,0,0,0,-
한유섬,SSG,좌익수,39,36,279,1,0,55,0,0,0.982,0,0,0,-
한유섬,SSG,우익수,87,73,632 2/3,1,0,168,5,2,0.994,0,0,0,-
