선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
가빌리오,SSG,5.86,15,6,4,0,0,0.600,81 1/3,88,7,30,6,70,54,53,1.45
김건우,SSG,4.91,6,0,1,0,0,0.000,11,8,1,12,0,7,7,6,1.82
김사윤,SSG,9.87,6,0,1,0,0,0.000,17 1/3,20,5,20,4,21,20,19,2.31
김상수,SSG,5.09,50,4,3,6,5,0.571,58 1/3,71,10,30,1,44,33,33,1.73
김세현,SSG,10.38,5,0,0,0,0,-,4 1/3,9,0,7,0,5,5,5,3.69
김주온,SSG,0.0,2,0,0,0,0,-,2,1,0,2,1,3,0,0,1.5
김태훈,SSG,4.97,65,2,4,1,16,0.333,58,55,7,38,10,49,35,32,1.6
김택형,SSG,2.39,59,5,1,7,4,0.833,75 1/3,61,3,42,3,62,23,20,1.37
르위키,SSG,3.77,4,1,0,0,0,1.000,14 1/3,15,2,2,0,9,6,6,1.19
문승원,SSG,2.86,9,2,2,0,0,0.500,50 1/3,42,1,18,2,32,20,16,1.19
박민호,SSG,3.73,40,4,0,0,5,1.000,41,45,3,11,4,19,18,17,1.37
박종훈,SSG,2.82,9,4,2,0,0,0.667,54 1/3,40,2,17,7,41,19,17,1.05
서동민,SSG,5.13,20,0,0,0,0,-,26 1/3,27,5,17,1,24,15,15,1.67
서진용,SSG,3.34,65,7,5,9,3,0.583,67 1/3,57,9,43,0,62,28,25,1.49
신재영,SSG,5.72,20,0,0,0,0,-,28 1/3,35,3,2,4,27,18,18,1.31
신재웅,SSG,4.32,8,0,0,0,0,-,8 1/3,6,0,5,0,9,4,4,1.32
오원석,SSG,5.89,33,7,6,0,2,0.538,110,125,11,73,10,95,84,72,1.8
이건욱,SSG,11.37,5,0,1,0,0,0.000,12 2/3,16,4,19,1,5,16,16,2.76
이채호,SSG,7.2,3,0,0,0,0,-,5,8,2,3,0,3,7,4,2.2
이태양,SSG,5.73,40,5,10,0,4,0.333,103 2/3,123,25,32,1,62,66,66,1.5
장지훈,SSG,3.92,60,2,5,1,10,0.286,80 1/3,84,6,19,4,51,40,35,1.28
정동윤,SSG,0.0,1,0,0,0,0,-,2,1,0,1,0,0,0,0,1.0
정수민,SSG,6.82,10,1,2,0,0,0.333,30 1/3,34,6,27,1,22,24,23,2.01
정영일,SSG,9.0,1,0,0,0,0,-,2,4,1,0,0,0,2,2,2.0
조병현,SSG,8.1,3,0,0,0,0,-,6 2/3,7,1,5,1,8,7,6,1.8
조요한,SSG,7.71,6,0,0,0,1,-,7,10,0,9,0,4,6,6,2.71
조이현,SSG,5.67,30,4,8,1,0,0.333,66 2/3,74,10,26,0,48,46,42,1.5
최민준,SSG,5.86,38,3,3,0,4,0.500,86,93,11,50,7,62,56,56,1.66
폰트,SSG,3.46,25,8,5,0,0,0.615,145 2/3,114,12,45,6,157,66,56,1.09
하재훈,SSG,4.0,18,1,0,0,2,1.000,18,16,1,16,3,8,8,8,1.78
