date,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
2022-04-02,잠실,한화,두산,finished,16271,14:02,17:27,03:25,4,6
2022-04-02,창원,SSG,NC,finished,7814,14:03,16:56,02:53,4,0
2022-04-02,수원,삼성,KT,finished,17057,13:59,16:40,02:41,1,4
2022-04-02,광주,LG,KIA,finished,16908,14:00,16:49,02:49,9,0
2022-04-02,고척,롯데,키움,finished,8257,14:00,17:12,03:12,7,2
2022-04-03,잠실,한화,두산,finished,11345,14:01,16:29,02:28,0,1
2022-04-03,창원,SSG,NC,finished,4808,13:59,17:02,03:03,4,1
2022-04-03,수원,삼성,KT,finished,10321,13:59,17:20,03:21,6,5
2022-04-03,광주,LG,KIA,finished,10290,14:00,17:26,03:26,3,2
2022-04-03,고척,롯데,키움,finished,6115,14:00,17:55,03:55,3,4
2022-04-05,잠실,삼성,두산,finished,4109,18:32,22:26,03:54,6,5
2022-04-05,창원,롯데,NC,finished,3246,18:30,21:24,02:54,5,1
2022-04-05,수원,SSG,KT,finished,2055,18:31,21:29,02:58,8,5
2022-04-05,광주,한화,KIA,finished,2840,18:29,21:57,03:28,3,4
2022-04-05,고척,LG,키움,finished,2298,18:30,21:34,03:04,8,4
2022-04-06,잠실,삼성,두산,finished,4161,18:31,21:31,03:00,7,1
2022-04-06,창원,롯데,NC,finished,3000,18:29,21:12,02:43,0,5
2022-04-06,수원,SSG,KT,finished,2094,18:30,20:52,02:22,3,0
2022-04-06,광주,한화,KIA,finished,3117,18:30,22:20,03:50,4,7
2022-04-06,고척,LG,키움,finished,2304,18:30,22:13,03:43,2,1
2022-04-07,잠실,삼성,두산,finished,4055,18:31,22:24,03:53,5,6
2022-04-07,창원,롯데,NC,finished,3017,18:29,21:21,02:52,2,1
2022-04-07,수원,SSG,KT,finished,2530,18:31,21:19,02:48,4,3
2022-04-07,광주,한화,KIA,finished,2773,18:29,21:40,03:11,2,6
2022-04-07,고척,LG,키움,finished,2055,18:30,21:01,02:31,6,0
2022-04-08,한밭,KT,한화,finished,5520,18:30,22:06,03:36,4,2
2022-04-08,잠실,NC,LG,finished,10623,18:30,21:23,02:53,4,1
2022-04-08,문학,KIA,SSG,finished,15615,18:31,21:12,02:41,0,3
2022-04-08,사직,두산,롯데,finished,8860,18:30,21:45,03:15,6,1
2022-04-08,대구,키움,삼성,finished,9244,18:30,21:07,02:37,1,0
2022-04-09,한밭,KT,한화,finished,6538,16:59,19:59,03:00,1,7
2022-04-09,잠실,NC,LG,finished,14328,17:01,20:10,03:09,6,7
2022-04-09,문학,KIA,SSG,finished,21005,17:00,19:35,02:35,5,9
2022-04-09,사직,두산,롯데,finished,13045,17:00,20:03,03:03,4,5
2022-04-09,대구,키움,삼성,finished,13059,17:00,19:49,02:49,3,0
2022-04-10,한밭,KT,한화,finished,5735,13:59,17:10,03:11,4,6
2022-04-10,잠실,NC,LG,finished,13095,13:59,17:15,03:16,3,5
2022-04-10,문학,KIA,SSG,finished,17849,14:00,16:57,02:57,2,11
2022-04-10,사직,두산,롯데,finished,11646,14:02,18:07,04:05,4,3
2022-04-10,대구,키움,삼성,finished,11610,14:00,16:51,02:51,6,5
2022-04-12,잠실,SSG,LG,finished,6028,18:30,20:58,02:28,4,1
2022-04-12,대구,한화,삼성,finished,4047,18:30,21:13,02:43,0,2
2022-04-12,수원,두산,KT,finished,2450,18:31,21:42,03:11,3,1
2022-04-12,광주,롯데,KIA,finished,3654,18:32,21:44,03:12,5,6
2022-04-12,고척,NC,키움,finished,774,18:29,21:16,02:47,0,10
2022-04-13,잠실,SSG,LG,finished,4547,18:30,22:11,03:41,4,2
2022-04-13,대구,한화,삼성,finished,2156,18:30,21:20,02:50,1,12
2022-04-13,대구,두산,KT,canceled,,,,,,
2022-04-13,대구,롯데,KIA,canceled,,,,,,
2022-04-13,고척,NC,키움,finished,893,18:30,23:16,04:46,4,5
2022-04-14,잠실,SSG,LG,finished,6500,18:30,21:20,02:50,1,5
2022-04-14,대구,한화,삼성,finished,2869,18:30,21:35,03:05,3,8
2022-04-14,수원,두산,KT,finished,2241,18:30,22:06,03:36,5,4
2022-04-14,광주,롯데,KIA,finished,3838,18:30,22:00,03:30,3,2
2022-04-14,고척,NC,키움,finished,1020,18:30,21:17,02:47,0,1
2022-04-15,한밭,LG,한화,finished,3320,18:30,21:42,03:12,3,7
2022-04-15,잠실,키움,두산,finished,4423,18:30,21:28,02:58,4,2
2022-04-15,문학,삼성,SSG,finished,9441,18:30,21:09,02:39,0,5
2022-04-15,사직,KT,롯데,finished,4610,18:30,22:02,03:32,7,9
2022-04-15,창원,KIA,NC,finished,3002,18:29,21:32,03:03,0,5
2022-04-16,문학,삼성,SSG,finished,16037,14:00,17:14,03:14,2,6
2022-04-16,한밭,LG,한화,finished,8112,17:00,20:26,03:26,6,2
2022-04-16,잠실,키움,두산,finished,9737,17:01,20:11,03:10,1,4
2022-04-16,사직,KT,롯데,finished,10639,17:00,20:02,03:02,8,0
2022-04-16,창원,KIA,NC,finished,4580,17:00,19:57,02:57,14,0
2022-04-17,한밭,LG,한화,finished,6566,14:00,18:08,04:08,8,7
2022-04-17,잠실,키움,두산,finished,8762,14:01,17:41,03:40,6,2
2022-04-17,문학,삼성,SSG,finished,15104,14:00,17:12,03:12,5,7
2022-04-17,사직,KT,롯데,finished,9231,14:00,16:36,02:36,0,3
2022-04-17,창원,KIA,NC,finished,3902,13:59,17:28,03:29,4,3
2022-04-19,잠실,KT,LG,finished,4537,18:30,21:19,02:49,5,0
2022-04-19,문학,키움,SSG,finished,5931,18:30,21:58,03:28,8,5
2022-04-19,사직,한화,롯데,finished,4053,18:29,22:02,03:33,6,2
2022-04-19,창원,삼성,NC,finished,1725,18:30,22:11,03:41,8,11
2022-04-19,광주,두산,KIA,finished,2658,18:29,22:10,03:41,3,6
2022-04-20,잠실,KT,LG,finished,4595,18:30,21:25,02:55,5,3
2022-04-20,문학,키움,SSG,finished,5061,18:31,20:59,02:28,1,6
2022-04-20,사직,한화,롯데,finished,4340,18:30,21:16,02:46,0,7
2022-04-20,창원,삼성,NC,finished,2104,18:32,21:18,02:46,0,3
2022-04-20,광주,두산,KIA,finished,4010,18:30,21:56,03:26,4,3
2022-04-21,잠실,KT,LG,finished,4410,18:30,21:56,03:26,6,2
2022-04-21,문학,키움,SSG,finished,8080,18:30,21:13,02:43,2,4
2022-04-21,사직,한화,롯데,finished,3306,18:30,22:20,03:50,7,6
2022-04-21,창원,삼성,NC,finished,1675,18:32,22:01,03:29,10,3
2022-04-21,광주,두산,KIA,finished,3474,18:30,21:18,02:48,2,1
2022-04-22,한밭,SSG,한화,finished,3146,18:30,21:37,03:07,0,2
2022-04-22,잠실,LG,두산,finished,8472,18:30,22:02,03:32,5,1
2022-04-22,대구,롯데,삼성,finished,7951,18:31,21:34,03:03,8,2
2022-04-22,수원,NC,KT,finished,2276,18:30,21:39,03:09,3,4
2022-04-22,고척,KIA,키움,finished,4289,18:30,21:47,03:17,5,4
2022-04-23,고척,KIA,키움,finished,8338,14:00,16:49,02:49,1,3
2022-04-23,한밭,SSG,한화,finished,7514,16:59,19:58,02:59,2,9
2022-04-23,잠실,LG,두산,finished,17799,17:01,20:02,03:01,2,4
2022-04-23,대구,롯데,삼성,finished,14983,17:00,19:59,02:59,4,2
2022-04-23,수원,NC,KT,finished,8255,17:00,19:36,02:36,3,4
2022-04-24,한밭,SSG,한화,finished,6612,13:59,17:28,03:29,3,1
2022-04-24,잠실,LG,두산,finished,14848,14:01,17:28,03:27,5,0
2022-04-24,대구,롯데,삼성,finished,12782,14:01,17:07,03:06,7,4
2022-04-24,수원,NC,KT,finished,5719,13:59,17:38,03:39,2,1
2022-04-24,고척,KIA,키움,finished,7406,14:00,16:55,02:55,14,2
2022-04-26,한밭,키움,한화,finished,2647,18:29,21:21,02:52,2,5
2022-04-26,잠실,NC,두산,finished,3644,18:30,21:42,03:12,4,8
2022-04-26,사직,SSG,롯데,finished,2731,18:59,22:09,03:10,8,1
2022-04-26,대구,LG,삼성,finished,3920,18:30,21:32,03:02,4,7
2022-04-26,수원,KIA,KT,finished,6277,18:31,21:49,03:18,10,5
2022-04-27,한밭,키움,한화,finished,3459,18:29,21:30,03:01,7,0
2022-04-27,잠실,NC,두산,finished,3450,18:30,21:48,03:18,5,6
2022-04-27,사직,SSG,롯데,finished,6831,18:30,22:26,03:56,1,1
2022-04-27,대구,LG,삼성,finished,5063,18:30,21:32,03:02,7,0
2022-04-27,수원,KIA,KT,finished,6123,18:30,21:06,02:36,1,3
2022-04-28,한밭,키움,한화,finished,3531,18:29,21:29,03:00,3,1
2022-04-28,잠실,NC,두산,finished,5223,18:30,22:03,03:33,9,5
2022-04-28,사직,SSG,롯데,finished,7126,18:30,21:07,02:37,1,4
2022-04-28,대구,LG,삼성,finished,5279,18:30,21:41,03:11,6,4
2022-04-28,수원,KIA,KT,finished,6111,18:31,21:14,02:43,3,5
2022-04-29,잠실,롯데,LG,finished,15681,18:30,22:16,03:46,9,4
2022-04-29,문학,두산,SSG,finished,10306,18:30,23:21,04:51,7,8
2022-04-29,창원,한화,NC,finished,3405,18:30,21:56,03:26,4,9
2022-04-29,광주,삼성,KIA,finished,7487,18:31,22:06,03:35,4,3
2022-04-29,고척,KT,키움,finished,1770,18:29,21:46,03:17,6,4
2022-04-30,광주,삼성,KIA,finished,11159,14:00,17:27,03:27,5,4
2022-04-30,잠실,롯데,LG,finished,23018,17:00,19:47,02:47,3,1
2022-04-30,문학,두산,SSG,finished,20094,17:01,20:15,03:14,1,2
2022-04-30,창원,한화,NC,finished,6045,17:00,20:31,03:31,2,0
2022-04-30,고척,KT,키움,finished,4075,17:00,19:57,02:57,1,4
2022-05-01,잠실,롯데,LG,finished,20513,14:00,16:55,02:55,4,0
2022-05-01,문학,두산,SSG,finished,18130,14:00,16:45,02:45,9,0
2022-05-01,창원,한화,NC,finished,5185,14:00,17:13,03:13,2,1
2022-05-01,광주,삼성,KIA,finished,11555,14:00,16:57,02:57,6,3
2022-05-01,고척,KT,키움,finished,3213,14:00,17:26,03:26,3,9
2022-05-03,잠실,두산,LG,finished,10124,18:30,21:38,03:08,3,4
2022-05-03,문학,한화,SSG,finished,9110,18:30,21:40,03:10,2,4
2022-05-03,대구,NC,삼성,finished,5728,18:31,22:30,03:59,10,6
2022-05-03,수원,롯데,KT,finished,6251,18:30,21:56,03:26,5,10
2022-05-03,광주,키움,KIA,finished,5277,18:30,20:58,02:28,7,1
2022-05-04,잠실,두산,LG,finished,14480,18:30,21:45,03:15,5,2
2022-05-04,문학,한화,SSG,finished,11331,18:31,21:59,03:28,8,5
2022-05-04,대구,NC,삼성,finished,8712,18:30,21:59,03:29,5,11
2022-05-04,수원,롯데,KT,finished,7532,18:30,21:19,02:49,5,0
2022-05-04,광주,키움,KIA,finished,11234,18:30,22:14,03:44,3,4
2022-05-05,잠실,두산,LG,finished,24012,14:01,17:22,03:21,9,4
2022-05-05,문학,한화,SSG,finished,23000,14:00,17:08,03:08,4,14
2022-05-05,대구,NC,삼성,finished,20938,14:01,17:10,03:09,2,5
2022-05-05,수원,롯데,KT,finished,20000,14:00,17:12,03:12,2,8
2022-05-05,광주,키움,KIA,finished,16072,14:00,16:46,02:46,1,10
2022-05-06,한밭,KIA,한화,finished,10305,18:29,21:25,02:56,13,2
2022-05-06,잠실,KT,두산,finished,8709,18:30,21:25,02:55,6,0
2022-05-06,사직,삼성,롯데,finished,22990,18:30,21:10,02:40,5,0
2022-05-06,창원,LG,NC,finished,5883,18:30,22:19,03:49,15,8
2022-05-06,고척,SSG,키움,finished,4627,18:30,21:24,02:54,2,9
2022-05-07,한밭,KIA,한화,finished,11114,17:00,20:13,03:13,5,4
2022-05-07,잠실,KT,두산,finished,10546,17:01,21:17,04:16,8,11
2022-05-07,사직,삼성,롯데,finished,22990,17:00,19:50,02:50,4,1
2022-05-07,창원,LG,NC,finished,5585,17:00,20:09,03:09,6,3
2022-05-07,고척,SSG,키움,finished,5637,17:00,19:45,02:45,3,0
2022-05-08,한밭,KIA,한화,finished,7918,14:00,17:19,03:19,7,6
2022-05-08,잠실,KT,두산,finished,7124,14:00,17:21,03:21,5,0
2022-05-08,사직,삼성,롯데,finished,16456,14:00,17:32,03:32,4,2
2022-05-08,창원,LG,NC,finished,3642,14:01,17:56,03:55,3,2
2022-05-08,고척,SSG,키움,finished,4765,14:00,17:01,03:01,6,2
2022-05-10,잠실,한화,LG,finished,7270,18:30,21:41,03:11,1,9
2022-05-10,사직,NC,롯데,finished,8521,18:30,21:06,02:36,0,7
2022-05-10,대구,SSG,삼성,finished,5088,18:30,21:33,03:03,3,1
2022-05-10,광주,KT,KIA,finished,5240,18:30,21:10,02:40,0,1
2022-05-10,고척,두산,키움,finished,3564,18:30,21:53,03:23,9,0
2022-05-11,잠실,한화,LG,finished,8064,18:30,22:13,03:43,2,5
2022-05-11,사직,NC,롯데,finished,7761,18:31,22:53,04:22,5,6
2022-05-11,대구,SSG,삼성,finished,4786,18:30,22:40,04:10,5,6
2022-05-11,광주,KT,KIA,finished,6542,18:30,21:46,03:16,10,5
2022-05-11,고척,두산,키움,finished,2641,18:30,21:30,03:00,5,1
2022-05-12,잠실,한화,LG,finished,8620,18:30,22:14,03:44,7,11
2022-05-12,사직,NC,롯데,finished,8782,18:30,21:37,03:07,4,2
2022-05-12,대구,SSG,삼성,finished,5541,18:30,21:32,03:02,2,4
2022-05-12,광주,KT,KIA,finished,5224,18:30,21:35,03:05,4,5
2022-05-12,고척,두산,키움,finished,2649,18:30,21:47,03:17,3,2
2022-05-13,한밭,롯데,한화,finished,6773,18:29,21:29,03:00,8,1
