player_id,Name,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
74540,강민호,9.20%,13.10%,0.71,0.33,0.409,0.739,0.152,1.2,0.271,-0.2,54,2.3,0.337,104
68050,강백호,8.70%,16.70%,0.52,0.312,0.371,0.683,0.127,1,0.275,-0.1,27,-3.4,0.314,89
63123,강승호,6.00%,20.50%,0.29,0.31,0.399,0.708,0.135,4.6,0.316,0.3,54,-2.4,0.325,96
64610,강한울,7.90%,19.00%,0.42,0.375,0.398,0.773,0.075,4.1,0.402,-0.2,35,5.6,0.36,119
69517,고승민,9.50%,17.90%,0.53,0.381,0.453,0.834,0.137,2.8,0.377,-1.6,41,10.7,0.384,135
62404,구자욱,6.10%,19.00%,0.32,0.338,0.399,0.736,0.108,6.5,0.354,1.5,54,2.6,0.338,105
63963,권희동,11.10%,15.70%,0.7,0.331,0.315,0.646,0.092,3.5,0.253,-0.2,28,-4.3,0.311,87
71837,김강민,8.90%,19.30%,0.46,0.375,0.449,0.824,0.146,2.1,0.363,-1.2,31,7.2,0.377,130
52605,김도영,8.70%,24.40%,0.35,0.312,0.362,0.674,0.125,8.5,0.313,1.2,26,-3.3,0.314,89
62864,김민식,12.00%,16.90%,0.71,0.32,0.297,0.618,0.077,2.5,0.264,-0.2,24,-7.1,0.296,77
64004,김민혁,8.50%,14.30%,0.6,0.349,0.322,0.671,0.038,3.7,0.338,-2.8,46,-4.5,0.318,91
79402,김상수,6.90%,16.90%,0.41,0.305,0.323,0.628,0.072,3.2,0.298,-0.2,23,-7.2,0.295,76
78603,김선빈,11.10%,8.00%,1.38,0.373,0.35,0.724,0.063,3.5,0.31,1.4,75,6.3,0.345,109
76802,김성현,8.60%,10.00%,0.86,0.295,0.275,0.57,0.056,3.4,0.24,-1.2,26,-15.6,0.274,63
63257,김인태,14.70%,16.80%,0.87,0.366,0.336,0.702,0.089,1.9,0.29,0,34,1.5,0.338,105
66715,김인환,5.60%,25.90%,0.22,0.305,0.417,0.722,0.156,2.6,0.32,0.2,49,-1,0.328,98
74206,김재호,10.60%,12.50%,0.85,0.304,0.26,0.564,0.045,1.9,0.244,-0.6,19,-11.5,0.275,63
78224,김재환,11.80%,25.70%,0.46,0.34,0.46,0.8,0.212,2.7,0.297,-0.3,73,12.6,0.362,121
51907,김주원,9.20%,27.30%,0.34,0.334,0.392,0.726,0.165,6.3,0.299,0.6,40,2.3,0.34,106
63920,김준완,16.10%,17.80%,0.9,0.337,0.243,0.58,0.054,3.5,0.238,-0.5,35,-11.3,0.294,76
62558,김준태,12.20%,28.50%,0.43,0.36,0.403,0.762,0.13,3.8,0.386,0.2,36,4.6,0.353,115
50458,김지찬,10.50%,14.90%,0.7,0.36,0.332,0.693,0.053,8,0.337,3.5,50,-0.3,0.33,99
78122,김태군,7.20%,14.50%,0.5,0.358,0.38,0.739,0.083,2.2,0.343,0.1,30,2.5,0.345,109
66704,김태연,10.30%,22.80%,0.45,0.325,0.337,0.662,0.097,2.4,0.305,-0.5,48,-6.4,0.313,88
64984,김태진,6.20%,10.90%,0.57,0.315,0.295,0.61,0.028,3.5,0.302,-0.8,23,-8.7,0.29,73
61404,김헌곤,3.80%,9.20%,0.41,0.224,0.241,0.465,0.049,3.6,0.206,0.1,7,-20.8,0.218,25
76290,김현수,11.80%,10.30%,1.15,0.375,0.473,0.848,0.187,2.8,0.287,-0.4,96,25.1,0.385,136
51417,김현준,10.70%,19.00%,0.56,0.365,0.35,0.715,0.074,5.6,0.353,0.1,52,3.1,0.34,106
67304,김혜성,8.30%,14.70%,0.57,0.373,0.403,0.776,0.085,7.3,0.37,3.5,78,12.1,0.359,118
51344,김휘집,9.90%,29.30%,0.34,0.326,0.336,0.662,0.114,2.2,0.308,-0.2,41,-4.6,0.316,90
62947,나성범,9.90%,21.10%,0.47,0.402,0.508,0.91,0.188,4,0.388,0.4,116,40.8,0.412,154
63704,노수광,8.90%,29.60%,0.3,0.299,0.362,0.661,0.133,7,0.329,0.6,35,-7.2,0.305,83
69737,노시환,9.80%,19.40%,0.51,0.355,0.382,0.738,0.101,3.7,0.344,0.1,62,5.1,0.344,109
62931,노진혁,10.00%,23.30%,0.43,0.353,0.455,0.807,0.174,2.3,0.342,0.2,65,12.4,0.366,124
52806,라가레스,6.90%,8.90%,0.78,0.362,0.464,0.826,0.149,3.2,0.319,0.1,30,6.8,0.374,129
52547,렉스,10.40%,17.50%,0.59,0.41,0.495,0.906,0.165,4.3,0.381,0.4,45,15.8,0.412,154
62234,류지혁,11.70%,17.40%,0.67,0.371,0.348,0.719,0.072,4.4,0.342,-0.4,60,4.6,0.343,108
52904,마티니,8.90%,14.90%,0.59,0.366,0.463,0.829,0.165,4.1,0.328,0.6,87,20,0.376,130
69102,문보경,10.10%,12.00%,0.84,0.382,0.451,0.833,0.135,4.8,0.342,1.1,72,18,0.381,133
68119,문성주,13.10%,9.20%,1.42,0.401,0.422,0.823,0.119,5,0.325,-1,61,15.8,0.383,135
79215,박건우,9.50%,13.40%,0.71,0.408,0.458,0.867,0.123,2.5,0.375,-1,79,24.9,0.4,146
79365,박동원,10.10%,21.30%,0.47,0.334,0.436,0.77,0.195,2.1,0.275,0,59,7.2,0.352,114
62907,박민우,9.30%,12.20%,0.76,0.351,0.359,0.71,0.092,5.9,0.299,2.3,53,0,0.331,100
75125,박병호,8.20%,26.90%,0.31,0.349,0.559,0.909,0.284,3,0.309,-0.5,84,27.2,0.403,148
67893,박성한,10.60%,14.40%,0.74,0.375,0.374,0.749,0.077,4.5,0.351,-1.5,75,9.3,0.352,114
62244,박세혁,8.20%,17.70%,0.46,0.32,0.316,0.636,0.068,2.5,0.299,-0.7,38,-9.2,0.301,80
62802,박승욱,7.00%,30.30%,0.23,0.292,0.298,0.59,0.071,7.2,0.344,0.7,18,-8.9,0.28,66
50709,박정현,5.50%,25.50%,0.21,0.289,0.317,0.606,0.073,5.5,0.322,0.7,18,-7.9,0.284,69
66928,박준영,11.30%,22.50%,0.5,0.308,0.322,0.63,0.106,5.4,0.272,0.4,22,-5.7,0.3,79
64646,박찬호,10.10%,11.80%,0.85,0.344,0.341,0.685,0.069,5.9,0.303,4.7,63,-3.2,0.324,95
62415,박해민,6.90%,13.40%,0.52,0.347,0.368,0.715,0.079,7.3,0.332,1.9,76,1.4,0.334,102
64166,배정대,9.40%,21.90%,0.43,0.339,0.352,0.691,0.087,5.1,0.339,1.8,65,-2.4,0.325,96
78168,서건창,8.10%,17.80%,0.45,0.299,0.306,0.605,0.082,6.2,0.27,0.2,21,-8.1,0.288,72
69995,서호철,5.60%,19.20%,0.29,0.265,0.272,0.537,0.067,4.6,0.25,0.1,13,-12.2,0.257,51
52630,소크라테스,6.10%,14.60%,0.42,0.354,0.494,0.848,0.183,6,0.34,-0.4,86,21.4,0.381,133
77532,손아섭,9.60%,12.30%,0.78,0.347,0.367,0.714,0.089,4.5,0.312,-0.2,73,1.1,0.333,101
65357,송성문,7.50%,10.80%,0.69,0.302,0.371,0.673,0.124,2.9,0.256,-0.7,59,-11.5,0.306,84
64006,심우준,9.60%,16.70%,0.57,0.316,0.302,0.617,0.062,7.2,0.284,3.5,40,-12.4,0.295,76
50202,안권수,9.70%,15.00%,0.65,0.368,0.343,0.712,0.046,4.5,0.357,-1.2,33,1.6,0.339,105
51203,안재석,7.20%,26.90%,0.27,0.281,0.294,0.574,0.081,3.9,0.288,0.7,19,-12.1,0.271,61
79608,안치홍,9.10%,9.30%,0.98,0.354,0.436,0.79,0.152,4.4,0.292,0.3,78,12.8,0.36,120
52009,알포드,10.20%,27.90%,0.37,0.362,0.509,0.871,0.223,4.6,0.366,0.4,52,14.7,0.39,139
64153,양석환,7.20%,22.60%,0.32,0.309,0.432,0.742,0.188,3,0.276,0,54,2,0.337,104
76232,양의지,11.80%,9.40%,1.25,0.38,0.48,0.86,0.197,2.4,0.274,-0.1,82,22.6,0.388,138
78756,오선진,5.90%,16.70%,0.35,0.328,0.34,0.667,0.063,2,0.33,-0.8,32,-4,0.314,89
68904,오영수,8.50%,22.40%,0.38,0.309,0.359,0.668,0.121,2.1,0.288,-2.2,26,-3.8,0.312,87
64504,오윤석,10.10%,20.50%,0.49,0.322,0.343,0.665,0.108,1.8,0.281,-0.2,35,-4.5,0.314,89
75334,오재일,10.60%,24.80%,0.43,0.345,0.491,0.837,0.223,1.9,0.325,-0.3,79,17,0.372,127
79109,오지환,10.90%,18.80%,0.58,0.357,0.47,0.827,0.2,5.6,0.296,0.8,86,20.2,0.377,130
