player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
50705,강재민,한화,투수,56,0,51 1/3,0,0,3,6,0,1.0,0,0,0,-
52769,권광민,한화,우익수,11,6,53 2/3,0,0,15,0,0,1.0,0,0,0,-
52769,권광민,한화,좌익수,18,14,131,0,0,32,0,0,1.0,0,0,0,-
51713,김규연,한화,투수,12,0,13 2/3,0,0,0,1,0,1.0,0,0,0,-
51715,김기중,한화,투수,5,3,12,0,0,0,1,0,1.000,0,0,0,-
65764,김민우,한화,투수,29,29,163,1,0,9,16,0,0.962,0,0,0,-
65769,김범수,한화,투수,78,0,66,1,0,5,11,1,0.941,0,0,0,-
66715,김인환,한화,1루수,75,71,603 2/3,5,0,567,56,48,0.992,0,0,0,-
66741,김재영,한화,투수,30,1,30,0,1,3,9,1,1.0,0,0,0,-
63765,김종수,한화,투수,52,0,45,1,1,2,6,0,0.889,0,0,0,-
66704,김태연,한화,2루수,21,16,137 2/3,2,0,39,51,11,0.978,0,0,0,-
66704,김태연,한화,우익수,14,11,94,1,0,16,1,0,0.944,0,0,0,-
66704,김태연,한화,1루수,2,1,12,0,0,10,1,2,1.000,0,0,0,-
66704,김태연,한화,좌익수,2,0,2,0,0,0,0,0,-,0,0,0,-
66704,김태연,한화,3루수,61,58,473 1/3,11,0,52,101,11,0.933,0,0,0,-
50720,남지민,한화,투수,22,20,89,3,0,6,10,1,0.842,0,0,0,-
63704,노수광,한화,좌익수,93,76,648 2/3,4,0,168,5,0,0.977,0,0,0,-
63704,노수광,한화,중견수,11,7,71,0,0,24,0,0,1.0,0,0,0,-
69737,노시환,한화,3루수,74,69,594 2/3,7,0,49,104,10,0.956,0,0,0,-
69737,노시환,한화,1루수,36,25,232,3,0,209,17,15,0.987,0,0,0,-
52707,라미레즈,한화,투수,13,13,65 1/3,1,0,4,8,0,0.923,0,0,0,-
64029,류희운,한화,투수,15,0,11 2/3,0,0,1,0,1,1.0,0,0,0,-
52701,문동주,한화,투수,13,4,28 2/3,0,0,1,6,1,1.0,0,0,0,-
66707,박상언,한화,포수,51,35,329 2/3,9,1,275,26,0,0.971,0,37,9,19.6
67703,박상원,한화,투수,14,0,12,0,0,1,2,1,1.0,0,0,0,-
69762,박윤철,한화,투수,11,7,33 1/3,0,0,0,1,0,1.0,0,0,0,-
50709,박정현,한화,2루수,12,5,54,1,0,12,20,3,0.97,0,0,0,-
50709,박정현,한화,3루수,12,7,66,2,0,13,14,5,0.931,0,0,0,-
50709,박정현,한화,1루수,24,14,132,0,0,108,12,12,1.0,0,0,0,-
50709,박정현,한화,유격수,35,27,246 1/3,5,0,38,81,13,0.96,0,0,0,-
50709,박정현,한화,좌익수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
52731,박준영,한화,투수,5,2,11,0,0,0,0,0,-,0,0,0,-
78643,백용환,한화,포수,1,0,3,0,0,4,0,0,1.000,0,0,0,-
69727,변우혁,한화,1루수,8,6,54 1/3,2,0,54,3,9,0.966,0,0,0,-
69727,변우혁,한화,3루수,7,4,37,1,0,3,6,0,0.9,0,0,0,-
61156,송윤준,한화,투수,3,0,4 1/3,0,0,0,0,0,-,0,0,0,-
60140,신정락,한화,투수,44,0,47,0,0,6,10,4,1.0,0,0,0,-
67760,원혁재,한화,좌익수,5,3,29,0,0,10,0,0,1.000,0,0,0,-
67760,원혁재,한화,우익수,4,4,26,0,0,6,0,0,1.000,0,0,0,-
69766,유로결,한화,우익수,9,5,49,1,0,6,0,0,0.857,0,0,0,-
69766,유로결,한화,중견수,5,1,15 2/3,0,0,6,0,0,1.000,0,0,0,-
69766,유로결,한화,좌익수,14,11,96,0,0,18,1,0,1.0,0,0,0,-
52705,유상빈,한화,좌익수,11,10,78,0,0,11,0,0,1.0,0,0,0,-
52705,유상빈,한화,우익수,3,3,23,0,0,3,0,0,1.000,0,0,0,-
63464,윤대경,한화,투수,25,14,75 1/3,1,1,4,14,3,0.947,0,0,0,-
