player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
61353,고종욱,KIA,0.283,62,114,106,13,30,7,1,2,45,14,1,0
51640,권다결,KIA,0.500,2,2,2,0,1,0,0,0,1,1,0,0
66614,김규성,KIA,0.180,70,52,50,14,9,0,1,1,14,4,1,0
52605,김도영,KIA,0.237,103,254,224,37,53,11,4,3,81,19,4,1
67610,김석환,KIA,0.149,51,107,94,15,14,2,0,3,25,7,0,0
78603,김선빈,KIA,0.287,140,587,505,51,145,23,0,3,177,61,7,3
51604,김선우,KIA,0.333,3,4,3,1,1,0,0,0,1,0,0,0
64580,김재열,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
65653,김호령,KIA,0.273,54,88,77,21,21,1,1,1,27,8,4,0
62947,나성범,KIA,0.320,144,649,563,92,180,39,2,21,286,97,0,5
62947,나성범,KIA,0.32,144,649,563,92,180,39,2,21,286,97,0,5
78629,나지완,KIA,0.000,2,1,1,0,0,0,0,0,0,0,0,0
66615,류승현,KIA,0.000,3,3,3,0,0,0,0,0,0,0,0,0
62234,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2
79365,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1
50657,박민,KIA,0.000,6,2,2,1,0,0,0,0,0,0,0,0
67609,박정우,KIA,0.333,16,3,3,2,1,0,0,0,1,2,0,0
64646,박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7
52630,소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4
66662,신범수,KIA,0.000,2,3,3,0,0,0,0,0,0,0,0,0
63260,이우성,KIA,0.292,80,137,120,23,35,7,0,1,45,12,4,0
67644,이정훈,KIA,0.000,6,10,8,0,0,0,0,0,0,0,0,0
64560,이창진,KIA,0.301,111,404,346,56,104,14,0,7,139,48,11,4
66833,임석진,KIA,0.071,10,17,14,4,1,0,0,1,4,1,0,0
65464,최정용,KIA,0.091,30,23,22,5,2,0,0,0,2,0,1,0
72443,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2
63722,한승택,KIA,0.176,66,119,102,11,18,2,0,1,23,12,4,1
65610,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5
