player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
61353,고종욱,KIA,62,1,1,0,100,1,0
51640,권다결,KIA,2,0,0,0,-,0,0
66614,김규성,KIA,70,0,0,0,-,1,0
52605,김도영,KIA,103,16,13,3,81.3,7,0
67610,김석환,KIA,51,0,0,0,-,0,0
78603,김선빈,KIA,140,15,13,2,86.7,10,0
51604,김선우,KIA,3,0,0,0,-,0,0
64580,김재열,KIA,1,0,0,0,-,0,0
65653,김호령,KIA,54,3,2,1,66.7,1,0
62947,나성범,KIA,144,7,6,1,85.7,5,0
78629,나지완,KIA,2,0,0,0,-,0,0
66615,류승현,KIA,3,0,0,0,-,0,0
62234,류지혁,KIA,127,12,8,4,66.7,4,0
79365,박동원,KIA,123,1,1,0,100,5,1
50657,박민,KIA,6,0,0,0,-,0,0
67609,박정우,KIA,16,0,0,0,-,1,1
64646,박찬호,KIA,130,50,42,8,84.0,7,0
52630,소크라테스,KIA,127,19,12,7,63.2,5,1
66662,신범수,KIA,2,0,0,0,-,0,0
63260,이우성,KIA,80,4,1,3,25.0,1,1
67644,이정훈,KIA,6,0,0,0,-,0,0
64560,이창진,KIA,111,8,3,5,37.5,4,0
66833,임석진,KIA,10,0,0,0,-,0,0
65464,최정용,KIA,30,0,0,0,-,0,0
72443,최형우,KIA,132,1,1,0,100,3,1
63722,한승택,KIA,66,0,0,0,-,0,0
65610,황대인,KIA,129,0,0,0,-,3,0
