player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
51143,강효종,LG,3.6,1,1,0,0,0,1.000,5,5,0,4,0,4,2,2,1.8
67119,고우석,LG,1.48,61,4,2,42,0,0.667,60 2/3,37,6,21,1,80,12,10,0.96
60337,김대유,LG,2.04,59,2,1,0,13,0.667,39 2/3,35,2,15,8,36,11,9,1.26
68130,김영준,LG,1.86,2,0,0,0,0,-,9 2/3,8,1,4,3,7,2,2,1.24
50157,김윤식,LG,3.31,23,8,5,0,0,0.615,114 1/3,125,5,27,1,81,46,42,1.33
52140,김주완,LG,0.0,1,0,0,0,0,-,1,1,0,1,0,0,0,0,2.0
75867,김진성,LG,3.1,67,6,3,0,12,0.667,58,44,6,22,1,54,21,20,1.14
63145,배재준,LG,2.3,17,0,1,0,0,0.000,31 1/3,22,0,15,4,23,11,8,1.18
65109,백승현,LG,10.8,12,0,1,0,1,0.000,10,15,2,9,0,3,13,12,2.4
67143,손주영,LG,4.97,3,0,1,0,0,0.000,12 2/3,10,0,8,3,8,7,7,1.42
51111,송승기,LG,5.4,7,0,1,0,0,0.000,8 1/3,9,1,6,0,10,5,5,1.8
73801,송은범,LG,4.05,25,1,1,0,2,0.500,26 2/3,29,3,10,0,13,13,12,1.46
67116,오석주,LG,2.45,4,0,0,0,0,-,3 2/3,4,1,0,0,2,1,1,1.09
50126,이민호,LG,5.51,26,12,8,0,0,0.600,119 1/3,146,14,43,7,73,77,73,1.58
61145,이우찬,LG,1.81,36,5,0,0,2,1.000,44 2/3,29,2,21,1,42,10,9,1.12
69134,이정용,LG,3.34,65,4,4,1,22,0.500,59 1/3,53,3,18,2,40,26,22,1.2
69108,이지강,LG,4.91,4,0,0,0,0,-,11,12,0,13,0,6,6,6,2.27
69113,임준형,LG,6.0,10,1,3,0,1,0.250,30,36,2,14,3,26,22,20,1.67
61101,임찬규,LG,5.04,23,6,11,0,0,0.353,103 2/3,113,10,39,7,75,60,58,1.47
69159,정우영,LG,2.64,67,2,3,0,35,0.400,58,48,3,32,6,40,18,17,1.38
52149,조원태,LG,0.0,2,0,0,0,0,-,4,1,0,2,1,0,0,0,0.75
76650,진해수,LG,2.4,64,4,0,0,12,1.000,45,39,1,11,1,35,13,12,1.11
65241,채원후,LG,0.0,3,0,0,0,1,-,3,1,0,0,1,2,0,0,0.33
79140,최동환,LG,4.14,47,0,1,0,0,0.000,50,45,5,17,1,30,23,23,1.24
62146,최성훈,LG,2.16,45,0,0,0,6,-,33 1/3,23,1,13,3,22,10,8,1.08
69103,켈리,LG,2.54,27,16,4,0,0,0.800,166 1/3,144,10,35,2,153,50,47,1.08
69103,켈리,LG,2.54,27,16,4,0,0,0.8,166 1/3,144,10,35,2,153,50,47,1.08
52145,플럿코,LG,2.39,28,15,5,0,0,0.750,162,125,13,38,2,149,53,43,1.01
52145,플럿코,LG,2.39,28,15,5,0,0,0.75,162,125,13,38,2,149,53,43,1.01
63248,함덕주,LG,2.13,13,0,0,0,0,-,12 2/3,9,0,11,1,13,3,3,1.58
52119,허준혁,LG,9.64,6,0,0,0,0,-,4 2/3,11,3,2,0,4,6,5,2.79
