player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
61295,강동연,NC,투수,6,0,8 2/3,0,1,2,3,0,1.000,0,0,0,-
65933,구창모,NC,투수,19,19,111 2/3,1,0,2,10,0,0.923,0,0,0,-
63963,권희동,NC,좌익수,25,17,146 2/3,0,0,40,0,0,1.000,0,0,0,-
63963,권희동,NC,우익수,26,12,124 1/3,2,0,21,3,0,0.923,0,0,0,-
63963,권희동,NC,중견수,31,29,211 1/3,1,0,52,0,0,0.981,0,0,0,-
60339,김건태,NC,투수,16,0,18 1/3,2,0,0,2,0,0.500,0,0,0,-
65462,김기환,NC,좌익수,20,8,90,1,0,18,1,0,0.950,0,0,0,-
65462,김기환,NC,우익수,11,0,23 1/3,0,0,5,0,0,1.000,0,0,0,-
65462,김기환,NC,중견수,44,20,209,1,0,60,1,0,0.984,0,0,0,-
67900,김수윤,NC,1루수,4,2,23,1,0,15,1,3,0.941,0,0,0,-
67900,김수윤,NC,3루수,4,2,18,0,0,2,5,0,1.000,0,0,0,-
68928,김시훈,NC,투수,59,7,83 1/3,3,0,2,10,0,0.8,0,0,0,-
68900,김영규,NC,투수,72,0,66,0,0,5,17,2,1.0,0,0,0,-
60288,김응민,NC,포수,34,17,179 2/3,1,0,163,17,3,0.994,1,10,10,50.0
51907,김주원,NC,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
51907,김주원,NC,유격수,79,70,636 1/3,11,0,139,206,48,0.969,0,0,0,-
51907,김주원,NC,2루수,20,11,94,0,0,28,28,7,1.000,0,0,0,-
67954,김진호,NC,투수,36,0,42 2/3,1,0,1,8,1,0.9,0,0,0,-
50992,김태경,NC,투수,16,7,44 1/3,1,0,5,2,0,0.875,0,0,0,-
50902,김한별,NC,2루수,1,0,3 2/3,1,0,2,4,2,0.857,0,0,0,-
50902,김한별,NC,유격수,23,4,75,3,0,9,19,2,0.903,0,0,0,-
62931,노진혁,NC,3루수,59,57,465 1/3,8,0,34,72,5,0.93,0,0,0,-
62931,노진혁,NC,유격수,60,53,441 1/3,8,0,77,125,25,0.962,0,0,0,-
52950,더모디,NC,투수,8,8,39 2/3,1,0,2,2,0,0.800,0,0,0,-
66965,도태훈,NC,3루수,30,16,158 1/3,2,0,12,35,9,0.959,0,0,0,-
66965,도태훈,NC,1루수,45,8,150 2/3,2,0,139,7,11,0.986,0,0,0,-
66965,도태훈,NC,2루수,18,9,88,0,0,19,32,3,1.000,0,0,0,-
69940,루친스키,NC,투수,31,31,193 2/3,4,0,14,18,0,0.889,0,0,0,-
65949,류진욱,NC,투수,51,0,46 1/3,2,0,2,5,0,0.778,0,0,0,-
52904,마티니,NC,1루수,57,52,396 1/3,10,0,335,21,29,0.973,0,0,0,-
52904,마티니,NC,좌익수,70,56,508,2,0,107,3,0,0.982,0,0,0,-
52904,마티니,NC,우익수,15,12,102,0,0,19,1,0,1.000,0,0,0,-
79215,박건우,NC,중견수,77,76,621,3,0,146,3,0,0.98,0,0,0,-
79215,박건우,NC,우익수,16,9,72 2/3,0,0,12,1,1,1.000,0,0,0,-
64944,박대온,NC,포수,58,37,338 1/3,2,0,309,13,1,0.994,3,20,7,25.9
52994,박동수,NC,투수,10,0,14 2/3,0,0,1,1,0,1.000,0,0,0,-
62907,박민우,NC,2루수,100,97,840,8,0,197,246,59,0.982,0,0,0,-
74465,박석민,NC,1루수,4,4,28,1,0,24,3,1,0.964,0,0,0,-
74465,박석민,NC,3루수,6,6,50,1,0,2,10,0,0.923,0,0,0,-
66928,박준영,NC,유격수,24,17,134,4,0,21,32,3,0.930,0,0,0,-
66928,박준영,NC,3루수,53,40,369 1/3,9,0,34,75,7,0.924,0,0,0,-
69995,서호철,NC,1루수,3,1,14,0,0,12,1,0,1.000,0,0,0,-
69995,서호철,NC,3루수,38,23,224 2/3,4,0,17,55,1,0.947,0,0,0,-
69995,서호철,NC,2루수,41,27,258,1,0,54,74,15,0.992,0,0,0,-
77532,손아섭,NC,우익수,108,108,894 2/3,3,0,193,7,3,0.985,0,0,0,-
69962,송명기,NC,투수,25,22,107 2/3,1,0,3,5,1,0.889,0,0,0,-
68902,신민혁,NC,투수,26,23,118 1/3,0,0,9,13,1,1.000,0,0,0,-
61411,심창민,NC,투수,11,0,6 1/3,0,0,0,0,0,-,0,0,0,-
76232,양의지,NC,포수,96,89,736 2/3,2,1,688,54,5,0.997,5,26,19,42.2
68904,오영수,NC,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
68904,오영수,NC,1루수,76,63,553 2/3,4,0,486,40,50,0.992,0,0,0,-
51996,오태양,NC,2루수,2,0,3,0,0,0,3,0,1.000,0,0,0,-
51996,오태양,NC,중견수,4,0,5,0,0,1,0,0,1.000,0,0,0,-
76118,원종현,NC,투수,68,0,63 1/3,2,0,3,8,2,0.846,0,0,0,-
63905,윤형준,NC,1루수,23,14,121,0,0,99,10,7,1.000,0,0,0,-
76849,이명기,NC,중견수,10,7,59 1/3,0,0,12,0,0,1.000,0,0,0,-
76849,이명기,NC,우익수,2,2,12,0,0,4,0,0,1.000,0,0,0,-
76849,이명기,NC,좌익수,66,58,477 2/3,4,0,90,2,0,0.958,0,0,0,-
51948,이용준,NC,투수,10,2,22,1,0,0,2,1,0.667,0,0,0,-
77211,이용찬,NC,투수,59,0,60 2/3,1,1,2,6,1,0.889,0,0,0,-
65964,이우석,NC,투수,3,0,1 2/3,0,0,1,0,0,1.000,0,0,0,-
67993,이재용,NC,포수,7,0,15,1,0,13,1,1,0.933,0,0,1,100
60263,이재학,NC,투수,26,17,91,2,0,5,12,0,0.895,0,0,0,-
63959,임정호,NC,투수,33,0,25,1,0,2,3,0,0.833,0,0,0,-
78361,전민수,NC,좌익수,3,1,12,0,0,2,1,0,1.000,0,0,0,-
69969,전사민,NC,투수,7,0,8 1/3,1,0,0,0,0,0.000,0,0,0,-
50995,정구범,NC,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
76720,정범모,NC,포수,4,1,17,0,0,20,0,0,1.000,0,4,0,0.0
61869,정진기,NC,우익수,14,1,34,0,0,3,0,0,1.000,0,0,0,-
61869,정진기,NC,중견수,13,4,51,0,0,12,0,0,1.000,0,0,0,-
61869,정진기,NC,좌익수,5,3,30,0,0,6,0,0,1.000,0,0,0,-
52903,조민석,NC,투수,18,0,16,0,1,2,5,0,1.000,0,0,0,-
