player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
72523,고효준,SSG,3.72,45,1,0,0,7,1.000,38 2/3,35,1,20,2,35,18,16,1.42
51867,김건우,SSG,9.0,2,0,0,0,0,-,3,5,1,4,0,1,3,3,3.0
77829,김광현,SSG,2.13,28,13,3,0,0,0.813,173 1/3,141,10,45,5,153,48,41,1.07
76430,김상수,SSG,9.0,8,0,0,1,0,-,8,9,2,4,1,3,8,8,1.63
65411,김주온,SSG,11.25,5,0,0,0,0,-,4,3,1,5,0,4,5,5,2.0
79847,김태훈,SSG,10.13,9,0,0,1,3,-,5 1/3,6,2,10,0,1,6,6,3.0
65343,김택형,SSG,4.92,64,3,5,17,10,0.375,60 1/3,57,8,22,3,62,33,33,1.31
73211,노경은,SSG,3.05,41,12,5,1,7,0.706,79 2/3,69,5,23,4,55,28,27,1.15
52833,노바,SSG,6.5,12,3,4,0,0,0.429,63 2/3,78,5,25,5,32,50,46,1.62
52808,모리만도,SSG,1.67,12,7,1,0,0,0.875,75 1/3,57,2,23,4,67,19,14,1.06
62869,문승원,SSG,5.11,23,1,1,3,3,0.500,24 2/3,32,3,7,2,25,15,14,1.58
64893,박민호,SSG,4.09,22,1,1,1,4,0.500,22,26,3,11,2,12,10,10,1.68
50812,박시후,SSG,18.0,2,0,0,0,0,-,1,3,0,0,0,0,2,2,3.0
60841,박종훈,SSG,6.0,11,3,5,0,0,0.375,48,52,6,21,8,40,34,32,1.52
64896,서동민,SSG,2.57,20,1,1,0,5,0.500,21,13,3,11,1,19,11,6,1.14
61895,서진용,SSG,4.01,68,7,3,21,12,0.700,67 1/3,64,5,36,3,55,32,30,1.49
62937,신재영,SSG,12.46,4,0,0,0,0,-,4 1/3,9,2,0,0,4,6,6,2.08
52873,신헌민,SSG,9.0,1,0,0,0,0,-,1,3,0,0,0,1,2,1,3.0
50859,오원석,SSG,4.5,31,6,8,0,0,0.429,144,158,16,58,3,112,79,72,1.5
52867,윤태현,SSG,9.0,3,0,0,0,0,-,2,2,0,2,0,2,2,2,2.0
64861,이건욱,SSG,9.0,1,0,1,0,0,0.000,3,2,1,4,0,2,3,3,2.0
60768,이태양,SSG,3.62,30,8,3,0,1,0.727,112,116,15,24,5,61,50,45,1.25
51895,장지훈,SSG,4.25,40,2,0,0,6,1.000,55,56,6,11,3,33,26,26,1.22
52809,전영준,SSG,7.2,4,0,0,0,0,-,5,7,2,3,1,7,4,4,2.0
65058,정성곤,SSG,10.13,2,0,0,0,0,-,2 2/3,1,1,3,1,3,3,3,1.5
51809,조요한,SSG,6.52,23,2,1,0,5,0.667,19 1/3,17,2,13,4,15,15,14,1.55
68856,최민준,SSG,3.95,51,5,4,0,5,0.556,68 1/3,51,10,34,2,48,37,30,1.24
51863,폰트,SSG,2.69,28,13,6,0,0,0.684,184,141,18,34,6,170,63,55,0.95
68092,한두솔,SSG,16.88,8,0,0,0,0,-,5 1/3,10,0,4,0,1,10,10,2.63
