game_id,date,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
20230401LTOB0,2023-04-01,잠실,롯데,두산,finished,23750,14:02,18:45,283,10,12
20230401HTSK0,2023-04-01,문학,KIA,SSG,finished,23000,14:01,17:24,203,1,4
20230401NCSS0,2023-04-01,대구,NC,삼성,finished,24000,14:03,17:19,196,8,0
20230401LGKT0,2023-04-01,수원,LG,KT,finished,18700,14:00,17:12,192,6,11
20230401HHWO0,2023-04-01,고척,한화,키움,finished,16000,14:01,17:56,235,2,3
20230402LTOB0,2023-04-02,잠실,롯데,두산,finished,23750,14:00,17:00,180,2,0
20230402HTSK0,2023-04-02,문학,KIA,SSG,finished,23000,14:01,17:27,206,9,5
20230402NCSS0,2023-04-02,대구,NC,삼성,finished,18483,13:59,17:30,211,6,8
20230402LGKT0,2023-04-02,수원,LG,KT,finished,14700,14:00,18:47,287,10,9
20230402HHWO0,2023-04-02,고척,한화,키움,finished,11562,14:00,17:36,216,6,7
20230404NCOB0,2023-04-04,잠실,NC,두산,finished,3924,18:30,21:13,163,0,1
20230404LTSK0,2023-04-04,문학,롯데,SSG,finished,5809,18:30,21:45,163,1,3
20230404HHSS0,2023-04-04,대구,한화,삼성,finished,5936,18:30,21:40,190,6,7
20230404HTKT0,2023-04-04,대구,KIA,KT,canceled,,,,,,
20230404LGWO0,2023-04-04,고척,LG,키움,finished,4510,18:30,21:33,183,7,1
20230405NCOB0,2023-04-05,잠실,NC,두산,finished,2172,18:30,21:57,207,9,3
20230405LTSK0,2023-04-05,잠실,롯데,SSG,canceled,,,,,,
20230405HHSS0,2023-04-05,잠실,한화,삼성,canceled,,,,,,
20230405HTKT0,2023-04-05,잠실,KIA,KT,canceled,,,,,,
20230405LGWO0,2023-04-05,고척,LG,키움,finished,4194,18:30,21:40,190,1,2
20230406NCOB0,2023-04-06,잠실,NC,두산,finished,3724,18:30,22:05,215,2,6
20230406LTSK0,2023-04-06,잠실,롯데,SSG,canceled,,,,,,
20230406HHSS0,2023-04-06,대구,한화,삼성,finished,6525,18:30,21:15,165,8,1
20230406HTKT0,2023-04-06,대구,KIA,KT,canceled,,,,,,
20230406LGWO0,2023-04-06,고척,LG,키움,finished,4556,18:31,21:45,194,5,0
20230407SKHH0,2023-04-07,한밭,SSG,한화,finished,10415,18:29,22:31,242,7,3
20230407SSLG0,2023-04-07,잠실,삼성,LG,finished,17201,18:30,21:11,161,2,7
20230407KTLT0,2023-04-07,사직,KT,롯데,finished,14734,18:30,21:35,185,7,1
20230407WONC0,2023-04-07,창원,키움,NC,finished,6867,18:30,20:49,139,0,2
20230407OBHT0,2023-04-07,광주,두산,KIA,finished,12821,18:30,21:38,188,4,1
20230408SKHH0,2023-04-08,한밭,SSG,한화,finished,11232,17:00,20:57,237,7,5
20230408SSLG0,2023-04-08,잠실,삼성,LG,finished,22141,17:00,19:52,172,1,2
20230408KTLT0,2023-04-08,사직,KT,롯데,finished,16555,16:59,20:05,186,7,3
20230408WONC0,2023-04-08,창원,키움,NC,finished,9763,17:00,20:41,221,5,11
20230408OBHT0,2023-04-08,광주,두산,KIA,finished,16432,17:01,21:01,240,6,7
20230409SKHH0,2023-04-09,한밭,SSG,한화,finished,9455,14:00,17:07,187,3,0
20230409SSLG0,2023-04-09,잠실,삼성,LG,finished,20439,14:01,17:25,204,2,3
20230409KTLT0,2023-04-09,사직,KT,롯데,finished,12283,13:59,16:47,168,3,5
20230409WONC0,2023-04-09,창원,키움,NC,finished,7686,13:59,16:53,174,1,6
20230409OBHT0,2023-04-09,광주,두산,KIA,finished,14070,14:00,17:15,195,3,2
20230411WOOB0,2023-04-11,잠실,키움,두산,finished,4372,18:30,21:46,196,4,6
20230411LGLT0,2023-04-11,사직,LG,롯데,finished,5286,18:30,22:14,224,5,6
20230411SKSS0,2023-04-11,대구,SSG,삼성,finished,3907,18:30,21:39,189,5,4
20230411KTNC0,2023-04-11,창원,KT,NC,finished,2069,18:29,20:56,147,0,1
20230411HHHT0,2023-04-11,광주,한화,KIA,finished,3623,18:29,22:15,226,5,4
20230412WOOB0,2023-04-12,잠실,키움,두산,canceled,,,,,,
20230412LGLT0,2023-04-12,사직,LG,롯데,finished,6519,18:29,22:32,243,12,8
20230412SKSS0,2023-04-12,대구,SSG,삼성,finished,5405,18:30,21:02,152,3,0
20230412KTNC0,2023-04-12,창원,KT,NC,finished,2448,18:30,21:12,162,1,5
20230412HHHT0,2023-04-12,광주,한화,KIA,finished,5252,18:29,21:14,165,0,2
20230413WOOB0,2023-04-13,잠실,키움,두산,finished,6917,18:31,22:06,215,9,2
20230413LGLT0,2023-04-13,사직,LG,롯데,finished,6505,18:30,21:54,204,7,8
20230413SKSS0,2023-04-13,대구,SSG,삼성,finished,4648,18:30,22:08,218,9,11
20230413KTNC0,2023-04-13,창원,KT,NC,finished,3174,18:30,22:00,210,10,3
20230413HHHT0,2023-04-13,광주,한화,KIA,finished,5457,18:30,21:59,209,5,1
20230414OBLG0,2023-04-14,잠실,두산,LG,finished,16528,18:30,22:01,211,4,13
20230414NCSK0,2023-04-14,문학,NC,SSG,finished,8218,18:30,21:32,182,1,2
20230414LTSS0,2023-04-14,대구,롯데,삼성,finished,9124,18:31,21:58,207,7,9
20230414HHKT0,2023-04-14,수원,한화,KT,finished,7145,18:29,23:25,296,7,7
20230414HTWO0,2023-04-14,고척,KIA,키움,finished,8043,18:31,21:22,171,2,9
20230415OBLG0,2023-04-15,잠실,두산,LG,finished,21243,17:00,19:32,152,1,3
20230415NCSK0,2023-04-15,문학,NC,SSG,finished,13956,17:00,20:11,191,1,0
20230415LTSS0,2023-04-15,대구,롯데,삼성,finished,18231,17:11,21:05,234,9,5
20230415HHKT0,2023-04-15,수원,한화,KT,finished,13212,17:00,20:26,206,7,2
20230415HTWO0,2023-04-15,고척,KIA,키움,finished,13752,17:00,19:56,176,1,6
20230416OBLG0,2023-04-16,잠실,두산,LG,finished,20090,14:00,17:24,204,10,5
20230416NCSK0,2023-04-16,문학,NC,SSG,finished,13460,14:00,18:10,250,10,5
20230416LTSS0,2023-04-16,대구,롯데,삼성,finished,16076,14:01,16:44,163,1,9
