팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
LG,0.279,144,5687,4881,767,1364,227,27,93,1924,714,94,55
KIA,0.276,144,5607,4954,726,1365,224,21,101,1934,673,63,44
NC,0.27,144,5606,4895,679,1321,223,28,98,1894,642,63,55
KT,0.265,144,5649,4973,672,1316,235,14,89,1846,621,57,47
롯데,0.265,144,5576,4871,653,1289,231,19,69,1765,608,75,57
삼성,0.263,144,5581,4912,636,1290,208,23,88,1808,603,77,43
키움,0.261,144,5729,5062,607,1323,223,30,61,1789,576,51,58
SSG,0.26,144,5630,4923,658,1279,229,16,125,1915,611,77,45
두산,0.255,144,5538,4859,620,1238,210,32,100,1812,565,57,41
한화,0.241,144,5628,4906,604,1184,211,12,100,1719,568,59,40
