기준일,순위,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2023-04-01,1,1,1,0,0,1,0,1승0무0패,1승,1-0-0,0-0-0
2023-04-01,1,1,1,0,0,1,0,1승0무0패,1승,0-0-0,1-0-0
2023-04-01,6,1,0,1,0,0,1,0승0무1패,1패,0-0-0,0-0-1
2023-04-01,6,1,0,1,0,0,1,0승0무1패,1패,0-0-1,0-0-0
2023-04-02,1,2,2,0,0,1,0,2승0무0패,2승,2-0-0,0-0-0
2023-04-02,2,2,1,1,0,0.5,1,1승0무1패,1패,1-0-1,0-0-0
2023-04-02,2,2,1,1,0,0.5,1,1승0무1패,1승,0-0-0,1-0-1
2023-04-02,2,2,1,1,0,0.5,1,1승0무1패,1패,0-0-0,1-0-1
2023-04-02,2,2,1,1,0,0.5,1,1승0무1패,1승,1-0-1,0-0-0
2023-04-02,10,2,0,2,0,0,2,0승0무2패,2패,0-0-0,0-0-2
2023-04-04,1,3,2,1,0,0.667,0,2승0무1패,1승,2-0-1,0-0-0
2023-04-04,1,3,2,1,0,0.667,0,2승0무1패,1패,2-0-1,0-0-0
2023-04-04,1,3,2,1,0,0.667,0,2승0무1패,2승,0-0-0,2-0-1
2023-04-04,1,3,2,1,0,0.667,0,2승0무1패,2승,2-0-1,0-0-0
2023-04-04,6,2,1,1,0,0.5,0.5,1승0무1패,1패,1-0-1,0-0-0
2023-04-04,6,2,1,1,0,0.5,0.5,1승0무1패,1승,0-0-0,1-0-1
2023-04-04,8,3,1,2,0,0.333,1,1승0무2패,2패,0-0-0,1-0-2
2023-04-04,8,3,1,2,0,0.333,1,1승0무2패,1패,0-0-0,1-0-2
2023-04-04,10,3,0,3,0,0,2,0승0무3패,3패,0-0-0,0-0-3
2023-04-05,1,4,3,1,0,0.75,0,3승0무1패,1승,3-0-1,0-0-0
2023-04-05,2,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0
2023-04-05,2,3,2,1,0,0.667,0.5,2승0무1패,2승,2-0-1,0-0-0
2023-04-05,4,4,2,2,0,0.5,1,2승0무2패,1패,0-0-0,2-0-2
2023-04-05,4,2,1,1,0,0.5,1,1승0무1패,1패,1-0-1,0-0-0
2023-04-05,4,2,1,1,0,0.5,1,1승0무1패,1승,0-0-0,1-0-1
2023-04-05,4,4,2,2,0,0.5,1,2승0무2패,1승,0-0-0,2-0-2
2023-04-05,4,4,2,2,0,0.5,1,2승0무2패,1패,2-0-2,0-0-0
2023-04-05,9,3,1,2,0,0.333,1.5,1승0무2패,1패,0-0-0,1-0-2
2023-04-05,10,3,0,3,0,0,2.5,0승0무3패,3패,0-0-0,0-0-3
2023-04-06,1,3,2,1,0,0.667,0,2승0무1패,1승,2-0-1,0-0-0
2023-04-06,2,5,3,2,0,0.6,0,3승0무2패,1패,3-0-2,0-0-0
2023-04-06,2,5,3,2,0,0.6,0,3승0무2패,1승,0-0-0,3-0-2
2023-04-06,2,5,3,2,0,0.6,0,3승0무2패,1승,3-0-2,0-0-0
2023-04-06,5,2,1,1,0,0.5,0.5,1승0무1패,1패,1-0-1,0-0-0
2023-04-06,5,2,1,1,0,0.5,0.5,1승0무1패,1승,0-0-0,1-0-1
2023-04-06,5,4,2,2,0,0.5,0.5,2승0무2패,1패,2-0-2,0-0-0
2023-04-06,8,5,2,3,0,0.4,1,2승0무3패,1패,0-0-0,2-0-3
2023-04-06,9,3,1,2,0,0.333,1,1승0무2패,1패,0-0-0,1-0-2
2023-04-06,10,4,1,3,0,0.25,1.5,1승0무3패,1승,0-0-0,1-0-3
2023-04-07,1,4,3,1,0,0.75,0,3승0무1패,2승,2-0-1,1-0-0
2023-04-07,2,6,4,2,0,0.667,0,4승0무2패,2승,1-0-0,3-0-2
2023-04-07,2,3,2,1,0,0.667,0.5,2승0무1패,1승,1-0-1,1-0-0
2023-04-07,2,6,4,2,0,0.667,0,4승0무2패,2승,3-0-2,1-0-0
2023-04-07,5,6,3,3,0,0.5,1,3승0무3패,2패,3-0-2,0-0-1
2023-04-07,5,6,3,3,0,0.5,1,3승0무3패,1승,1-0-0,2-0-3
2023-04-07,7,5,2,3,0,0.4,1.5,2승0무3패,2패,2-0-2,0-0-1
2023-04-07,8,3,1,2,0,0.333,1.5,1승0무2패,1패,0-0-1,1-0-1
2023-04-07,9,4,1,3,0,0.25,2,1승0무3패,2패,0-0-1,1-0-2
2023-04-07,10,5,1,4,0,0.2,2.5,1승0무4패,1패,0-0-1,1-0-3
2023-04-08,1,5,4,1,0,0.8,0,4승0무1패,3승,2-0-1,2-0-0
2023-04-08,2,4,3,1,0,0.75,0.5,3승0무1패,2승,1-0-1,2-0-0
2023-04-08,3,7,5,2,0,0.714,0,5승0무2패,3승,2-0-0,3-0-2
2023-04-08,4,7,4,3,0,0.571,1,4승0무3패,2승,2-0-0,2-0-3
2023-04-08,4,7,4,3,0,0.571,1,4승0무3패,1패,3-0-2,1-0-1
2023-04-08,6,4,2,2,0,0.5,1.5,2승0무2패,1승,1-0-1,1-0-1
2023-04-08,7,7,3,4,0,0.429,2,3승0무4패,3패,3-0-2,0-0-2
2023-04-08,8,6,2,4,0,0.333,2.5,2승0무4패,3패,2-0-2,0-0-2
2023-04-08,9,5,1,4,0,0.2,3,1승0무4패,3패,0-0-2,1-0-2
2023-04-08,10,6,1,5,0,0.167,3.5,1승0무5패,2패,0-0-2,1-0-3
2023-04-09,1,6,5,1,0,0.833,0,5승0무1패,4승,2-0-1,3-0-0
2023-04-09,2,8,6,2,0,0.75,0,6승0무2패,4승,3-0-0,3-0-2
2023-04-09,3,8,5,3,0,0.625,1,5승0무3패,3승,3-0-0,2-0-3
2023-04-09,3,8,5,3,0,0.625,1,5승0무3패,1승,3-0-2,2-0-1
2023-04-09,5,5,3,2,0,0.6,1.5,3승0무2패,1패,1-0-1,2-0-1
2023-04-09,6,5,2,3,0,0.4,2.5,2승0무3패,1패,1-0-2,1-0-1
2023-04-09,7,8,3,5,0,0.375,3,3승0무5패,4패,3-0-2,0-0-3
2023-04-09,8,6,2,4,0,0.333,3,2승0무4패,1승,1-0-2,1-0-2
2023-04-09,9,7,2,5,0,0.286,3.5,2승0무5패,4패,2-0-2,0-0-3
2023-04-09,10,7,1,6,0,0.143,4.5,1승0무6패,3패,0-0-3,1-0-3
2023-04-11,1,7,6,1,0,0.857,0,6승0무1패,5승,2-0-1,4-0-0
2023-04-11,2,9,6,3,0,0.667,1,6승0무3패,1패,3-0-0,3-0-3
2023-04-11,2,9,6,3,0,0.667,1,6승0무3패,4승,4-0-0,2-0-3
2023-04-11,2,9,6,3,0,0.667,1,6승0무3패,2승,4-0-2,2-0-1
2023-04-11,5,6,3,3,0,0.5,2.5,3승0무3패,2패,1-0-1,2-0-2
2023-04-11,6,7,3,4,0,0.429,3,3승0무4패,2승,2-0-2,1-0-2
2023-04-11,7,9,3,6,0,0.333,4,3승0무6패,5패,3-0-2,0-0-4
2023-04-11,7,6,2,4,0,0.333,3.5,2승0무4패,2패,1-0-3,1-0-1
2023-04-11,9,8,2,6,0,0.25,4.5,2승0무6패,5패,2-0-3,0-0-3
2023-04-11,9,8,2,6,0,0.25,4.5,2승0무6패,1승,0-0-3,2-0-3
2023-04-12,1,8,7,1,0,0.875,0,7승0무1패,6승,2-0-1,5-0-0
2023-04-12,2,10,7,3,0,0.7,1,7승0무3패,1승,3-0-0,4-0-3
2023-04-12,2,10,7,3,0,0.7,1,7승0무3패,5승,5-0-0,2-0-3
2023-04-12,4,9,6,3,0,0.667,1.5,6승0무3패,2승,4-0-2,2-0-1
2023-04-12,5,7,3,4,0,0.429,3.5,3승0무4패,3패,1-0-1,2-0-3
2023-04-12,5,7,3,4,0,0.429,3.5,3승0무4패,1승,2-0-3,1-0-1
2023-04-12,7,8,3,5,0,0.375,4,3승0무5패,1패,2-0-3,1-0-2
2023-04-12,8,9,3,6,0,0.333,4.5,3승0무6패,5패,3-0-2,0-0-4
2023-04-12,9,9,2,7,0,0.222,5.5,2승0무7패,6패,2-0-4,0-0-3
2023-04-12,9,9,2,7,0,0.222,5.5,2승0무7패,1패,0-0-3,2-0-4
2023-04-13,1,9,7,2,0,0.778,0,7승0무2패,1패,2-0-1,5-0-1
2023-04-13,2,11,7,4,0,0.636,1,7승0무3패,1패,3-0-0,4-0-4
2023-04-13,2,11,7,4,0,0.636,1,6승0무4패,1패,5-0-1,2-0-3
2023-04-13,4,10,6,4,0,0.6,1.5,6승0무4패,1패,4-0-3,2-0-1
2023-04-13,5,8,4,4,0,0.5,2.5,4승0무4패,1승,1-0-1,3-0-3
2023-04-13,6,9,4,5,0,0.444,3,4승0무5패,1승,3-0-3,1-0-2
2023-04-13,7,10,4,6,0,0.4,3.5,4승0무6패,1승,3-0-2,1-0-4
2023-04-13,8,8,3,5,0,0.375,3.5,3승0무5패,1패,2-0-4,1-0-1
2023-04-13,9,10,3,7,0,0.3,4.5,3승0무7패,1승,3-0-4,0-0-3
2023-04-13,9,10,3,7,0,0.3,4.5,3승0무7패,1승,0-0-3,3-0-4
2023-04-14,1,10,8,2,0,0.8,0,8승0무2패,1승,3-0-1,5-0-1
2023-04-14,2,12,8,4,0,0.667,1,7승0무3패,1승,4-0-0,4-0-4
2023-04-14,3,12,7,5,0,0.583,2,6승0무4패,2패,5-0-1,2-0-4
2023-04-14,4,11,6,5,0,0.545,2.5,5승0무5패,2패,4-0-3,2-0-2
2023-04-14,5,9,4,4,1,0.5,3,4승1무4패,1승,2001-01-01,3-0-3
2023-04-14,6,11,5,6,0,0.455,3.5,4승0무6패,2승,4-0-2,1-0-4
2023-04-14,7,10,4,6,0,0.4,4,4승0무6패,1패,3-0-3,1-0-3
2023-04-14,8,11,4,7,0,0.364,4.5,4승0무6패,2승,4-0-4,0-0-3
2023-04-14,9,9,3,6,0,0.333,4.5,3승0무6패,2패,2-0-4,1-0-2
2023-04-14,10,11,3,7,1,0.3,5,3승1무6패,1승,0-0-3,2003-01-04
2023-04-15,1,11,8,3,0,0.727,0,7승0무3패,1패,3-0-2,5-0-1
2023-04-15,2,13,9,4,0,0.692,0,7승0무3패,2승,5-0-0,4-0-4
2023-04-15,3,13,8,5,0,0.615,1,7승0무3패,1승,5-0-1,3-0-4
2023-04-15,4,12,6,6,0,0.5,2.5,4승0무6패,3승,5-0-2,1-0-4
2023-04-15,4,12,6,6,0,0.5,2.5,5승0무5패,3패,4-0-3,2-0-3
2023-04-15,6,11,5,6,0,0.455,3,5승0무5패,1승,3-0-3,2-0-3
2023-04-15,7,10,4,5,1,0.444,3,4승1무5패,1패,2001-01-02,3-0-3
2023-04-15,8,12,4,7,1,0.364,4,4승1무5패,2승,0-0-3,2004-01-04
2023-04-15,9,12,4,8,0,0.333,4.5,3승0무7패,1패,4-0-5,0-0-3
2023-04-15,10,10,3,7,0,0.3,4.5,3승0무7패,3패,2-0-4,1-0-3
2023-04-16,1,12,8,4,0,0.667,0,7승0무3패,2패,3-0-3,5-0-1
2023-04-16,2,14,9,5,0,0.643,0,7승0무3패,1패,5-0-1,4-0-4
2023-04-16,2,14,9,5,0,0.643,0,7승0무3패,2승,5-0-1,4-0-4
2023-04-16,4,13,7,6,0,0.538,1.5,5승0무5패,4승,6-0-2,1-0-4
2023-04-16,4,13,7,6,0,0.538,1.5,5승0무5패,1승,4-0-3,3-0-3
2023-04-16,6,11,5,5,1,0.5,2,4승1무5패,1승,2002-01-02,3-0-3
2023-04-16,7,12,5,7,0,0.417,3,4승0무6패,1패,3-0-3,2-0-4
2023-04-16,8,13,5,8,0,0.385,3.5,3승0무7패,1승,5-0-5,0-0-3
2023-04-16,9,13,4,8,1,0.333,4,4승1무5패,1패,0-0-3,2004-01-05
2023-04-16,10,11,3,8,0,0.273,4.5,3승0무7패,4패,2-0-4,1-0-4
2023-04-18,1,15,10,5,0,0.667,0,8승0무2패,3승,5-0-1,5-0-4
2023-04-18,2,13,8,5,0,0.615,1,6승0무4패,3패,3-0-3,5-0-2
2023-04-18,3,15,9,6,0,0.6,1,6승0무4패,2패,5-0-2,4-0-4
2023-04-18,4,14,8,6,0,0.571,1.5,6승0무4패,2승,4-0-3,4-0-3
2023-04-18,5,12,6,5,1,0.545,2,5승1무4패,2승,2003-01-02,3-0-3
2023-04-18,6,14,7,7,0,0.5,2.5,4승0무6패,1패,6-0-3,1-0-4
2023-04-18,7,13,6,7,0,0.462,3,5승0무5패,1승,4-0-3,2-0-4
2023-04-18,8,14,6,8,0,0.429,3.5,4승0무6패,2승,5-0-5,1-0-3
2023-04-18,9,14,4,9,1,0.308,5,3승1무6패,2패,0-0-4,2004-01-05
2023-04-18,10,12,3,9,0,0.25,5.5,2승0무8패,5패,2-0-4,1-0-5
2023-04-19,1,16,10,6,0,0.625,0,6승0무4패,1승,6-0-2,4-0-4
2023-04-19,1,16,10,6,0,0.625,0,7승0무3패,1패,5-0-1,5-0-5
2023-04-19,3,13,7,5,1,0.583,1,5승1무4패,3승,2004-01-02,3-0-3
2023-04-19,4,14,8,6,0,0.571,1,5승0무5패,4패,3-0-3,5-0-3
2023-04-19,5,15,8,7,0,0.533,1.5,5승0무5패,1패,4-0-3,4-0-4
2023-04-19,6,15,7,8,0,0.467,2.5,4승0무6패,2패,6-0-4,1-0-4
2023-04-19,6,15,7,8,0,0.467,2.5,5승0무5패,3승,5-0-5,2-0-3
2023-04-19,8,14,6,8,0,0.429,3,5승0무5패,1패,4-0-4,2-0-4
2023-04-19,9,15,5,9,1,0.357,4,4승1무5패,1승,1-0-4,2004-01-05
2023-04-19,10,13,4,9,0,0.308,4.5,3승0무7패,1승,2-0-4,2-0-5
2023-04-20,1,17,11,6,0,0.647,0,6승0무4패,2승,7-0-2,4-0-4
2023-04-20,2,15,9,6,0,0.6,1,5승0무5패,1승,3-0-3,6-0-3
2023-04-20,3,17,10,7,0,0.588,1,6승0무4패,2패,5-0-1,5-0-6
2023-04-20,4,16,9,7,0,0.563,1.5,5승0무5패,1승,4-0-3,5-0-4
2023-04-20,5,14,7,6,1,0.538,2,4승1무5패,1패,2004-01-03,3-0-3
2023-04-20,6,16,8,8,0,0.5,2.5,5승0무5패,1승,7-0-4,1-0-4
2023-04-20,7,15,7,8,0,0.467,3,6승0무4패,1승,5-0-4,2-0-4
2023-04-20,8,16,7,9,0,0.438,3.5,5승0무5패,1패,5-0-5,2-0-4
2023-04-20,9,16,5,10,1,0.333,5,4승1무5패,1패,1-0-5,2004-01-05
2023-04-20,10,14,4,10,0,0.286,5.5,2승0무8패,1패,2-0-4,2-0-6
2023-04-21,1,18,12,6,0,0.667,0,6승0무4패,3승,7-0-2,5-0-4
2023-04-21,2,16,10,6,0,0.625,1,5승0무5패,2승,4-0-3,6-0-3
2023-04-21,3,17,10,7,0,0.588,1.5,6승0무4패,2승,5-0-3,5-0-4
2023-04-21,4,18,10,8,0,0.556,2,5승0무5패,3패,5-0-2,5-0-6
2023-04-21,5,15,7,7,1,0.5,3,4승1무5패,2패,2004-01-03,3-0-4
2023-04-21,5,16,8,8,0,0.5,3,6승0무4패,2승,5-0-4,3-0-4
2023-04-21,7,17,8,9,0,0.471,3.5,5승0무5패,1패,7-0-4,1-0-5
2023-04-21,8,17,7,10,0,0.412,4.5,5승0무5패,2패,5-0-5,2-0-5
2023-04-21,9,15,5,10,0,0.333,5.5,3승0무7패,1승,3-0-4,2-0-6
