player_id,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
69064,주자없음,0.077,13,1,1,0,0,0,1,0,6,0
69064,1루,0.333,6,2,0,0,0,0,2,0,3,0
69064,2루,0.000,1,0,0,0,0,0,0,0,0,0
69064,"1,2루",1.000,1,1,0,0,0,0,1,0,0,0
69064,"1,3루",0.000,1,0,0,0,0,0,0,0,1,0
69064,주자있음,0.333,9,3,0,0,0,0,3,0,4,0
69064,득점권,0.333,3,1,0,0,0,0,1,0,1,0
69064,0-0,0.500,2,1,0,0,0,0,0,0,0,0
69064,2-0,1.000,1,1,0,0,0,0,0,0,0,0
69064,3-0,-,0,0,0,0,0,0,1,0,0,0
69064,0-1,0.000,1,0,0,0,0,0,0,0,0,0
69064,1-1,0.000,2,0,0,0,0,0,0,0,0,0
69064,2-1,0.000,1,0,0,0,0,0,0,0,0,0
69064,3-1,-,0,0,0,0,0,0,1,0,0,0
69064,0-2,0.143,7,1,0,0,0,0,0,0,4,0
69064,1-2,0.250,4,1,1,0,0,0,0,0,3,0
69064,2-2,0.000,2,0,0,0,0,0,0,0,2,0
69064,3-2,0.000,2,0,0,0,0,0,2,0,1,0
69064,2회,0.000,4,0,0,0,0,0,0,0,2,0
69064,3회,0.000,4,0,0,0,0,0,0,0,2,0
69064,5회,0.000,6,0,0,0,0,0,1,0,4,0
69064,6회,0.000,1,0,0,0,0,0,0,0,1,0
69064,7회,0.667,3,2,0,0,0,0,1,0,0,0
69064,8회,1.000,1,1,1,0,0,0,0,0,0,0
69064,9회,0.333,3,1,0,0,0,0,2,0,1,0
69064,1~3회,0.000,8,0,0,0,0,0,0,0,4,0
69064,4~6회,0.000,7,0,0,0,0,0,1,0,5,0
69064,7회이후,0.571,7,4,1,0,0,0,3,0,1,0
69064,2번타자,0.000,1,0,0,0,0,0,0,0,0,0
69064,7번타자,0.333,3,1,0,0,0,0,1,0,2,0
69064,8번타자,0.100,10,1,0,0,0,0,1,0,6,0
69064,9번타자,0.250,8,2,1,0,0,0,2,0,2,0
69064,좌투수,0.250,8,2,1,0,0,0,1,0,4,0
69064,우투수,0.154,13,2,0,0,0,0,2,0,6,0
69064,언더투수,0.000,1,0,0,0,0,0,1,0,0,0
69064,0아웃,0.125,8,1,0,0,0,0,0,0,3,0
69064,1아웃,0.250,4,1,0,0,0,0,2,0,1,0
69064,2아웃,0.200,10,2,1,0,0,0,2,0,6,0
74540,주자없음,0.281,199,56,11,0,10,10,22,1,32,0
74540,1루,0.293,99,29,3,0,0,2,7,2,13,10
74540,2루,0.314,35,11,3,0,0,10,6,1,3,0
74540,3루,0.368,19,7,0,0,3,11,2,0,4,0
74540,"1,2루",0.220,41,9,1,0,2,13,5,1,6,3
74540,"1,3루",0.333,15,5,0,0,0,8,3,0,2,3
74540,"2,3루",0.364,11,4,1,0,0,12,4,1,1,0
74540,만루,0.333,15,5,0,0,1,11,0,0,4,1
74540,주자있음,0.298,235,70,8,0,6,67,27,5,33,17
74540,득점권,0.301,136,41,5,0,6,65,20,3,20,7
74540,0-0,0.385,65,25,4,0,4,23,2,1,0,4
74540,1-0,0.423,26,11,2,0,1,2,2,1,0,0
74540,2-0,0.222,18,4,1,0,2,5,0,0,0,2
74540,3-0,0.500,4,2,0,0,1,4,9,1,0,0
74540,0-1,0.294,51,15,1,0,0,7,0,1,0,2
74540,1-1,0.388,49,19,2,0,3,11,0,0,0,1
74540,2-1,0.259,27,7,1,0,0,1,0,0,0,1
74540,3-1,0.100,10,1,0,0,1,2,18,0,0,1
74540,0-2,0.091,22,2,0,0,0,3,0,0,12,1
74540,1-2,0.228,57,13,4,0,0,5,0,2,18,2
74540,2-2,0.246,69,17,3,0,1,7,0,0,25,3
74540,3-2,0.278,36,10,1,0,3,7,18,0,10,0
74540,1회,0.281,57,16,2,0,2,17,6,1,9,4
74540,2회,0.396,53,21,4,0,3,4,2,0,4,0
74540,3회,0.294,51,15,3,0,1,11,3,3,7,2
74540,4회,0.288,52,15,4,0,2,4,4,0,10,1
74540,5회,0.277,47,13,3,0,2,13,9,1,9,3
74540,6회,0.296,54,16,0,0,1,5,4,0,4,2
74540,7회,0.333,42,14,2,0,2,5,7,0,5,3
74540,8회,0.205,44,9,1,0,1,8,9,1,8,1
74540,9회,0.185,27,5,0,0,1,6,3,0,5,1
74540,연장,0.286,7,2,0,0,1,4,2,0,4,0
74540,1~3회,0.323,161,52,9,0,6,32,11,4,20,6
74540,4~6회,0.288,153,44,7,0,5,22,17,1,23,6
74540,7회이후,0.250,120,30,3,0,5,23,21,1,22,5
