선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강재민,한화,투수,43,0,43 1/3,0,0,0,5,0,1.0,0,0,0,-
권광민,한화,우익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
권광민,한화,좌익수,27,6,97 2/3,0,0,20,0,0,1.0,0,0,0,-
권광민,한화,1루수,8,1,20,1,0,20,2,2,0.957,0,0,0,-
권광민,한화,중견수,17,4,59,2,0,16,0,0,0.889,0,0,0,-
김건,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
김건,한화,2루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
김건,한화,1루수,1,1,9,1,0,2,1,0,0.750,0,0,0,-
김규연,한화,투수,23,0,19 2/3,0,0,1,0,0,1.0,0,0,0,-
김기중,한화,투수,37,6,56 1/3,0,0,2,6,0,1.0,0,0,0,-
김민우,한화,투수,12,12,51 2/3,0,1,3,4,1,1.0,0,0,0,-
김범수,한화,투수,76,0,62 1/3,3,0,4,9,0,0.813,0,0,0,-
김서현,한화,투수,20,1,22 1/3,0,0,0,4,0,1.0,0,0,0,-
김인환,한화,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
김인환,한화,1루수,58,48,420 1/3,5,0,357,30,29,0.987,0,0,0,-
김재영,한화,투수,6,0,8,0,0,0,1,0,1.000,0,0,0,-
김태연,한화,우익수,30,26,188 2/3,1,0,45,2,1,0.979,0,0,0,-
김태연,한화,2루수,6,5,41,1,0,8,21,4,0.967,0,0,0,-
김태연,한화,3루수,9,4,38,0,0,3,4,1,1.0,0,0,0,-
김태연,한화,1루수,32,23,191,1,0,189,12,18,0.995,0,0,0,-
남지민,한화,투수,16,7,37 2/3,1,0,0,2,0,0.667,0,0,0,-
노수광,한화,좌익수,23,15,142,0,0,27,0,0,1.0,0,0,0,-
노수광,한화,중견수,7,4,41 1/3,0,0,10,0,0,1.000,0,0,0,-
노시환,한화,1루수,3,0,4,0,0,2,1,1,1.000,0,0,0,-
노시환,한화,3루수,122,121,1065 2/3,19,0,114,228,20,0.947,0,0,0,-
류원석,한화,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
류희운,한화,투수,3,0,4,0,0,1,1,0,1.000,0,0,0,-
문동주,한화,투수,23,23,118 2/3,0,0,5,12,0,1.0,0,0,0,-
문현빈,한화,2루수,54,42,358,5,0,77,102,17,0.973,0,0,0,-
문현빈,한화,3루수,1,0,1,0,0,1,1,0,1.000,0,0,0,-
문현빈,한화,유격수,9,5,48,2,0,10,13,3,0.92,0,0,0,-
문현빈,한화,중견수,70,64,519,2,0,129,2,1,0.985,0,0,0,-
박상언,한화,포수,79,38,388 2/3,1,1,333,34,3,0.997,4,31,15,32.6
박상원,한화,투수,55,0,61 2/3,1,0,3,14,1,0.944,0,0,0,-
박윤철,한화,투수,3,0,3 1/3,0,0,1,0,0,1.000,0,0,0,-
박정현,한화,유격수,32,20,186,7,0,37,47,11,0.923,0,0,0,-
박정현,한화,2루수,2,0,7,0,0,1,0,0,1.000,0,0,0,-
박정현,한화,3루수,12,6,53,2,0,9,5,0,0.875,0,0,0,-
박정현,한화,1루수,8,1,16,0,0,13,0,0,1.0,0,0,0,-
박준영,한화,투수,4,0,4 1/3,0,0,0,1,0,1.000,0,0,0,-
산체스,한화,투수,24,24,126,1,1,1,20,2,0.955,0,0,0,-
송윤준,한화,투수,4,0,4 1/3,0,0,0,1,0,1.000,0,0,0,-
스미스,한화,투수,1,1,2 2/3,0,0,0,0,0,-,0,0,0,-
오그레디,한화,우익수,4,2,19,1,0,3,0,0,0.750,0,0,0,-
오그레디,한화,좌익수,15,15,126 2/3,0,0,36,1,0,1.0,0,0,0,-
오선진,한화,1루수,6,2,25,0,0,20,1,4,1.000,0,0,0,-
오선진,한화,2루수,8,3,30,0,0,14,7,2,1.0,0,0,0,-
오선진,한화,유격수,40,25,219 2/3,2,0,32,52,13,0.977,0,0,0,-
오선진,한화,3루수,30,13,127,2,0,12,24,2,0.947,0,0,0,-
윌리엄스,한화,우익수,21,21,159,2,0,33,1,1,0.944,0,0,0,-
윌리엄스,한화,좌익수,37,36,303,1,0,70,2,0,0.986,0,0,0,-
유로결,한화,중견수,5,3,21,0,0,5,0,0,1.000,0,0,0,-
유로결,한화,좌익수,8,3,33,0,0,7,0,0,1.000,0,0,0,-
유로결,한화,우익수,14,8,80,0,0,12,1,0,1.0,0,0,0,-
유상빈,한화,우익수,1,1,8,0,0,1,0,0,1.000,0,0,0,-
윤대경,한화,투수,47,0,47 2/3,0,0,1,6,0,1.0,0,0,0,-
윤산흠,한화,투수,5,0,3,0,0,0,0,0,-,0,0,0,-
이도윤,한화,3루수,3,0,6,0,0,1,1,0,1.000,0,0,0,-
이도윤,한화,유격수,97,90,746,8,0,157,203,43,0.978,0,0,0,-
이도윤,한화,2루수,15,2,57,0,0,14,22,2,1.0,0,0,0,-
이명기,한화,좌익수,2,1,14,1,0,5,0,0,0.833,0,0,0,-
이명기,한화,우익수,2,1,9,0,0,3,0,0,1.000,0,0,0,-
이민우,한화,투수,17,0,13 2/3,0,0,0,1,0,1.0,0,0,0,-
이민준,한화,유격수,4,0,8,0,0,1,1,0,1.000,0,0,0,-
이상혁,한화,중견수,2,0,6,0,0,2,0,0,1.000,0,0,0,-
이성곤,한화,1루수,1,0,3,0,0,3,0,1,1.000,0,0,0,-
이원석,한화,우익수,12,2,42 1/3,0,0,8,0,0,1.0,0,0,0,-
이원석,한화,중견수,64,25,294 1/3,2,0,93,3,1,0.98,0,0,0,-
이재용,한화,포수,2,0,4,0,0,2,0,0,1.000,0,0,0,-
이진영,한화,중견수,31,27,195 1/3,0,0,54,2,1,1.0,0,0,0,-
이진영,한화,좌익수,21,15,140 1/3,1,0,34,0,0,0.971,0,0,0,-
이진영,한화,우익수,80,53,509 1/3,4,0,127,9,0,0.971,0,0,0,-
이충호,한화,투수,11,0,8 2/3,0,0,0,2,0,1.0,0,0,0,-
이태양,한화,투수,50,12,100 1/3,0,0,6,13,0,1.0,0,0,0,-
장민재,한화,투수,25,13,69,2,0,1,12,1,0.867,0,0,0,-
장시환,한화,투수,38,0,34 2/3,0,0,1,7,0,1.0,0,0,0,-
장운호,한화,좌익수,1,1,6,0,0,1,0,0,1.000,0,0,0,-
장운호,한화,우익수,3,2,22,0,0,5,0,0,1.000,0,0,0,-
장지수,한화,투수,1,0,2,0,0,0,1,0,1.000,0,0,0,-
장지승,한화,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
장진혁,한화,좌익수,27,17,153 2/3,1,0,32,1,0,0.971,0,0,0,-
장진혁,한화,우익수,17,6,79,0,0,17,0,0,1.0,0,0,0,-
장진혁,한화,중견수,29,17,155 2/3,0,0,36,0,0,1.0,0,0,0,-
정우람,한화,투수,52,0,40 1/3,0,0,0,1,0,1.0,0,0,0,-
정은원,한화,2루수,101,92,797 2/3,8,0,188,245,57,0.982,0,0,0,-
주현상,한화,투수,55,0,59 2/3,0,0,2,5,0,1.0,0,0,0,-
채은성,한화,1루수,76,68,603 1/3,4,0,540,30,40,0.993,0,0,0,-
채은성,한화,우익수,23,22,171 1/3,1,0,34,2,0,0.973,0,0,0,-
최인호,한화,좌익수,37,35,271 1/3,1,0,76,0,0,0.987,0,0,0,-
최재훈,한화,포수,120,106,884 1/3,3,2,704,67,4,0.996,6,60,27,31.0
페냐,한화,투수,32,32,177 1/3,5,0,4,18,0,0.815,0,0,0,-
하주석,한화,유격수,23,4,84,2,0,11,23,3,0.944,0,0,0,-
한승주,한화,투수,47,6,70 2/3,0,1,5,6,1,1.0,0,0,0,-
한승혁,한화,투수,21,7,36 1/3,1,1,2,4,2,0.857,0,0,0,-
허관회,한화,포수,8,0,14 2/3,1,0,14,0,0,0.933,0,3,0,0.0
