선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
강재민,한화,6.44,43,1,3,0,12,0.250,43 1/3,35,5,19,8,42,31,31,1.25
김규연,한화,2.75,23,0,1,1,0,0.000,19 2/3,16,0,10,2,20,7,6,1.32
김기중,한화,4.63,37,1,3,0,1,0.250,56 1/3,58,4,29,9,46,33,29,1.54
김민우,한화,6.97,12,1,6,0,0,0.143,51 2/3,65,6,28,2,43,43,40,1.8
김범수,한화,4.19,76,5,5,1,18,0.500,62 1/3,64,3,33,3,52,33,29,1.56
김서현,한화,7.25,20,0,0,1,0,-,22 1/3,22,1,23,7,26,20,18,2.01
김재영,한화,10.13,6,0,0,0,0,-,8,13,2,2,2,5,9,9,1.88
남지민,한화,6.45,16,1,7,0,0,0.125,37 2/3,54,0,13,6,23,31,27,1.78
류원석,한화,4.5,1,0,0,0,0,-,2,1,0,0,1,1,1,1,0.5
류희운,한화,11.25,3,0,0,0,0,-,4,6,1,2,0,4,5,5,2.0
문동주,한화,3.72,23,8,8,0,0,0.500,118 2/3,113,6,42,4,95,52,49,1.31
박상원,한화,3.65,55,5,3,16,0,0.625,61 2/3,63,2,29,3,57,35,25,1.49
박윤철,한화,21.6,3,0,0,0,0,-,3 1/3,5,2,5,0,1,8,8,3.0
박준영,한화,18.69,4,0,0,0,0,-,4 1/3,2,0,8,0,7,9,9,2.31
산체스,한화,3.79,24,7,8,0,0,0.467,126,136,13,28,6,99,62,53,1.3
송윤준,한화,8.31,4,0,0,0,0,-,4 1/3,4,0,2,0,3,4,4,1.38
스미스,한화,6.75,1,0,0,0,0,-,2 2/3,3,0,0,1,2,2,2,1.13
윤대경,한화,2.45,47,5,1,0,2,0.833,47 2/3,36,4,19,6,28,18,13,1.15
윤산흠,한화,6.0,5,0,0,0,0,-,3,3,0,6,0,3,2,2,3.0
이민우,한화,2.63,17,2,1,0,2,0.667,13 2/3,8,2,6,0,11,6,4,1.02
이충호,한화,9.35,11,0,0,0,0,-,8 2/3,12,2,5,1,7,9,9,1.96
이태양,한화,3.23,50,3,3,0,2,0.500,100 1/3,100,7,21,3,72,44,36,1.21
장민재,한화,4.83,25,3,8,0,1,0.273,69,79,12,22,5,61,46,37,1.46
장시환,한화,3.38,39,2,2,1,7,0.500,34 2/3,32,1,21,4,24,13,13,1.53
장지수,한화,18.0,1,0,0,0,0,-,2,4,0,2,0,0,5,4,3.0
정우람,한화,5.36,52,0,1,0,8,0.000,40 1/3,45,3,17,2,30,24,24,1.54
주현상,한화,1.96,55,2,2,0,12,0.500,59 2/3,35,2,15,3,45,13,13,0.84
페냐,한화,3.6,32,11,11,0,0,0.500,177 1/3,149,14,59,18,147,82,71,1.17
페냐,한화,3.6,32,11,11,0,0,0.5,177 1/3,149,14,59,18,147,82,71,1.17
한승주,한화,3.95,47,1,4,0,2,0.200,70 2/3,81,6,31,4,55,34,31,1.58
한승혁,한화,6.44,21,0,3,0,1,0.000,36 1/3,48,3,21,3,28,27,26,1.9
