선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
곽도규,KIA,8.49,14,0,0,0,0,-,11 2/3,14,0,10,2,14,11,11,2.06
김건국,KIA,6.75,6,0,1,0,0,0.000,16,18,0,4,1,9,12,12,1.38
김기훈,KIA,4.6,29,2,0,0,0,1.000,31 1/3,28,0,37,2,26,22,16,2.07
김대유,KIA,5.11,41,0,2,0,4,0.000,24 2/3,26,2,8,6,20,15,14,1.38
김승현,KIA,4.26,10,0,0,0,0,-,12 2/3,11,1,10,1,7,6,6,1.66
김유신,KIA,5.64,27,0,1,0,2,0.000,30 1/3,34,2,19,3,12,19,19,1.75
김재열,KIA,13.11,9,0,0,0,0,-,11 2/3,20,2,13,0,9,17,17,2.83
메디나,KIA,6.05,12,2,6,0,0,0.250,58,64,6,29,9,36,42,39,1.6
박준표,KIA,4.5,33,1,0,0,3,1.000,28,28,3,9,0,13,16,14,1.32
산체스,KIA,5.94,12,4,4,0,0,0.500,63 2/3,79,7,15,4,59,46,42,1.48
앤더슨,KIA,3.76,14,4,7,0,0,0.364,79,76,6,26,2,64,42,33,1.29
양현종,KIA,3.58,29,9,11,0,0,0.45,171,181,13,48,1,133,78,68,1.34
양현종,KIA,3.58,29,9,11,0,0,0.450,171,181,13,48,1,133,78,68,1.34
유승철,KIA,0.0,1,0,0,0,0,-,1,0,0,1,0,0,0,0,1.0
윤영철,KIA,4.04,25,8,7,0,0,0.533,122 2/3,124,10,48,1,74,59,55,1.4
윤중현,KIA,3.86,31,2,1,0,0,0.667,28,29,2,10,1,8,13,12,1.39
이의리,KIA,3.96,28,11,7,0,0,0.611,131 2/3,103,4,93,8,156,64,58,1.49
이준영,KIA,3.21,64,1,0,0,10,1.000,33 2/3,26,0,23,2,30,12,12,1.46
임기영,KIA,2.96,64,4,4,3,16,0.500,82,56,6,19,6,57,29,27,0.91
장현식,KIA,4.06,56,2,2,3,5,0.500,51,58,6,26,1,44,26,23,1.65
전상현,KIA,2.15,64,8,3,1,13,0.727,58 2/3,50,1,26,1,50,20,14,1.3
정해영,KIA,2.92,52,3,4,23,1,0.429,49 1/3,53,3,20,1,30,18,16,1.48
최지민,KIA,2.12,58,6,3,3,12,0.667,59 1/3,45,4,26,4,44,17,14,1.2
파노니,KIA,4.26,16,6,3,0,0,0.667,82 1/3,86,6,23,2,66,41,39,1.32
황동하,KIA,6.61,13,0,3,0,0,0.000,31 1/3,35,5,21,1,19,25,23,1.79
