player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
69064,강민성,KT,12,0,0,0,-,0,0
68050,강백호,KT,71,3,3,0,100,4,0
50066,강현우,KT,53,1,0,1,0.0,0,0
68043,김민,KT,1,0,0,0,-,0,0
64004,김민혁,KT,113,15,11,4,73.3,5,0
52002,김병준,KT,3,0,0,0,-,0,0
64014,김병희,KT,5,0,0,0,-,0,0
79402,김상수,KT,129,11,5,6,45.5,4,2
51097,김영현,KT,1,0,0,0,-,0,0
65062,김재윤,KT,5,0,0,0,-,0,0
62558,김준태,KT,69,1,1,0,100,1,0
53036,류현인,KT,17,0,0,0,-,0,0
67063,문상인,KT,1,0,0,0,-,0,0
50007,문상준,KT,2,0,0,0,-,0,0
64007,문상철,KT,112,4,3,1,75.0,3,0
73113,박경수,KT,107,0,0,0,-,4,0
69056,박민석,KT,4,0,0,0,-,0,0
75125,박병호,KT,132,2,2,0,100,4,0
52060,박영현,KT,3,0,0,0,-,0,0
64166,배정대,KT,97,16,13,3,81.3,3,0
53057,손민석,KT,9,0,0,0,-,0,0
64012,송민섭,KT,69,4,3,1,75.0,1,0
62556,신본기,KT,40,1,0,1,0.0,1,0
67006,안치영,KT,76,8,7,1,87.5,0,0
52009,알포드,KT,133,21,17,4,81.0,12,1
64504,오윤석,KT,82,4,3,1,75.0,0,1
69054,이상동,KT,1,0,0,0,-,0,0
60566,이상호,KT,63,2,2,0,100,1,0
69068,이선우,KT,1,0,0,0,-,0,0
66702,이시원,KT,29,1,0,1,0.0,1,0
68896,이채호,KT,1,0,0,0,-,0,0
68504,이호연,KT,85,6,4,2,66.7,3,0
78548,장성우,KT,131,2,1,1,50.0,2,0
64115,장준원,KT,69,3,3,0,100,0,0
53058,정준영,KT,34,0,0,0,-,0,0
64868,조용호,KT,63,4,4,0,100,3,0
78517,하준호,KT,1,0,0,0,-,0,0
67005,홍현빈,KT,44,2,2,0,100,0,0
76313,황재균,KT,109,6,3,3,50.0,2,1
