player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
53312,김건희,키움,22.5,3,0,0,0,0,-,2,6,2,2,0,0,5,5,4.0
53164,김동규,키움,22.85,4,0,1,0,0,0.000,4 1/3,6,1,12,2,1,12,11,4.15
50360,김동혁,키움,7.32,35,1,7,0,6,0.125,39 1/3,51,1,18,6,24,34,32,1.75
66018,김선기,키움,5.98,17,1,3,1,0,0.250,43 2/3,56,2,15,1,29,37,29,1.63
51301,김성진,키움,3.64,55,3,3,0,7,0.500,47,44,5,25,1,38,19,19,1.47
67391,김재웅,키움,4.22,67,2,3,6,18,0.400,59 2/3,56,2,24,0,46,29,28,1.34
51393,김준형,키움,7.04,8,0,0,0,0,-,7 2/3,4,0,6,3,5,6,6,1.3
53322,맥키니,키움,6.52,12,1,9,0,0,0.100,59 1/3,61,10,36,1,39,46,43,1.63
60336,문성현,키움,4.45,32,2,2,0,2,0.500,28 1/3,26,2,20,2,21,16,14,1.62
66305,박승주,키움,3.5,18,0,3,0,0,0.000,18,19,2,13,2,15,11,7,1.78
68341,안우진,키움,2.39,24,9,7,0,0,0.563,150 2/3,121,5,38,1,164,44,40,1.06
67365,양지율,키움,13.5,1,0,0,0,0,-,2/3,1,0,3,0,2,1,1,6.0
61268,양현,키움,5.05,54,0,5,0,8,0.000,57,83,5,21,0,16,38,32,1.82
53300,오상원,키움,6.6,11,0,0,0,0,-,15,18,0,9,3,7,11,11,1.8
69343,요키시,키움,4.39,12,5,3,0,0,0.625,65 2/3,82,3,14,3,51,37,32,1.46
76118,원종현,키움,5.79,20,1,1,0,6,0.500,18 2/3,24,3,5,1,17,16,12,1.55
52395,윤석원,키움,4.5,21,2,0,0,2,1.000,24,29,2,8,0,8,17,12,1.54
69399,윤정현,키움,1.5,5,0,0,0,0,-,6,5,0,6,0,2,2,1,1.83
52397,이명종,키움,5.21,45,5,5,0,1,0.500,57,66,5,24,6,26,34,33,1.58
67603,이승호,키움,5.4,4,0,0,0,1,-,5,5,1,4,0,1,3,3,1.8
64051,이영준,키움,21.6,2,0,1,0,0,0.000,1 2/3,4,0,1,0,0,4,4,3.0
50354,이종민,키움,7.24,11,0,1,0,0,0.000,13 2/3,22,0,6,1,10,13,11,2.05
78352,임창민,키움,2.51,51,2,2,26,1,0.500,46 2/3,51,3,17,2,40,16,13,1.46
51359,장재영,키움,5.53,23,1,5,0,0,0.167,71 2/3,63,4,66,8,67,46,44,1.8
78148,정찬헌,키움,4.75,14,2,8,0,0,0.200,72,71,4,13,2,35,40,38,1.17
69360,조영건,키움,0.0,6,0,0,0,1,-,7 2/3,5,0,2,0,7,0,0,0.91
52330,주승우,키움,9.56,11,0,1,0,0,0.000,16,20,1,21,2,8,18,17,2.56
64350,하영민,키움,4.64,57,3,1,0,5,0.750,52 1/3,67,4,25,1,51,36,27,1.76
62655,홍성민,키움,9.0,2,0,0,0,0,-,2,5,1,1,0,1,2,2,3.0
53375,후라도,키움,2.65,30,11,8,0,0,0.579,183 2/3,164,7,41,9,147,64,54,1.12
