player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
63543,구승민,롯데,3.96,67,2,6,3,22,0.250,63 2/3,65,4,29,5,66,32,28,1.48
65522,김강현,롯데,3.0,2,0,0,0,0,-,3,1,0,2,1,0,1,1,1.0
68585,김도규,롯데,4.55,36,0,3,1,1,0.000,29 2/3,29,1,13,1,26,16,15,1.42
76430,김상수,롯데,3.12,67,4,2,1,18,0.667,52,45,1,21,3,36,22,18,1.27
62528,김원중,롯데,2.97,63,5,6,30,0,0.455,63 2/3,51,2,25,5,82,24,21,1.19
51516,김진욱,롯데,6.44,50,2,1,0,8,0.667,36 1/3,37,4,29,2,35,27,26,1.82
51586,김창훈,롯데,2.08,3,0,0,0,0,-,4 1/3,5,0,1,0,1,1,1,1.38
67768,김태욱,롯데,0.0,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.0
67539,나균안,롯데,3.8,23,6,8,0,0,0.429,130 1/3,140,8,42,5,114,61,55,1.4
64021,박세웅,롯데,3.45,27,9,7,0,0,0.563,154,145,8,59,4,129,70,59,1.32
69507,박영완,롯데,0.0,1,0,0,0,0,-,1,0,0,1,0,1,0,0,1.0
69594,박진,롯데,9.0,4,0,0,0,0,-,5,7,1,7,0,2,5,5,2.8
52528,반즈,롯데,3.28,30,11,10,0,0,0.524,170 1/3,171,6,56,15,147,68,62,1.33
53560,석상호,롯데,0.0,5,0,0,0,0,-,5 1/3,4,0,2,0,6,0,0,1.13
50558,스트레일리,롯데,4.37,16,3,5,0,0,0.375,80 1/3,82,6,37,10,70,43,39,1.48
60140,신정락,롯데,4.66,34,4,0,0,1,1.000,29,32,4,11,3,28,15,15,1.48
64017,심재민,롯데,3.78,33,3,1,0,6,0.750,47 2/3,57,2,18,1,29,23,20,1.57
51526,우강훈,롯데,6.0,3,0,0,0,0,-,6,6,0,4,1,5,5,4,1.67
53546,윌커슨,롯데,2.26,13,7,2,0,0,0.778,79 2/3,67,3,20,2,81,28,20,1.09
62242,윤명준,롯데,6.52,21,0,1,0,5,0.000,19 1/3,31,4,10,4,11,14,14,2.12
52530,이민석,롯데,0.0,1,0,0,0,0,-,1 1/3,0,0,1,0,1,0,0,0.75
64565,이인복,롯데,6.48,10,1,4,0,0,0.200,33 1/3,54,3,10,5,15,32,24,1.92
53562,이진하,롯데,3.38,9,0,0,0,0,-,8,4,0,3,1,2,3,3,0.88
53596,장세진,롯데,13.5,2,0,0,0,0,-,1 1/3,2,1,2,0,1,2,2,3.0
68556,정성종,롯데,5.32,12,0,1,0,1,0.000,22,21,1,15,1,10,14,13,1.64
52558,진승현,롯데,5.86,24,2,2,0,1,0.500,27 2/3,34,2,16,0,25,20,18,1.81
64718,최설우,롯데,9.9,8,0,1,0,0,0.000,10,15,0,7,1,7,14,11,2.2
68036,최이준,롯데,6.83,28,1,0,0,1,1.000,29,37,1,21,0,20,22,22,2.0
50556,최준용,롯데,2.45,47,2,3,0,14,0.400,47 2/3,50,2,18,1,40,15,13,1.43
62363,한현희,롯데,5.45,38,6,12,0,3,0.333,104,123,11,44,11,74,69,63,1.61
