선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고승민,롯데,94,11,8,3,72.7,2,0
구드럼,롯데,50,0,0,0,-,1,0
국해성,롯데,6,0,0,0,-,1,0
김동혁,롯데,15,1,1,0,100,0,0
김민석,롯데,129,19,16,3,84.2,3,2
김민수,롯데,25,0,0,0,-,0,0
김상수,롯데,1,0,0,0,-,0,0
김원중,롯데,3,0,0,0,-,0,0
노진혁,롯데,113,9,7,2,77.8,2,0
렉스,롯데,55,1,0,1,0.0,3,0
박승욱,롯데,123,19,15,4,78.9,1,0
박형준,롯데,1,0,0,0,-,0,0
배영빈,롯데,18,1,1,0,100,0,0
서동욱,롯데,13,0,0,0,-,0,0
손성빈,롯데,45,0,0,0,-,1,0
신윤후,롯데,28,1,1,0,100,0,0
안권수,롯데,95,23,16,7,69.6,2,2
안치홍,롯데,121,6,3,3,50.0,3,1
유강남,롯데,121,2,1,1,50.0,6,0
윤동희,롯데,107,9,3,6,33.3,2,3
윤수녕,롯데,3,0,0,0,-,0,0
이정훈,롯데,59,2,1,1,50.0,1,1
이학주,롯데,104,5,4,1,80.0,1,0
장두성,롯데,25,2,2,0,100,1,1
전준우,롯데,138,11,9,2,81.8,7,0
정대선,롯데,19,0,0,0,-,0,0
정보근,롯데,55,1,1,0,100,0,1
정훈,롯데,80,2,2,0,100,2,0
지시완,롯데,6,0,0,0,-,0,0
최설우,롯데,1,0,0,0,-,0,0
한동희,롯데,108,4,1,3,25.0,3,0
황성빈,롯데,74,14,9,5,64.3,0,1
