선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
구창모,NC,투수,11,9,51 2/3,0,0,3,2,1,1.0,0,0,0,-
권희동,NC,우익수,7,4,37,0,0,8,0,0,1.0,0,0,0,-
권희동,NC,좌익수,85,80,660,2,0,153,2,0,0.987,0,0,0,-
김성욱,NC,중견수,26,17,154 1/3,0,0,38,0,0,1.0,0,0,0,-
김성욱,NC,좌익수,31,19,167 2/3,0,0,37,0,0,1.0,0,0,0,-
김성욱,NC,우익수,45,5,119 2/3,0,0,23,1,1,1.0,0,0,0,-
김수윤,NC,1루수,4,0,4 1/3,0,0,7,0,0,1.000,0,0,0,-
김수윤,NC,3루수,9,3,29,1,0,7,3,1,0.909,0,0,0,-
김시훈,NC,투수,61,0,52 2/3,1,0,1,6,0,0.875,0,0,0,-
김영규,NC,투수,63,0,61 2/3,0,0,6,9,2,1.0,0,0,0,-
김주원,NC,유격수,127,122,1030,29,0,177,313,67,0.944,0,0,0,-
김주원,NC,2루수,6,0,15,1,0,10,9,7,0.95,0,0,0,-
김진호,NC,투수,19,0,16 1/3,1,0,2,1,0,0.75,0,0,0,-
김태현,NC,투수,16,0,20 1/3,1,0,1,5,1,0.857,0,0,0,-
김한별,NC,유격수,47,22,232 1/3,3,0,24,74,14,0.97,0,0,0,-
김한별,NC,2루수,29,1,49 2/3,1,0,6,13,0,0.95,0,0,0,-
김한별,NC,3루수,4,0,7 2/3,1,0,2,0,0,0.667,0,0,0,-
김형준,NC,포수,24,19,180,2,0,160,7,1,0.988,0,10,3,23.1
도태훈,NC,1루수,59,23,287,1,0,260,19,28,0.996,0,0,0,-
도태훈,NC,3루수,56,36,347 2/3,3,0,26,62,7,0.967,0,0,0,-
도태훈,NC,유격수,1,0,2,0,0,1,1,1,1.000,0,0,0,-
도태훈,NC,2루수,17,7,79 1/3,0,0,26,20,6,1.0,0,0,0,-
류진욱,NC,투수,70,0,67,0,0,2,14,0,1.0,0,0,0,-
마틴,NC,좌익수,29,26,232 1/3,1,0,53,1,1,0.982,0,0,0,-
마틴,NC,중견수,84,82,681 2/3,2,0,187,0,0,0.989,0,0,0,-
박건우,NC,중견수,6,5,41 2/3,0,0,14,0,0,1.0,0,0,0,-
박건우,NC,우익수,87,87,686,0,0,133,3,0,1.0,0,0,0,-
박대온,NC,포수,24,3,69 2/3,3,0,64,4,1,0.958,0,4,2,33.3
박민우,NC,2루수,114,108,874 2/3,15,0,196,264,56,0.968,0,0,0,-
박석민,NC,3루수,23,21,156,2,0,11,22,4,0.943,0,0,0,-
박석민,NC,1루수,2,2,8,1,0,8,0,1,0.889,0,0,0,-
박세혁,NC,포수,86,72,620,1,0,524,41,8,0.998,3,50,19,27.5
박영빈,NC,중견수,15,0,25,0,0,8,0,0,1.0,0,0,0,-
박영빈,NC,좌익수,6,0,9,0,0,4,0,0,1.0,0,0,0,-
박주찬,NC,3루수,3,3,24,1,0,1,3,0,0.800,0,0,0,-
박주찬,NC,1루수,3,0,11,0,0,7,0,0,1.000,0,0,0,-
박한결,NC,좌익수,5,1,14,0,0,5,0,0,1.000,0,0,0,-
배민서,NC,투수,6,0,6 2/3,0,0,2,0,0,1.0,0,0,0,-
서호철,NC,3루수,96,78,690,10,0,66,133,19,0.952,0,0,0,-
서호철,NC,2루수,30,23,190 2/3,4,0,44,64,19,0.964,0,0,0,-
서호철,NC,유격수,2,0,4,0,0,1,0,0,1.000,0,0,0,-
손아섭,NC,우익수,49,43,343 1/3,2,0,73,1,1,0.974,0,0,0,-
손아섭,NC,좌익수,9,9,66 1/3,0,0,16,0,0,1.0,0,0,0,-
송명기,NC,투수,35,17,104 1/3,1,0,3,11,0,0.933,0,0,0,-
신민혁,NC,투수,29,24,122,3,0,1,12,1,0.813,0,0,0,-
심창민,NC,투수,5,0,3 1/3,0,1,0,1,0,1.000,0,0,0,-
안중열,NC,포수,74,50,411 2/3,5,1,373,21,2,0.987,4,32,10,23.8
오영수,NC,1루수,66,61,482,8,0,417,25,35,0.982,0,0,0,-
오장한,NC,좌익수,1,1,8,0,0,2,0,0,1.000,0,0,0,-
오장한,NC,우익수,3,1,9,0,0,2,0,0,1.000,0,0,0,-
오태양,NC,중견수,4,1,7,0,0,1,0,0,1.000,0,0,0,-
오태양,NC,2루수,5,0,5,1,0,0,2,1,0.667,0,0,0,-
윤형준,NC,1루수,74,57,476,4,0,431,35,44,0.991,0,0,0,-
이용준,NC,투수,24,12,67,2,0,3,9,0,0.857,0,0,0,-
이용찬,NC,투수,60,0,61,1,2,7,9,0,0.941,0,0,0,-
이우석,NC,투수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
이재학,NC,투수,15,13,67 1/3,0,0,2,7,0,1.0,0,0,0,-
이준호,NC,투수,17,2,31 2/3,1,0,3,2,1,0.833,0,0,0,-
임정호,NC,투수,65,0,50,1,1,0,5,0,0.833,0,0,0,-
임지민,NC,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
전사민,NC,투수,9,0,17,1,0,3,3,0,0.857,0,0,0,-
정구범,NC,투수,4,2,12 2/3,0,0,0,0,0,-,0,0,0,-
조민석,NC,투수,35,0,31,2,0,0,3,0,0.6,0,0,0,-
조현진,NC,2루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
조현진,NC,유격수,7,0,13,0,0,1,4,1,1.0,0,0,0,-
채원후,NC,투수,3,0,3 1/3,0,0,1,0,0,1.000,0,0,0,-
천재환,NC,우익수,30,4,85 1/3,0,0,14,1,0,1.0,0,0,0,-
천재환,NC,중견수,37,27,259 2/3,0,0,72,2,0,1.0,0,0,0,-
천재환,NC,좌익수,15,2,46,0,0,15,0,0,1.0,0,0,0,-
최보성,NC,3루수,6,3,27,1,0,1,4,0,0.833,0,0,0,-
최보성,NC,2루수,2,0,4,0,0,0,1,1,1.000,0,0,0,-
최보성,NC,1루수,4,1,13,0,0,11,0,1,1.000,0,0,0,-
