Name,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
김도영,625,10.60%,17.60%,0.6,0.42,0.647,1.067,0.3,8.9,0.375,5.6,141,56.9,0.456,167
구자욱,568,9.70%,12.90%,0.75,0.417,0.627,1.044,0.284,4.4,0.346,0.3,126,48.9,0.45,164
로하스,670,13.10%,17.20%,0.77,0.421,0.568,0.989,0.24,2.7,0.364,-0.6,138,47.4,0.432,152
데이비슨,567,6.90%,25.00%,0.27,0.37,0.633,1.003,0.327,2.1,0.334,-0.8,113,36.6,0.425,148
최정,550,10.00%,20.70%,0.48,0.384,0.594,0.978,0.303,4.6,0.306,0.2,108,33.8,0.422,146
박건우,362,9.10%,14.90%,0.61,0.409,0.542,0.951,0.198,4.5,0.38,0.5,71,21.7,0.42,144
에레디아,591,4.70%,12.40%,0.38,0.399,0.538,0.937,0.177,2.7,0.382,-1.1,112,32.1,0.413,140
송성문,602,10.60%,13.60%,0.78,0.409,0.518,0.927,0.178,6.0,0.369,3.7,113,32.1,0.412,139
오스틴,604,10.10%,13.60%,0.74,0.384,0.573,0.957,0.254,4.5,0.319,-1.8,113,31.7,0.411,139
도슨,429,9.10%,12.60%,0.72,0.399,0.508,0.906,0.178,3.7,0.361,-0.9,79,20.7,0.406,136
홍창기,637,15.10%,14.60%,1.03,0.447,0.41,0.857,0.074,3.9,0.398,-3.9,115,29.3,0.403,134
레이예스,632,7.30%,13.00%,0.56,0.394,0.51,0.904,0.159,4.2,0.383,0.5,113,27.6,0.401,132
나승엽,489,14.10%,17.00%,0.83,0.411,0.469,0.88,0.157,3.5,0.37,-0.2,87,20.5,0.399,131
권희동,511,15.10%,12.30%,1.22,0.417,0.452,0.868,0.151,3.5,0.324,0.4,90,21.2,0.398,131
김재환,552,11.40%,30.40%,0.38,0.368,0.525,0.893,0.243,1.9,0.367,-0.6,93,18.7,0.389,125
박민우,528,10.20%,15.00%,0.68,0.406,0.446,0.853,0.118,5.8,0.38,2.6,89,17.6,0.389,125
손호영,430,4.00%,15.10%,0.26,0.354,0.538,0.892,0.221,5.5,0.338,-0.8,72,13.9,0.388,124
문보경,602,10.80%,18.60%,0.58,0.372,0.507,0.879,0.206,3.7,0.337,-1.9,100,18.3,0.385,122
이용규,227,13.70%,14.50%,0.94,0.429,0.372,0.8,0.066,4.2,0.367,-0.8,37,6.7,0.385,122
서건창,248,14.50%,12.50%,1.16,0.416,0.404,0.82,0.094,4.7,0.356,-0.1,41,7.3,0.384,122
김민혁,393,8.90%,11.50%,0.78,0.41,0.419,0.829,0.066,4.0,0.399,-0.5,64,11.2,0.383,121
소크라테스,602,6.80%,15.10%,0.45,0.359,0.516,0.875,0.207,5.0,0.33,-0.2,98,17.0,0.383,121
오윤석,201,9.00%,20.40%,0.44,0.369,0.489,0.857,0.195,4.3,0.349,-0.6,33,5.5,0.382,120
양의지,485,8.20%,11.50%,0.71,0.379,0.479,0.858,0.165,2.5,0.325,-0.4,79,13.0,0.381,120
전준우,483,10.10%,17.40%,0.58,0.369,0.485,0.854,0.191,3.4,0.327,-0.2,78,12.8,0.381,120
강민호,452,7.70%,11.50%,0.67,0.365,0.496,0.861,0.194,2.9,0.305,0.3,73,11.8,0.38,119
나성범,424,9.00%,23.10%,0.39,0.357,0.511,0.868,0.219,1.8,0.336,-0.3,68,10.9,0.38,119
김혜성,567,8.30%,10.90%,0.76,0.383,0.458,0.84,0.132,6.6,0.35,2.7,90,13.8,0.378,118
최형우,487,10.70%,17.70%,0.6,0.361,0.499,0.86,0.219,3.0,0.301,-0.6,77,11.6,0.378,118
김선빈,466,6.40%,8.40%,0.77,0.38,0.447,0.827,0.118,2.9,0.347,0.2,74,10.7,0.377,117
페라자,522,12.10%,24.70%,0.49,0.364,0.486,0.85,0.211,3.0,0.332,-1.3,82,11.5,0.376,116
윤동희,613,10.90%,18.60%,0.59,0.376,0.453,0.829,0.16,4.4,0.347,-2.9,96,13.2,0.375,116
문성주,361,13.60%,10.50%,1.29,0.411,0.38,0.791,0.066,4.9,0.356,-1.1,56,7.6,0.374,116
강백호,614,9.60%,20.70%,0.46,0.36,0.48,0.84,0.191,3.3,0.333,-0.2,95,12.0,0.373,115
라모스,348,7.80%,17.20%,0.45,0.36,0.482,0.843,0.177,4.0,0.344,-1.1,54,6.7,0.373,114
허경민,477,7.50%,5.20%,1.44,0.384,0.427,0.811,0.118,3.8,0.312,0.1,74,9.1,0.372,114
김지찬,535,11.20%,7.50%,1.5,0.405,0.384,0.789,0.068,7.5,0.341,6.0,82,9.9,0.371,114
고승민,532,7.70%,14.70%,0.53,0.358,0.476,0.834,0.168,4.9,0.338,-1.3,81,9.3,0.37,113
황성빈,406,7.60%,13.80%,0.55,0.375,0.437,0.812,0.117,9.5,0.368,5.1,62,6.8,0.37,112
이성규,355,8.70%,30.70%,0.28,0.339,0.5,0.839,0.258,5.9,0.293,0.6,54,5.9,0.369,112
