player_id,Name,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
64001,고영표,7.11,1.26,5.64,0.54,17.30%,3.10%,14.30%,0.327,1.55,0.39,66.60%,4.95,3.7,1.25
53609,곽도규,10.35,5.5,1.88,0.65,25.80%,13.70%,12.10%,0.205,1.38,0.275,75.60%,3.56,4.43,-0.87
68220,곽빈,8.27,4.08,2.03,0.59,21.50%,10.60%,10.90%,0.224,1.3,0.279,67.60%,4.24,4.23,0.01
63543,구승민,9.68,5.46,1.77,0.94,22.20%,12.50%,9.70%,0.286,1.79,0.365,71.60%,4.84,5.08,-0.25
77829,김광현,8.54,4.05,2.11,1.33,21.70%,10.30%,11.40%,0.257,1.45,0.305,70.40%,4.93,5.23,-0.3
51713,김규연,6.1,4.27,1.43,0.92,14.80%,10.40%,4.40%,0.277,1.59,0.313,53.60%,7.02,5.34,1.67
51715,김기중,5.95,4.12,1.44,1.22,13.60%,9.40%,4.20%,0.328,1.86,0.364,68.70%,6.56,5.87,0.69
68043,김민,8.96,3.14,2.85,0.58,22.90%,8.00%,14.90%,0.274,1.44,0.351,70.80%,4.31,3.72,0.58
65048,김민수,8.3,3.65,2.27,0.89,20.90%,9.20%,11.70%,0.259,1.44,0.315,58.10%,5.2,4.44,0.76
76430,김상수,6.84,3.18,2.15,0.61,17.40%,8.10%,9.30%,0.244,1.32,0.287,65.30%,4.15,4.37,-0.22
66018,김선기,5.07,3.54,1.43,1.53,12.00%,8.40%,3.60%,0.283,1.59,0.294,69.90%,5.54,6.25,-0.71
68928,김시훈,6.2,4.95,1.25,0.59,15.50%,12.40%,3.10%,0.265,1.57,0.308,69.10%,4.53,4.95,-0.42
62528,김원중,9.66,4.41,2.19,0.57,24.50%,11.20%,13.40%,0.241,1.42,0.318,74.90%,3.55,3.94,-0.39
54319,김윤하,4.9,3.99,1.23,0.68,11.80%,9.60%,2.20%,0.287,1.62,0.316,60.70%,6.04,5.13,0.91
69745,김도현,7.08,3.72,1.9,1.08,17.10%,9.00%,8.10%,0.285,1.57,0.329,71.70%,4.92,5.34,-0.42
69367,김인범,3.84,4.41,0.87,1.28,9.10%,10.40%,-1.30%,0.291,1.67,0.297,73.00%,5.4,6.59,-1.19
64580,김재열,8.78,3.8,2.31,0.52,23.60%,10.20%,13.40%,0.227,1.27,0.293,82.30%,2.49,3.82,-1.33
65062,김재윤,6.95,3.41,2.04,1.77,18.00%,8.80%,9.20%,0.225,1.26,0.232,71.40%,4.09,5.95,-1.86
75867,김진성,7.81,2.94,2.65,1.41,20.70%,7.80%,12.90%,0.235,1.21,0.266,75.70%,3.97,5.33,-1.36
51516,김진욱,9.25,4.68,1.98,1.38,22.40%,11.30%,11.10%,0.261,1.57,0.315,69.60%,5.31,5.36,-0.04
62360,김태훈,6.36,3.27,1.95,1.03,16.40%,8.40%,8.00%,0.243,1.3,0.27,75.50%,3.96,5.14,-1.19
54263,김택연,10.8,4.29,2.52,0.28,28.20%,11.20%,17.00%,0.211,1.26,0.302,82.90%,2.08,3.36,-1.29
67539,나균안,9.12,5.79,1.57,1.85,19.50%,12.40%,7.10%,0.348,2.21,0.414,64.10%,8.51,6.53,1.98
54640,네일,8.32,2.11,3.94,0.66,21.50%,5.50%,16.00%,0.258,1.27,0.318,70.60%,2.53,3.74,-1.21
73211,노경은,7.64,3.44,2.22,1.08,20.30%,9.10%,11.10%,0.226,1.23,0.262,82.80%,2.9,4.9,-1.99
54443,레예스,7.13,1.88,3.8,0.94,18.50%,4.90%,13.60%,0.274,1.31,0.319,74.90%,3.81,4.29,-0.48
76715,류현진,7.67,1.88,4.09,0.68,19.90%,4.90%,15.00%,0.283,1.36,0.343,69.60%,3.87,3.71,0.15
52701,문동주,7.76,3.07,2.53,1.13,19.10%,7.60%,11.60%,0.322,1.67,0.383,69.80%,5.17,4.79,0.38
62869,문승원,7.95,3.6,2.21,1.5,20.00%,9.10%,10.90%,0.279,1.52,0.322,75.60%,4.5,5.4,-0.9
54720,바리아,8.06,1.75,4.61,0.97,20.50%,4.40%,16.00%,0.295,1.42,0.354,62.70%,5.15,3.94,1.2
67703,박상원,8.78,2.97,2.95,0.27,23.40%,7.90%,15.50%,0.229,1.19,0.302,57.70%,4.59,3.49,1.1
64021,박세웅,6.44,2.91,2.21,0.68,16.30%,7.40%,9.00%,0.272,1.41,0.315,64.20%,4.78,4.45,0.32
52060,박영현,10.21,2.58,3.95,1.41,28.10%,7.10%,21.00%,0.219,1.11,0.27,79.20%,3.52,4.38,-0.85
52528,반즈,10.21,2.75,3.72,1.08,27.40%,7.40%,20.00%,0.244,1.23,0.318,79.60%,3.35,4.05,-0.7
54243,발라조빅,10.89,4.42,2.46,0.47,27.60%,11.20%,16.40%,0.245,1.44,0.345,68.90%,4.26,3.59,0.67
77446,백정현,6.41,3.09,2.07,1.49,15.60%,7.50%,8.10%,0.313,1.67,0.346,66.80%,5.95,5.54,0.41
52043,벤자민,9.38,2.89,3.25,1.68,24.40%,7.50%,16.90%,0.24,1.26,0.28,67.00%,4.63,5.14,-0.51
52257,브랜든,9,1.32,6.82,0.36,23.80%,3.50%,20.30%,0.25,1.15,0.324,65.30%,3.12,2.87,0.25
53714,산체스,9.45,3.54,2.67,0.34,22.90%,8.60%,14.30%,0.28,1.52,0.372,71.40%,4.22,3.88,0.34
67143,손주영,6.97,3.36,2.07,0.68,17.60%,8.50%,9.10%,0.274,1.46,0.324,73.00%,3.79,4.52,-0.72
53898,송영진,6.07,4.62,1.31,0.91,14.70%,11.20%,3.50%,0.277,1.64,0.312,60.00%,5.8,5.28,0.52
54843,시라카와,7.22,5.18,1.39,0.94,17.40%,12.50%,4.90%,0.259,1.6,0.301,62.40%,5.65,5.39,0.26
68902,신민혁,5.5,1.19,4.63,1.49,14.10%,3.10%,11.10%,0.279,1.29,0.295,71.10%,4.31,5.25,-0.93
69045,알칸타라,4.76,3.08,1.55,1.4,12.60%,8.10%,4.40%,0.236,1.24,0.238,69.10%,4.76,5.83,-1.08
54833,앤더슨,12.29,4.12,2.98,0.86,31.90%,10.70%,21.20%,0.225,1.31,0.327,72.40%,3.89,3.84,0.05
77637,양현종,6.78,2.15,3.15,1.1,17.70%,5.60%,12.10%,0.256,1.25,0.289,70.50%,4.1,4.66,-0.56
65056,엄상백,9.13,2.41,3.79,1.49,23.60%,6.20%,17.30%,0.262,1.31,0.313,70.80%,4.88,4.82,0.07
54134,엔스,8.43,2.68,3.14,0.86,22.00%,7.00%,15.00%,0.257,1.31,0.315,69.60%,4.19,4.12,0.07
53825,엘리아스,7.57,2.18,3.47,0.95,19.80%,5.70%,14.10%,0.258,1.26,0.304,71.60%,4.08,4.31,-0.23
75421,오승환,6.87,2.95,2.33,1.47,16.00%,6.90%,9.20%,0.311,1.69,0.347,71.90%,4.91,5.49,-0.59
50859,오원석,8.28,4.81,1.72,1.26,20.40%,11.80%,8.50%,0.258,1.54,0.306,72.60%,5.03,5.65,-0.62
54755,와이스,9.62,2.85,3.38,0.79,25.50%,7.60%,18.00%,0.219,1.16,0.28,67.50%,3.73,3.79,-0.06
54063,원상현,8.13,4.27,1.9,0.83,18.20%,9.60%,8.60%,0.361,2.08,0.438,64.80%,7.03,4.65,2.37
69446,원태인,6.71,2.37,2.83,0.96,17.80%,6.30%,11.50%,0.242,1.2,0.274,74.80%,3.66,4.56,-0.9
53546,윌커슨,7.64,1.24,6.19,0.82,20.50%,3.30%,17.20%,0.267,1.21,0.319,69.70%,3.84,3.68,0.16
50106,유영찬,10.88,4.24,2.57,0.28,26.90%,10.50%,16.40%,0.241,1.43,0.339,76.80%,2.97,3.29,-0.33
79229,유희관,3.29,3.43,0.96,1.43,7.30%,7.60%,-0.30%,0.373,2.08,0.382,64.20%,7.71,5.9,1.81
53613,윤영철,6.39,4.74,1.35,0.88,16.00%,11.90%,4.10%,0.258,1.53,0.294,71.40%,4.19,5.22,-1.03
53892,이로운,6.59,6.91,0.95,0.64,14.80%,15.50%,-0.70%,0.29,1.96,0.339,65.20%,5.95,5.68,0.27
65616,이민우,4.42,4.89,0.9,1.26,10.20%,11.30%,-1.10%,0.326,1.91,0.345,59.30%,8.05,6.02,2.03
65616,이민우,8.02,3.76,2.13,0.82,20.90%,9.80%,11.10%,0.265,1.44,0.325,75.30%,3.76,4.46,-0.69
52204,이병헌,7.85,4.68,1.68,0.41,20.00%,11.90%,8.10%,0.246,1.45,0.309,77.80%,2.89,4.3,-1.41
51454,이승현,7.01,3.81,1.84,0.93,17.70%,9.60%,8.10%,0.258,1.43,0.299,73.50%,4.23,5.01,-0.78
60146,이승현,7.61,3.43,2.22,0.9,19.20%,8.70%,10.60%,0.285,1.51,0.341,73.60%,4.48,4.64,-0.17
66291,이영하,8.13,4.96,1.64,0.55,19.80%,12.10%,7.70%,0.238,1.5,0.294,69.90%,3.99,4.48,-0.49
77211,이용찬,8.12,3.48,2.33,0.99,18.70%,8.00%,10.70%,0.343,1.9,0.413,59.00%,6.13,4.65,1.48
60263,이재학,8.37,3.62,2.31,1.47,21.00%,9.10%,11.90%,0.26,1.44,0.301,66.10%,5.52,5.33,0.19
69108,이지강,6.54,4.36,1.5,0.84,15.60%,10.40%,5.20%,0.275,1.62,0.315,65.90%,4.53,5.07,-0.54
