선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
곽빈,두산,4.24,30,15,9,0,0,0.625,167 2/3,142,11,76,6,154,83,79,1.3
권휘,두산,11.0,8,0,0,0,0,-,9,15,0,7,0,11,11,11,2.44
김강률,두산,3.0,53,2,2,1,12,0.500,42,41,1,21,2,33,16,14,1.48
김도윤,두산,3.86,2,0,0,0,0,-,2 1/3,2,0,2,1,1,2,1,1.71
김동주,두산,6.84,14,1,3,0,0,0.250,50,67,6,21,4,35,46,38,1.76
김명신,두산,9.37,35,2,1,0,4,0.667,32 2/3,63,8,8,2,25,34,34,2.17
김민규,두산,4.32,13,0,1,0,0,0.000,25,23,4,19,4,19,14,12,1.68
김유성,두산,6.43,17,1,2,0,0,0.333,28,28,1,24,4,29,23,20,1.86
김정우,두산,81.0,1,0,0,0,0,-,1/3,3,0,0,0,0,3,3,9.0
김택연,두산,2.08,60,3,2,19,4,0.600,65,51,2,31,4,78,17,15,1.26
김호준,두산,8.78,16,1,2,0,0,0.333,13 1/3,22,1,4,5,6,14,13,1.95
박소준,두산,11.25,1,0,1,0,0,0.000,4,6,2,2,0,2,5,5,2.0
박신지,두산,2.08,6,0,1,0,0,0.000,8 2/3,8,0,8,1,3,3,2,1.85
박정수,두산,5.16,29,1,2,0,4,0.333,29 2/3,38,2,12,2,22,18,17,1.69
박지호,두산,0.0,1,0,0,0,1,-,2/3,0,0,1,0,2,0,0,1.5
박치국,두산,6.38,52,2,3,1,3,0.400,48,59,8,18,10,35,34,34,1.6
발라조빅,두산,4.26,12,2,6,0,1,0.250,57,54,3,28,2,69,29,27,1.44
브랜든,두산,3.12,14,7,4,0,0,0.636,75,75,3,11,4,75,34,26,1.15
시라카와,두산,5.65,12,4,5,0,0,0.444,57 1/3,59,6,33,3,46,41,36,1.6
알칸타라,두산,4.76,12,2,2,0,0,0.500,64 1/3,58,10,22,2,34,35,34,1.24
이교훈,두산,7.39,33,1,1,0,1,0.500,35 1/3,43,7,17,2,27,32,29,1.7
이병헌,두산,2.89,77,6,1,1,22,0.857,65 1/3,61,3,34,3,57,25,21,1.45
이영하,두산,3.99,59,5,4,2,5,0.556,65 1/3,62,4,36,2,59,34,29,1.5
정철원,두산,6.4,36,2,1,6,1,0.667,32 1/3,39,5,26,5,39,24,23,2.01
최승용,두산,6.0,12,2,0,0,1,1.000,27,37,6,7,0,21,19,18,1.63
최원준,두산,6.46,24,6,7,0,0,0.462,110,125,21,34,10,72,79,79,1.45
최종인,두산,3.72,11,1,0,1,2,1.000,9 2/3,8,2,5,0,8,4,4,1.34
최준호,두산,5.1,17,3,6,0,0,0.333,72 1/3,69,11,30,4,58,44,41,1.37
최지강,두산,3.24,55,3,1,1,15,0.750,50,48,6,24,6,45,19,18,1.44
홍건희,두산,2.73,65,4,3,9,11,0.571,59 1/3,55,5,33,5,45,22,18,1.48
