player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
52769,권광민,한화,0.271,19,51,48,10,13,3,0,4,28,9,0,0
71837,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0
53754,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
66715,김인환,한화,0.237,51,143,131,11,31,2,0,1,36,7,0,0
66704,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4
69737,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4
53764,문현빈,한화,0.277,103,289,260,29,72,16,2,5,107,47,1,2
66707,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0
67703,박상원,한화,-,2,0,0,0,0,0,0,0,0,0,0,0
79608,안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4
79608,안치홍,한화,0.300,128,533,473,64,142,21,0,13,202,66,1,4
69766,유로결,한화,0.222,23,39,36,6,8,1,0,0,9,4,0,0
65703,이도윤,한화,0.277,134,374,336,49,93,10,3,1,112,46,6,3
76849,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0
52704,이상혁,한화,0.154,43,15,13,13,2,0,0,0,2,0,0,0
68700,이원석,한화,0.233,87,154,133,26,31,4,1,0,37,13,2,1
76812,이재원,한화,0.239,72,152,134,10,32,4,0,1,39,16,2,5
66657,이진영,한화,0.204,42,103,93,20,19,6,0,1,28,13,0,0
50704,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0
51762,장규현,한화,0.000,9,7,6,0,0,0,0,0,0,0,0,0
79764,장민재,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
66706,장진혁,한화,0.263,99,327,289,56,76,16,0,9,119,44,5,1
68743,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0
65707,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0
79192,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5
50707,최인호,한화,0.286,82,244,210,37,60,13,2,2,83,22,4,2
78288,최재훈,한화,0.257,116,348,280,34,72,10,0,4,94,37,8,6
54730,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2
62700,하주석,한화,0.292,64,151,137,16,40,9,1,1,54,11,2,0
52710,한경빈,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0
54795,황영묵,한화,0.301,123,389,349,52,105,8,4,3,130,35,3,1
