선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고종욱,KIA,28,0,0,0,-,0,0
곽도규,KIA,1,0,0,0,-,0,0
김규성,KIA,27,1,1,0,100,0,0
김도영,KIA,141,44,40,4,90.9,5,1
김두현,KIA,3,0,0,0,-,0,0
김민주,KIA,1,0,0,0,-,0,0
김사윤,KIA,1,0,0,0,-,0,0
김선빈,KIA,116,6,5,1,83.3,1,0
김승현,KIA,1,0,0,0,-,0,0
김태군,KIA,105,0,0,0,-,3,0
김호령,KIA,64,5,3,2,60.0,1,0
나성범,KIA,102,0,0,0,-,1,0
박민,KIA,16,1,0,1,0.0,0,0
박정우,KIA,66,1,0,1,0.0,1,0
박찬호,KIA,134,33,20,13,60.6,4,1
변우혁,KIA,69,1,1,0,100,1,0
서건창,KIA,94,4,3,1,75.0,5,0
소크라테스,KIA,140,18,13,5,72.2,11,1
예진원,KIA,22,0,0,0,-,0,0
오선우,KIA,3,0,0,0,-,0,0
윤도현,KIA,6,1,1,0,100,0,0
이우성,KIA,112,8,7,1,87.5,5,0
이창진,KIA,103,7,4,3,57.1,1,0
이형범,KIA,1,0,0,0,-,0,0
전상현,KIA,1,0,0,0,-,0,0
정해영,KIA,2,0,0,0,-,0,0
최원준,KIA,136,30,21,9,70.0,3,1
최정용,KIA,6,0,0,0,-,0,0
최지민,KIA,2,0,0,0,-,0,0
최형우,KIA,116,2,1,1,50.0,1,0
한승택,KIA,20,0,0,0,-,0,0
한준수,KIA,115,0,0,0,-,2,0
홍종표,KIA,100,7,5,2,71.4,0,0
황대인,KIA,3,0,0,0,-,0,0
황동하,KIA,1,0,0,0,-,0,0
