player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
53006,강건,KT,투수,4,1,4,0,0,0,0,0,-,0,0,0,-
69064,강민성,KT,1루수,1,0,2,0,0,2,0,1,1.000,0,0,0,-
68050,강백호,KT,우익수,5,3,24,2,0,2,0,0,0.500,0,0,0,-
68050,강백호,KT,포수,30,19,169 2/3,2,1,137,17,0,0.987,5,32,8,20.0
50066,강현우,KT,포수,17,5,81,2,0,71,3,0,0.974,2,4,2,33.3
64001,고영표,KT,투수,18,17,100,2,1,5,14,0,0.905,0,0,0,-
51003,권동진,KT,2루수,7,2,24 1/3,0,0,6,7,2,1.000,0,0,0,-
51003,권동진,KT,3루수,1,0,4,1,0,0,1,0,0.500,0,0,0,-
51005,김건형,KT,우익수,12,9,66,0,0,22,0,0,1.0,0,0,0,-
68043,김민,KT,투수,71,1,77 1/3,0,0,4,9,0,1.0,0,0,0,-
65048,김민수,KT,투수,75,0,81 1/3,2,0,6,15,1,0.913,0,0,0,-
64004,김민혁,KT,우익수,8,4,34,0,0,5,0,0,1.0,0,0,0,-
64004,김민혁,KT,중견수,14,13,105 1/3,1,0,28,0,0,0.966,0,0,0,-
64004,김민혁,KT,좌익수,82,70,553,2,0,128,1,0,0.985,0,0,0,-
52002,김병준,KT,우익수,10,1,20 2/3,0,0,7,0,0,1.0,0,0,0,-
52002,김병준,KT,중견수,16,3,41,0,0,13,2,0,1.0,0,0,0,-
52002,김병준,KT,좌익수,5,0,7,0,0,2,0,0,1.000,0,0,0,-
79402,김상수,KT,2루수,38,35,281 1/3,4,0,72,89,18,0.976,0,0,0,-
79402,김상수,KT,유격수,78,71,581 2/3,10,0,120,151,31,0.964,0,0,0,-
51097,김영현,KT,투수,8,0,7 1/3,1,0,0,1,0,0.5,0,0,0,-
62558,김준태,KT,포수,18,3,57 1/3,0,1,39,2,1,1.0,0,6,0,0.0
67025,로하스,KT,우익수,80,75,575,2,0,119,3,0,0.984,0,0,0,-
67025,로하스,KT,중견수,6,2,27,0,0,11,1,0,1.000,0,0,0,-
67025,로하스,KT,좌익수,86,58,540,0,0,149,2,0,1.0,0,0,0,-
64007,문상철,KT,3루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
64007,문상철,KT,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
64007,문상철,KT,1루수,88,78,638 2/3,6,0,563,50,52,0.99,0,0,0,-
67419,문용익,KT,투수,12,0,17,0,0,1,2,1,1.0,0,0,0,-
73113,박경수,KT,2루수,3,0,3 1/3,0,0,1,1,1,1.000,0,0,0,-
69056,박민석,KT,2루수,6,0,17,1,0,3,2,0,0.833,0,0,0,-
69056,박민석,KT,3루수,2,0,5,0,0,0,3,1,1.000,0,0,0,-
69056,박민석,KT,유격수,5,0,8 1/3,2,0,1,2,1,0.600,0,0,0,-
66047,박세진,KT,투수,6,0,5 1/3,0,0,0,0,0,-,0,0,0,-
60559,박시영,KT,투수,26,0,25 1/3,0,0,2,3,0,1.0,0,0,0,-
52060,박영현,KT,투수,66,0,76 2/3,1,0,4,5,0,0.9,0,0,0,-
64166,배정대,KT,중견수,113,110,958,7,0,266,3,1,0.975,0,0,0,-
52043,벤자민,KT,투수,28,28,149 2/3,3,0,4,13,0,0.85,0,0,0,-
50109,성재헌,KT,투수,30,1,32,1,0,1,8,0,0.9,0,0,0,-
50030,소형준,KT,투수,6,0,8 1/3,0,0,2,1,0,1.000,0,0,0,-
69041,손동현,KT,투수,42,0,47 1/3,2,0,3,3,0,0.75,0,0,0,-
64012,송민섭,KT,좌익수,3,0,2 1/3,0,0,1,0,0,1.000,0,0,0,-
64012,송민섭,KT,중견수,10,0,24,0,0,3,0,0,1.0,0,0,0,-
64012,송민섭,KT,우익수,24,0,42 1/3,1,0,7,0,0,0.875,0,0,0,-
62556,신본기,KT,유격수,50,22,220 2/3,4,0,38,71,19,0.965,0,0,0,-
62556,신본기,KT,3루수,18,3,51,0,0,3,7,0,1.0,0,0,0,-
