선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강건,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
강민성,KT,0.000,1,1,1,0,0,0,0,0,0,0,0,0
강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2
강현우,KT,0.308,18,36,26,4,8,1,0,1,12,8,2,0
권동진,KT,0.222,9,10,9,3,2,0,0,0,2,0,0,0
김건형,KT,0.125,13,25,24,2,3,1,0,0,4,1,0,0
김민,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
김민혁,KT,0.353,115,393,351,47,124,14,3,1,147,34,3,3
김병준,KT,0.357,35,16,14,9,5,0,0,0,5,1,0,0
김상수,KT,0.276,113,420,369,60,102,18,4,4,140,45,7,1
김영현,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
김준태,KT,0.24,23,30,25,6,6,2,0,0,8,3,0,0
로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4
문상철,KT,0.256,125,403,347,50,89,11,0,17,151,58,1,3
박경수,KT,0.667,5,3,3,2,2,1,0,0,3,1,0,0
박민석,KT,0.214,20,14,14,6,3,0,0,0,3,0,0,0
박세진,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
박시영,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
박영현,KT,-,6,0,0,0,0,0,0,0,0,0,0,0
배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7
성재헌,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
손동현,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
송민섭,KT,0.214,36,20,14,8,3,0,0,0,3,1,1,0
신본기,KT,0.279,84,152,122,18,34,3,0,3,46,19,9,2
심우준,KT,0.266,53,192,169,22,45,4,0,3,58,28,5,0
안치영,KT,0.25,31,48,44,12,11,0,0,0,11,3,2,0
안현민,KT,0.2,16,29,25,5,5,0,1,1,10,2,0,1
오윤석,KT,0.293,73,201,174,33,51,12,2,6,85,27,3,2
오재일,KT,0.243,105,343,296,33,72,18,1,11,125,45,0,9
우규민,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
윤준혁,KT,0.176,13,18,17,3,3,2,0,0,5,0,0,0
이선우,KT,-,3,0,0,0,0,0,0,0,0,0,0,0
이호연,KT,0.146,27,43,41,3,6,1,0,0,7,0,1,0
장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8
장준원,KT,0.071,17,18,14,1,1,0,0,0,1,0,0,0
정준영,KT,0.226,43,74,62,9,14,2,0,0,16,3,3,0
조대현,KT,0.306,26,45,36,2,11,2,0,0,13,3,5,1
조용호,KT,0.248,60,165,149,17,37,5,0,0,42,13,3,0
주권,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
천성호,KT,0.295,75,255,234,41,69,8,3,1,86,17,1,1
홍현빈,KT,0.222,28,22,18,5,4,0,1,0,6,2,1,0
황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2
