선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고영우,키움,94,0,0,0,-,1,0
김건희,키움,83,0,0,0,-,1,0
김동욱,키움,1,0,0,0,-,0,0
김동헌,키움,2,0,0,0,-,0,0
김병휘,키움,28,0,0,0,-,0,0
김선기,키움,1,0,0,0,-,0,0
김수환,키움,2,0,0,0,-,0,0
김시앙,키움,6,0,0,0,-,0,0
김연주,키움,4,0,0,0,-,0,0
김웅빈,키움,12,0,0,0,-,0,0
김윤하,키움,1,0,0,0,-,0,0
김재웅,키움,2,0,0,0,-,0,0
김재현,키움,110,2,1,1,50.0,0,0
김주형,키움,22,1,0,1,0.0,1,0
김태진,키움,81,0,0,0,-,0,0
김혜성,키움,127,36,30,6,83.3,6,1
도슨,키움,95,4,2,2,50.0,5,0
문성현,키움,1,0,0,0,-,0,0
박범준,키움,1,0,0,0,-,0,0
박성빈,키움,12,0,0,0,-,0,0
박수종,키움,80,3,3,0,100,2,0
박주홍,키움,25,2,2,0,100,0,0
박준형,키움,4,0,0,0,-,0,0
변상권,키움,77,0,0,0,-,1,0
송성문,키움,142,21,21,0,100,3,1
송성문,키움,142,21,21,0,100.0,3,1
송지후,키움,2,0,0,0,-,0,0
신준우,키움,1,0,0,0,-,0,0
심휘윤,키움,1,0,0,0,-,0,0
양지율,키움,1,0,0,0,-,0,0
오석주,키움,1,0,0,0,-,0,0
원성준,키움,51,2,2,0,100,0,0
원종현,키움,1,0,0,0,-,0,0
윤정현,키움,1,0,0,0,-,0,0
이승원,키움,20,0,0,0,-,0,0
이용규,키움,60,4,2,2,50.0,3,0
이원석,키움,39,0,0,0,-,0,0
이재상,키움,36,0,0,0,-,1,0
이주형,키움,115,6,6,0,100,2,0
이형종,키움,35,1,1,0,100,1,0
임병욱,키움,42,1,1,0,100,0,0
임지열,키움,22,0,0,0,-,0,1
장재영,키움,38,0,0,0,-,1,0
주성원,키움,27,0,0,0,-,0,0
주승우,키움,5,0,0,0,-,0,0
최주환,키움,130,1,0,1,0.0,3,0
