선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강효종,LG,투수,1,1,1 1/3,0,0,0,0,0,-,0,0,0,-
구본혁,LG,2루수,43,29,268,2,0,65,93,23,0.988,0,0,0,-
구본혁,LG,유격수,54,43,368,5,0,59,97,20,0.969,0,0,0,-
구본혁,LG,3루수,57,21,247,3,0,21,55,8,0.962,0,0,0,-
김대원,LG,2루수,1,0,1,0,0,1,1,1,1.000,0,0,0,-
김대현,LG,투수,37,0,35,0,0,0,1,0,1.0,0,0,0,-
김민수,LG,1루수,6,2,15,1,0,12,0,1,0.923,0,0,0,-
김민수,LG,유격수,4,0,12,1,0,7,6,5,0.929,0,0,0,-
김민수,LG,3루수,9,2,29,0,0,2,6,2,1.000,0,0,0,-
김민수,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
김범석,LG,1루수,26,16,131 1/3,3,0,117,9,10,0.977,0,0,0,-
김범석,LG,포수,13,5,47 1/3,0,0,45,5,2,1.000,1,3,1,25.0
김성우,LG,포수,4,2,16,0,0,7,1,0,1.000,0,1,0,0.0
김성진,LG,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
김성진,LG,1루수,8,2,14 2/3,0,0,9,0,2,1.000,0,0,0,-
김수인,LG,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
김수인,LG,2루수,2,0,4,1,0,1,3,2,0.800,0,0,0,-
김영준,LG,투수,14,0,15 1/3,0,0,1,2,0,1.000,0,0,0,-
김유영,LG,투수,53,2,47 2/3,3,0,0,6,1,0.667,0,0,0,-
김윤식,LG,투수,1,1,3,0,0,0,0,0,-,0,0,0,-
김주성,LG,유격수,5,2,14,1,0,2,1,0,0.750,0,0,0,-
김주성,LG,3루수,5,1,14,0,0,0,6,0,1.000,0,0,0,-
김주온,LG,투수,2,0,4 2/3,0,0,1,1,0,1.000,0,0,0,-
김진성,LG,투수,71,0,70 2/3,1,0,4,5,1,0.9,0,0,0,-
김진수,LG,투수,7,0,13 1/3,0,0,1,2,2,1.000,0,0,0,-
김현수,LG,1루수,7,0,11,0,0,8,0,2,1.000,0,0,0,-
김현수,LG,좌익수,84,80,606,0,0,115,4,1,1.0,0,0,0,-
김현종,LG,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
김현종,LG,좌익수,4,0,5,0,0,0,0,0,-,0,0,0,-
김현종,LG,중견수,6,0,17,0,0,5,0,0,1.000,0,0,0,-
문보경,LG,1루수,52,12,180,3,0,146,16,14,0.982,0,0,0,-
문보경,LG,3루수,129,120,975,10,0,89,186,21,0.965,0,0,0,-
문성주,LG,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
