player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
54567,강성우,롯데,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
54506,강승구,롯데,포수,5,0,7,0,0,6,0,0,1.000,0,0,0,-
65514,강태율,롯데,포수,10,3,28,1,0,29,1,0,0.968,0,4,1,20.0
69517,고승민,롯데,좌익수,13,12,86,0,0,17,2,0,1.0,0,0,0,-
69517,고승민,롯데,2루수,104,98,840,13,0,206,275,68,0.974,0,0,0,-
69517,고승민,롯데,1루수,6,0,13,0,0,11,1,1,1.000,0,0,0,-
69517,고승민,롯데,우익수,6,3,31,0,0,9,0,0,1.000,0,0,0,-
63543,구승민,롯데,투수,66,0,57 2/3,0,0,1,7,0,1.0,0,0,0,-
65522,김강현,롯데,투수,26,0,25 1/3,0,0,3,5,1,1.0,0,0,0,-
68585,김도규,롯데,투수,5,0,4,0,0,0,0,0,-,0,0,0,-
52504,김동혁,롯데,우익수,7,0,11 2/3,0,0,2,0,0,1.000,0,0,0,-
52504,김동혁,롯데,좌익수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
52504,김동혁,롯데,중견수,20,0,44,2,0,18,0,0,0.9,0,0,0,-
53554,김민석,롯데,중견수,3,3,23 1/3,0,0,10,0,0,1.000,0,0,0,-
53554,김민석,롯데,좌익수,22,13,128 2/3,0,0,35,1,1,1.0,0,0,0,-
77564,김민성,롯데,3루수,29,19,162 1/3,2,0,13,26,5,0.951,0,0,0,-
77564,김민성,롯데,2루수,3,2,12,0,0,1,7,1,1.000,0,0,0,-
76430,김상수,롯데,투수,74,0,73 2/3,1,0,1,13,0,0.933,0,0,0,-
62528,김원중,롯데,투수,56,0,63 1/3,1,0,3,6,0,0.9,0,0,0,-
51516,김진욱,롯데,투수,19,18,84 2/3,0,0,1,7,0,1.0,0,0,0,-
67539,나균안,롯데,투수,26,14,73,2,1,4,6,0,0.833,0,0,0,-
51551,나승엽,롯데,1루수,113,111,937 1/3,11,0,813,67,89,0.988,0,0,0,-
62931,노진혁,롯데,1루수,12,3,36,1,0,36,3,5,0.975,0,0,0,-
62931,노진혁,롯데,유격수,29,18,150 2/3,5,0,23,38,9,0.924,0,0,0,-
62931,노진혁,롯데,3루수,18,10,97 2/3,2,0,8,23,4,0.939,0,0,0,-
54529,레이예스,롯데,좌익수,47,43,346,0,0,79,2,2,1.0,0,0,0,-
54529,레이예스,롯데,중견수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
54529,레이예스,롯데,우익수,83,81,664 2/3,4,0,126,0,0,0.969,0,0,0,-
64021,박세웅,롯데,투수,30,30,173 1/3,1,1,15,22,6,0.974,0,0,0,-
62802,박승욱,롯데,2루수,18,4,54,0,0,16,20,2,1.0,0,0,0,-
62802,박승욱,롯데,3루수,27,11,123 2/3,1,0,10,20,5,0.968,0,0,0,-
62802,박승욱,롯데,유격수,111,97,833,22,0,140,252,63,0.947,0,0,0,-
54503,박준우,롯데,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
69594,박진,롯데,투수,38,3,49 1/3,0,0,3,1,0,1.0,0,0,0,-
63512,박진형,롯데,투수,7,0,6 1/3,0,0,0,2,0,1.000,0,0,0,-
52528,반즈,롯데,투수,25,25,150 2/3,1,0,2,16,0,0.947,0,0,0,-
53569,서동욱,롯데,포수,32,5,95,1,0,75,10,2,0.988,0,5,3,37.5
51528,손성빈,롯데,포수,86,52,445 2/3,4,1,414,25,5,0.991,0,17,3,15.0
50150,손호영,롯데,2루수,20,15,110 1/3,0,0,24,34,11,1.0,0,0,0,-
50150,손호영,롯데,유격수,6,4,39,1,0,8,9,3,0.944,0,0,0,-
50150,손호영,롯데,3루수,80,73,640 2/3,13,0,58,116,12,0.93,0,0,0,-
51594,송재영,롯데,투수,19,0,8 1/3,0,0,0,1,0,1.0,0,0,0,-
69508,신윤후,롯데,3루수,2,0,5,0,0,3,0,0,1.000,0,0,0,-
69508,신윤후,롯데,좌익수,3,0,8,0,0,0,1,0,1.000,0,0,0,-
69508,신윤후,롯데,중견수,3,0,6,0,0,3,0,0,1.000,0,0,0,-
69508,신윤후,롯데,우익수,25,6,84,0,0,22,4,1,1.0,0,0,0,-
78756,오선진,롯데,유격수,3,0,6,0,0,0,2,0,1.000,0,0,0,-
78756,오선진,롯데,2루수,10,2,27,0,0,3,7,1,1.0,0,0,0,-
78756,오선진,롯데,3루수,14,1,41 2/3,0,0,0,8,1,1.0,0,0,0,-
53546,윌커슨,롯데,투수,32,32,196 2/3,3,2,10,21,3,0.912,0,0,0,-
61102,유강남,롯데,포수,50,42,324 2/3,3,0,277,23,4,0.99,1,27,10,27.0
52591,윤동희,롯데,중견수,88,81,696 2/3,4,0,204,2,0,0.981,0,0,0,-
52591,윤동희,롯데,우익수,61,52,455,0,0,106,2,1,1.0,0,0,0,-
67588,윤성빈,롯데,투수,1,1,1,0,0,0,0,0,-,0,0,0,-
52530,이민석,롯데,투수,18,5,31,0,0,2,4,0,1.0,0,0,0,-
54595,이선우,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
54595,이선우,롯데,중견수,2,0,2 2/3,1,0,1,0,0,0.500,0,0,0,-
64565,이인복,롯데,투수,8,6,33,0,0,0,5,1,1.0,0,0,0,-
50608,이인한,롯데,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
50608,이인한,롯데,좌익수,2,0,2,0,0,0,0,0,-,0,0,0,-
67644,이정훈,롯데,포수,1,0,1,0,0,1,0,1,1.000,0,0,0,-
67644,이정훈,롯데,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
51560,이주찬,롯데,1루수,1,0,2,0,0,3,0,0,1.000,0,0,0,-
51560,이주찬,롯데,유격수,3,0,5,0,0,1,3,1,1.000,0,0,0,-
51560,이주찬,롯데,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
51560,이주찬,롯데,3루수,10,5,46 1/3,4,0,3,9,2,0.75,0,0,0,-
69453,이학주,롯데,3루수,3,2,5 2/3,0,0,0,0,0,-,0,0,0,-
