선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김대우,삼성,5.5,32,0,0,0,5,-,34 1/3,42,4,9,3,23,24,21,1.49
김대호,삼성,11.25,1,0,1,0,0,0.000,4,7,1,2,0,1,6,5,2.25
김무신,삼성,10.13,4,0,0,0,0,-,5 1/3,6,0,7,0,2,6,6,2.44
김재윤,삼성,4.09,65,4,8,11,25,0.333,66,58,13,25,1,51,37,30,1.26
김태훈,삼성,3.96,56,3,2,0,23,0.600,52 1/3,49,6,19,4,37,24,23,1.3
레예스,삼성,3.81,26,11,4,0,0,0.733,144,159,15,30,7,114,65,61,1.31
백정현,삼성,5.95,17,6,5,0,0,0.545,78 2/3,104,13,27,1,56,56,52,1.67
송은범,삼성,1.08,9,0,0,0,2,-,8 1/3,8,0,1,0,2,1,1,1.08
양현,삼성,7.62,18,0,1,0,2,0.000,13,21,4,5,1,10,11,11,2.0
오승환,삼성,4.91,58,3,9,27,2,0.250,55,75,9,18,3,42,36,30,1.69
원태인,삼성,3.66,28,15,6,0,0,0.714,159 2/3,150,17,42,7,119,68,65,1.2
육선엽,삼성,5.29,11,0,0,0,0,-,17,19,3,17,2,11,11,10,2.12
이상민,삼성,3.9,37,2,1,1,8,0.667,30,31,2,6,4,12,13,13,1.23
이승민,삼성,8.56,25,1,4,0,0,0.200,47 1/3,71,14,26,3,23,48,45,2.05
이승현,삼성,4.23,17,6,4,0,0,0.600,87 1/3,88,9,37,6,68,44,41,1.43
이승현,삼성,4.48,60,6,2,1,9,0.750,60 1/3,68,6,23,3,51,31,30,1.51
이재익,삼성,17.69,9,1,0,0,0,1.000,9 2/3,29,2,4,0,6,19,19,3.41
이호성,삼성,7.4,16,2,4,0,0,0.333,45,66,9,26,2,28,39,37,2.04
임창민,삼성,3.98,60,2,1,1,28,0.667,54 1/3,60,4,30,2,50,26,24,1.66
장필준,삼성,135.0,1,0,0,0,0,-,1/3,5,0,0,0,0,5,5,15.0
최성훈,삼성,6.92,28,0,1,0,3,0.000,13,14,1,9,1,10,10,10,1.77
최지광,삼성,2.23,35,3,2,0,7,0.600,36 1/3,22,1,21,4,38,9,9,1.18
최채흥,삼성,6.3,14,0,0,0,1,-,20,24,4,12,0,14,15,14,1.8
최하늘,삼성,5.34,27,1,1,0,1,0.500,32,26,2,16,4,18,20,19,1.31
코너,삼성,3.43,28,11,6,0,0,0.647,160,135,21,40,19,158,67,61,1.09
홍원표,삼성,4.26,4,0,0,0,0,-,6 1/3,4,1,6,0,5,3,3,1.58
홍정우,삼성,45.0,1,0,0,0,0,-,1,5,1,1,0,1,5,5,6.0
황동재,삼성,4.07,15,1,2,0,0,0.333,42,38,2,18,4,30,20,19,1.33
