game_id,player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
20250626HHSS0,55460,2025-06-26,한화,선발,,0.00,15,5,1,0,0,0,4,0,0,0.0
20250702OBSS0,55460,2025-07-02,두산,선발,패,1.80,19,5,3,0,2,0,7,1,1,0.9
20250708NCSS0,55460,2025-07-08,NC,선발,,6.75,24,4,8,1,3,1,5,4,3,2.57
20250723SKSS0,55460,2025-07-23,SSG,선발,승,0.00,22,7,3,0,0,0,6,0,0,1.71
20250729HHSS0,55460,2025-07-29,한화,선발,승,0.00,23,6,5,0,1,0,6,0,0,1.33
20250803LGSS0,55460,2025-08-03,LG,선발,패,3.60,26,5,1,0,8,1,3,4,2,1.69
20250809KTSS0,55460,2025-08-09,KT,선발,패,4.50,24,6,3,1,2,1,10,3,3,2.13
20250815LTSS0,55460,2025-08-15,롯데,선발,승,0.00,25,5 2/3,3,0,2,2,8,3,0,1.85
20250821NCSS0,55460,2025-08-21,NC,선발,,6.75,28,6 2/3,6,4,4,0,4,5,5,2.5
20250827OBSS0,55460,2025-08-27,두산,선발,승,0.00,20,5,2,0,2,0,8,1,0,2.28
20250903WOSS0,55460,2025-09-03,키움,선발,,5.40,22,5,6,0,1,0,5,3,3,2.54
20250901HTSS0,55460,2025-09-01,KIA,선발,패,1.50,23,6,4,0,2,0,8,1,1,2.44
20250916LTSS0,55460,2025-09-16,롯데,선발,,0.00,24,5,3,0,6,1,6,1,0,2.27
20250923OBSS0,55460,2025-09-23,두산,선발,,9.00,20,4,6,0,3,0,2,4,4,2.63
20250928WOSS0,55460,2025-09-28,키움,선발,,3.00,12,3,2,0,1,0,2,1,1,2.64
20250527SSLT0,55532,2025-05-27,삼성,선발,패,7.71,23,4 2/3,5,0,1,2,9,4,4,7.71
20250603WOLT0,55532,2025-06-03,키움,선발,승,0.00,24,7,2,0,1,0,6,0,0,3.09
20250608OBLT0,55532,2025-06-08,두산,선발,승,2.70,27,6 2/3,4,0,2,0,5,2,2,2.95
20250614SKLT0,55532,2025-06-14,SSG,선발,승,1.50,25,6,7,0,1,0,6,1,1,2.59
20250602SSLT0,55532,2025-06-02,삼성,선발,승,1.50,26,6,4,1,4,0,8,1,1,2.37
20250626NCLT0,55532,2025-06-26,NC,선발,승,3.18,24,5 2/3,6,0,2,0,5,5,2,2.5
20250702LGLT0,55532,2025-07-02,LG,선발,승,0.00,30,6 2/3,6,0,4,0,6,0,0,2.11
20250718LGLT0,55532,2025-07-18,LG,선발,패,3.00,26,6,5,1,3,0,8,2,2,2.22
20250724WOLT0,55532,2025-07-24,키움,선발,승,0.00,23,7,1,0,1,0,9,0,0,1.94
20250703NCLT0,55532,2025-07-03,NC,선발,,3.60,24,5,8,0,3,0,6,2,2,2.08
20250805HTLT0,55532,2025-08-05,KIA,선발,패,2.70,28,6 2/3,4,0,2,1,7,2,2,2.14
