player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
53609,곽도규,KIA,13.5,9,0,0,0,3,-,4,3,0,6,2,5,6,6,2.25
76225,김건국,KIA,6.85,26,0,3,0,1,0.000,46,59,11,17,5,31,38,35,1.65
69620,김기훈,KIA,3.25,24,1,1,0,0,0.500,27 2/3,25,2,10,1,27,11,10,1.27
60337,김대유,KIA,9.72,15,0,1,0,1,0.000,8 1/3,12,1,4,0,3,9,9,1.92
69745,김도현,KIA,4.81,24,4,7,0,0,0.364,125 1/3,149,11,33,10,71,79,67,1.45
54608,김민재,KIA,0.0,1,0,0,0,0,-,2,2,0,0,0,1,0,0,1.0
54645,김민주,KIA,12.0,3,0,0,0,0,-,3,4,0,2,2,2,4,4,2.0
68928,김시훈,KIA,8.06,24,1,0,0,1,1.000,25 2/3,33,7,10,0,18,25,23,1.68
55646,김정엽,KIA,18.0,2,0,0,0,0,-,1,0,0,1,1,0,2,2,1.0
55610,김태형,KIA,4.56,8,0,3,0,0,0.000,23 2/3,25,4,7,5,14,12,12,1.35
69516,김현수,KIA,2.45,18,0,0,0,0,-,18 1/3,17,2,13,1,11,5,5,1.64
54640,네일,KIA,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07
54610,성영탁,KIA,1.55,45,3,2,0,7,0.600,52 1/3,38,2,13,0,30,11,9,0.97
77637,양현종,KIA,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49
55633,올러,KIA,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15
67640,유승철,KIA,4.5,1,0,0,0,0,-,2,3,0,2,0,3,1,1,2.5
50604,유지성,KIA,0.0,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.0
53613,윤영철,KIA,5.58,13,2,7,0,0,0.222,50,52,4,30,1,43,37,31,1.64
68619,윤중현,KIA,4.35,13,1,0,0,0,1.000,10 1/3,10,2,7,0,7,5,5,1.65
53615,이도현,KIA,6.92,6,1,1,0,0,0.500,13,17,1,8,1,9,11,10,1.92
55632,이성원,KIA,16.88,4,0,0,0,0,-,2 2/3,3,0,4,3,3,7,5,2.63
51648,이의리,KIA,7.94,10,1,4,0,0,0.200,39 2/3,41,6,31,3,42,37,35,1.82
65665,이준영,KIA,4.76,57,3,1,0,7,0.750,34,36,6,11,1,34,18,18,1.38
62951,이형범,KIA,11.7,12,0,0,0,0,-,10,21,0,5,0,6,16,13,2.6
55663,이호민,KIA,8.59,13,1,0,0,0,1.000,14 2/3,21,0,9,2,7,14,14,2.05
62754,임기영,KIA,13.0,10,1,1,0,0,0.500,9,23,2,4,0,5,13,13,3.0
50641,장재혁,KIA,6.0,3,0,0,0,0,-,3,3,1,3,0,2,2,2,2.0
66609,전상현,KIA,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.2
50662,정해영,KIA,3.79,60,3,7,27,0,0.300,61 2/3,75,4,18,3,72,30,26,1.51
63342,조상우,KIA,3.9,72,6,6,1,28,0.500,60,64,5,27,6,55,29,26,1.52
52639,최지민,KIA,6.58,66,2,4,0,9,0.333,53 1/3,46,5,51,4,39,40,39,1.82
51994,한재승,KIA,6.48,36,1,1,1,1,0.500,33 1/3,40,5,31,1,35,29,24,2.13
69643,홍원빈,KIA,27.0,2,0,0,0,0,-,1 2/3,2,0,4,0,1,5,5,3.6
52641,황동하,KIA,5.3,18,1,2,0,0,0.333,35 2/3,38,4,10,3,31,21,21,1.35
