player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
69064,강민성,KT,0.033,25,36,30,0,1,0,0,0,1,1,0,1
68050,강백호,KT,0.265,95,369,321,41,85,18,1,15,150,61,0,1
50066,강현우,KT,0.188,40,78,64,5,12,1,0,1,16,8,3,1
51003,권동진,KT,0.225,123,309,271,34,61,12,3,1,82,25,6,1
51005,김건형,KT,0.000,2,1,1,0,0,0,0,0,0,0,0,0
54097,김민석,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
65048,김민수,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
64004,김민혁,KT,0.287,106,417,380,52,109,12,2,0,125,35,4,1
52002,김병준,KT,0.200,9,5,5,2,1,0,0,0,1,0,0,0
79402,김상수,KT,0.254,113,423,355,42,90,14,0,5,119,47,5,7
67025,로하스,KT,0.239,95,384,331,48,79,20,0,14,141,43,0,4
64007,문상철,KT,0.214,79,209,173,22,37,6,1,5,60,20,3,3
55046,박건우,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
73113,박경수,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
69056,박민석,KT,0.263,19,21,19,5,5,1,1,0,8,1,0,0
52060,박영현,KT,-,5,0,0,0,0,0,0,0,0,0,0,0
64166,배정대,KT,0.204,99,276,240,25,49,11,2,2,70,28,7,3
69041,손동현,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
64012,송민섭,KT,-,3,0,0,0,0,0,0,0,0,0,0,0
55013,스티븐슨,KT,0.262,39,168,149,26,39,12,0,3,60,14,1,0
67006,안치영,KT,0.227,47,56,44,9,10,1,0,1,14,6,4,1
52001,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3
55005,오서진,KT,-,3,0,0,0,0,0,0,0,0,0,0,0
64504,오윤석,KT,0.256,77,184,156,30,40,8,1,0,50,19,8,1
73117,우규민,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
51013,유준규,KT,0.118,35,41,34,13,4,2,0,0,6,3,0,0
50092,윤준혁,KT,0.059,28,18,17,4,1,1,0,0,2,0,1,0
69054,이상동,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
67048,이정현,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
67644,이정훈,KT,0.258,59,148,132,20,34,4,0,4,50,14,0,0
68504,이호연,KT,0.343,32,75,70,8,24,7,0,1,34,8,1,0
78548,장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,2,8
64115,장준원,KT,0.207,73,154,140,10,29,3,0,1,35,11,5,1
66706,장진혁,KT,0.209,86,157,139,19,29,3,1,4,46,19,4,1
68089,조대현,KT,0.187,64,90,75,7,14,4,0,0,18,11,6,0
65060,주권,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
79140,최동환,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
51007,최성민,KT,0.105,32,21,19,3,2,0,0,0,2,2,1,0
79240,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4
76313,황재균,KT,0.275,112,424,385,50,106,19,0,7,146,48,1,2
