선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
강건,KT,24.55,2,0,1,0,0,0.000,3 2/3,7,1,7,1,1,10,10,3.82
강백호,KT,18.0,1,0,0,0,0,-,1,3,1,1,0,1,2,2,4.0
고영표,KT,3.3,29,11,8,0,0,0.579,161,170,10,30,15,154,70,59,1.24
김동현,KT,13.5,3,0,0,0,0,-,3 1/3,7,2,3,0,4,5,5,3.0
김민수,KT,4.96,58,4,3,0,11,0.571,52 2/3,63,5,15,1,36,31,29,1.48
김재원,KT,10.38,4,0,0,0,0,-,4 1/3,3,0,8,1,4,5,5,2.54
문용익,KT,3.14,20,1,0,0,0,1.000,28 2/3,21,3,19,0,31,11,10,1.4
박건우,KT,2.7,6,0,0,0,0,-,6 2/3,4,1,4,0,9,2,2,1.2
박영현,KT,3.39,67,5,6,35,1,0.455,69,68,9,34,2,77,31,26,1.48
배제성,KT,5.67,8,2,3,0,0,0.400,27,38,2,11,0,23,17,17,1.81
소형준,KT,3.3,26,10,7,1,0,0.588,147 1/3,155,6,29,3,123,60,54,1.25
손동현,KT,3.84,58,5,0,1,13,1.000,58 2/3,66,6,12,3,55,30,25,1.33
오원석,KT,3.67,25,11,8,0,0,0.579,132 1/3,130,10,52,4,113,60,54,1.38
우규민,KT,2.44,53,1,2,0,9,0.333,44 1/3,45,2,3,4,24,12,12,1.08
원상현,KT,5.21,52,0,3,0,14,0.000,57,56,8,35,1,45,35,33,1.6
이상동,KT,2.49,41,3,0,0,5,1.000,43 1/3,31,4,9,2,34,12,12,0.92
이정현,KT,16.62,6,0,0,0,0,-,4 1/3,9,0,4,1,3,8,8,3.0
이채호,KT,6.17,10,0,0,0,0,-,11 2/3,12,1,5,2,8,8,8,1.46
임준형,KT,5.19,10,0,0,0,0,-,8 2/3,11,0,7,1,6,7,5,2.08
전용주,KT,3.95,21,0,1,0,4,0.000,13 2/3,18,0,7,0,11,8,6,1.83
조이현,KT,5.4,3,1,2,0,0,0.333,11 2/3,17,2,0,1,3,7,7,1.46
주권,KT,4.43,34,0,1,0,0,0.000,40 2/3,48,3,13,0,19,23,20,1.5
최동환,KT,8.68,20,1,1,0,0,0.500,18 2/3,27,4,12,1,9,19,18,2.09
최용준,KT,2.0,7,1,0,0,0,1.000,9,13,0,2,0,5,2,2,1.67
쿠에바스,KT,5.4,18,3,10,0,0,0.231,98 1/3,104,13,46,5,60,69,59,1.53
패트릭,KT,3.12,15,3,3,0,2,0.500,60 2/3,63,2,21,2,45,26,21,1.38
한차현,KT,16.2,2,0,0,0,0,-,1 2/3,4,0,2,0,1,3,3,3.6
헤이수스,KT,3.96,32,9,9,0,1,0.500,163 2/3,173,17,44,8,165,85,72,1.33
