선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
감보아,롯데,투수,19,19,108,2,0,4,19,2,0.92,0,0,0,-
강승구,롯데,포수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
고승민,롯데,좌익수,2,1,10,0,0,4,0,0,1.000,0,0,0,-
고승민,롯데,우익수,22,21,165 2/3,1,0,40,1,0,0.976,0,0,0,-
고승민,롯데,1루수,45,33,299,1,0,268,18,24,0.997,0,0,0,-
고승민,롯데,2루수,60,58,449 1/3,4,0,93,165,34,0.985,0,0,0,-
구승민,롯데,투수,11,0,9,0,0,1,1,0,1.0,0,0,0,-
김강현,롯데,투수,67,0,72,0,1,1,6,0,1.0,0,0,0,-
김동혁,롯데,중견수,32,15,164,0,0,51,0,0,1.0,0,0,0,-
김동혁,롯데,우익수,23,8,102 2/3,0,0,29,3,2,1.0,0,0,0,-
김동혁,롯데,좌익수,21,1,26,0,0,8,0,0,1.0,0,0,0,-
김민성,롯데,3루수,58,43,358 1/3,5,0,17,75,5,0.948,0,0,0,-
김민성,롯데,1루수,11,2,25,1,0,28,0,6,0.966,0,0,0,-
김민성,롯데,2루수,12,10,81,0,0,17,22,4,1.0,0,0,0,-
김상수,롯데,투수,45,0,36 2/3,0,0,4,1,0,1.0,0,0,0,-
김원중,롯데,투수,53,0,60 2/3,0,0,1,13,0,1.0,0,0,0,-
김진욱,롯데,투수,14,6,27,1,0,1,5,0,0.857,0,0,0,-
김태현,롯데,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
나균안,롯데,투수,28,26,137 1/3,1,1,6,13,0,0.95,0,0,0,-
나승엽,롯데,1루수,94,91,738 1/3,8,0,667,44,54,0.989,0,0,0,-
노진혁,롯데,1루수,7,2,29 2/3,2,0,30,1,6,0.939,0,0,0,-
노진혁,롯데,3루수,4,1,10,0,0,2,0,0,1.000,0,0,0,-
데이비슨,롯데,투수,22,22,123 1/3,2,0,6,12,1,0.9,0,0,0,-
레이예스,롯데,우익수,30,30,236,1,0,45,0,0,0.978,0,0,0,-
레이예스,롯데,좌익수,98,88,752 2/3,1,0,146,3,1,0.993,0,0,0,-
박건우,롯데,포수,6,0,11 1/3,0,0,10,1,0,1.000,1,0,0,-
박세웅,롯데,투수,29,28,160 2/3,1,1,5,26,1,0.969,0,0,0,-
박세현,롯데,투수,3,0,3 2/3,0,0,1,0,0,1.000,0,0,0,-
박승욱,롯데,2루수,15,0,22,0,0,5,13,1,1.0,0,0,0,-
박승욱,롯데,유격수,30,22,174,2,0,21,51,10,0.973,0,0,0,-
박승욱,롯데,3루수,5,2,19,0,0,1,4,0,1.000,0,0,0,-
박승욱,롯데,1루수,10,0,16 1/3,0,0,10,2,3,1.0,0,0,0,-
박시영,롯데,투수,11,0,7 1/3,0,0,0,2,0,1.0,0,0,0,-
박재엽,롯데,포수,9,3,39,1,0,42,1,1,0.977,0,3,1,25.0
박준우,롯데,투수,11,1,12 1/3,0,0,0,2,0,1.0,0,0,0,-
박진,롯데,투수,51,5,69 1/3,0,0,6,4,0,1.0,0,0,0,-
박진형,롯데,투수,7,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
박찬형,롯데,2루수,8,5,45 1/3,2,0,14,19,4,0.943,0,0,0,-
박찬형,롯데,3루수,28,21,195 1/3,3,0,15,33,4,0.941,0,0,0,-
박찬형,롯데,유격수,2,1,13,1,0,3,3,2,0.857,0,0,0,-
반즈,롯데,투수,8,8,45 2/3,0,0,2,4,0,1.0,0,0,0,-
벨라스케즈,롯데,투수,11,7,35,0,0,2,4,0,1.0,0,0,0,-
손성빈,롯데,포수,50,15,189 1/3,1,0,150,15,0,0.994,1,7,5,41.7
손호영,롯데,2루수,15,12,96,1,0,23,30,9,0.981,0,0,0,-
손호영,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
손호영,롯데,3루수,74,71,614 2/3,16,0,55,117,14,0.915,0,0,0,-
송재영,롯데,투수,46,0,27,0,0,0,3,1,1.0,0,0,0,-
신윤후,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
신윤후,롯데,우익수,4,0,6,0,0,0,0,0,-,0,0,0,-
신윤후,롯데,중견수,5,2,27 2/3,0,0,5,0,0,1.000,0,0,0,-
심재민,롯데,투수,4,0,3,0,0,0,0,0,-,0,0,0,-
유강남,롯데,포수,98,92,641 1/3,2,0,588,47,3,0.997,5,66,6,8.3
윤동희,롯데,우익수,85,73,646 2/3,3,0,130,2,0,0.978,0,0,0,-
윤동희,롯데,중견수,19,18,121 2/3,0,0,37,0,0,1.0,0,0,0,-
윤성빈,롯데,투수,31,1,27,1,0,1,2,0,0.75,0,0,0,-
이민석,롯데,투수,20,17,87 1/3,1,1,6,7,0,0.929,0,0,0,-
이영재,롯데,투수,3,0,2,0,0,0,0,0,-,0,0,0,-
이인한,롯데,좌익수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
이태경,롯데,2루수,2,0,2,0,0,0,0,0,-,0,0,0,-
이호준,롯데,2루수,33,1,64,0,0,11,21,7,1.0,0,0,0,-
이호준,롯데,유격수,63,32,340 1/3,9,0,47,105,18,0.944,0,0,0,-
이호준,롯데,3루수,3,0,7 2/3,1,0,2,2,0,0.800,0,0,0,-
장두성,롯데,좌익수,20,0,37,0,0,5,0,0,1.0,0,0,0,-
장두성,롯데,우익수,16,8,85,1,0,22,0,0,0.957,0,0,0,-
장두성,롯데,중견수,82,46,467 1/3,2,0,135,2,0,0.986,0,0,0,-
전민재,롯데,유격수,93,87,726 2/3,15,0,116,209,50,0.956,0,0,0,-
전민재,롯데,3루수,7,5,48,1,0,8,13,1,0.955,0,0,0,-
전민재,롯데,2루수,4,2,19,0,0,7,4,2,1.000,0,0,0,-
전준우,롯데,좌익수,49,48,384,0,0,68,4,1,1.0,0,0,0,-
정보근,롯데,포수,93,34,397,2,0,374,21,1,0.995,6,28,5,15.2
정성종,롯데,투수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
정우준,롯데,투수,3,0,3 1/3,0,0,0,0,0,-,0,0,0,-
정철원,롯데,투수,75,0,70,0,0,0,9,1,1.0,0,0,0,-
정현수,롯데,투수,82,0,47 2/3,0,0,3,4,0,1.0,0,0,0,-
정훈,롯데,1루수,32,16,167 2/3,2,0,168,15,11,0.989,0,0,0,-
정훈,롯데,좌익수,2,1,10,0,0,2,0,0,1.000,0,0,0,-
조세진,롯데,중견수,1,1,8,0,0,4,0,0,1.000,0,0,0,-
조세진,롯데,우익수,7,1,8,0,0,1,0,0,1.000,0,0,0,-
최준용,롯데,투수,49,0,54 1/3,1,1,1,7,0,0.889,0,0,0,-
최항,롯데,2루수,1,0,1,0,0,1,0,0,1.0,0,0,0,-
최항,롯데,1루수,3,0,4,1,0,2,2,0,0.800,0,0,0,-
