선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
구창모,NC,2.51,4,1,0,0,0,1.000,14 1/3,14,1,3,0,18,4,4,1.19
김녹원,NC,6.56,21,3,4,0,1,0.429,70,75,10,47,3,37,53,51,1.74
김민규,NC,7.71,7,0,0,0,1,-,4 2/3,5,0,4,0,2,4,4,1.93
김영규,NC,2.86,45,4,3,0,21,0.571,44,40,3,18,3,35,17,14,1.32
김재열,NC,6.23,22,0,0,0,2,-,21 2/3,32,5,16,1,16,16,15,2.22
김진호,NC,3.36,76,4,3,6,20,0.571,72 1/3,53,5,45,9,70,30,27,1.35
김태경,NC,10.64,6,0,0,0,1,-,11,18,4,9,2,10,20,13,2.45
김태현,NC,12.0,5,0,0,0,1,-,3,5,2,3,2,2,4,4,2.67
김태훈,NC,5.21,18,0,0,0,0,-,19,17,4,16,1,9,15,11,1.74
데이비슨,NC,0.0,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.0
도태훈,NC,9.0,1,0,0,0,0,-,1,3,1,0,0,1,1,1,3.0
라일리,NC,3.45,30,17,7,0,0,0.708,172,136,18,56,3,216,76,66,1.12
로건,NC,4.53,32,7,12,0,0,0.368,173,180,18,67,10,149,98,87,1.43
류진욱,NC,3.27,62,4,3,29,0,0.571,66,50,6,28,6,57,27,24,1.18
목지훈,NC,6.05,16,3,5,0,0,0.375,58,68,6,42,5,45,42,39,1.9
배재환,NC,4.48,70,2,4,2,24,0.333,60 1/3,48,3,37,11,51,36,30,1.41
소이현,NC,5.63,7,0,0,0,0,-,8,5,0,7,1,3,5,5,1.5
손주환,NC,4.35,52,6,1,0,7,0.857,51 2/3,53,5,19,1,37,29,25,1.39
신민혁,NC,4.77,28,6,3,0,0,0.667,132,148,23,26,6,84,76,70,1.32
신영우,NC,7.53,8,1,3,0,0,0.250,14 1/3,8,2,16,3,19,13,12,1.67
이용찬,NC,10.57,12,1,2,0,1,0.333,15 1/3,23,1,12,4,14,18,18,2.28
이준혁,NC,7.3,25,1,3,0,0,0.250,37,43,8,20,6,30,33,30,1.7
임상현,NC,18.0,1,0,0,0,0,-,1,2,0,3,0,0,2,2,5.0
임정호,NC,4.82,31,1,1,0,4,0.500,18 2/3,18,3,9,4,15,13,10,1.45
임지민,NC,3.86,7,0,1,0,1,0.000,4 2/3,1,0,5,0,7,2,2,1.29
전사민,NC,4.26,74,7,7,2,13,0.500,82 1/3,86,3,33,11,62,45,39,1.45
조민석,NC,6.92,6,0,1,0,0,0.000,13,12,3,11,2,4,10,10,1.77
최성영,NC,6.23,35,2,2,0,4,0.500,47 2/3,62,6,28,3,33,33,33,1.89
최우석,NC,8.16,12,0,0,0,0,-,14 1/3,23,1,9,0,15,16,13,2.23
하준영,NC,6.75,10,1,1,0,1,0.500,5 1/3,10,0,7,0,5,4,4,3.19
