player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
51868,고명준,SSG,1루수,123,120,986,3,0,850,81,91,0.997,0,0,0,-
51867,김건우,SSG,투수,35,13,66,2,0,1,5,0,0.75,0,0,0,-
77829,김광현,SSG,투수,28,28,144,2,0,6,25,3,0.939,0,0,0,-
68043,김민,SSG,투수,70,0,63 2/3,0,0,1,8,1,1.0,0,0,0,-
50848,김성민,SSG,투수,2,0,2/3,0,0,0,0,0,-,0,0,0,-
62934,김성욱,SSG,중견수,17,11,92,0,0,22,1,0,1.0,0,0,0,-
62934,김성욱,SSG,우익수,32,16,164 2/3,0,0,33,0,0,1.0,0,0,0,-
62934,김성욱,SSG,좌익수,7,4,35,0,0,8,0,0,1.0,0,0,0,-
76802,김성현,SSG,2루수,17,10,83 1/3,1,0,23,34,7,0.983,0,0,0,-
76802,김성현,SSG,유격수,9,2,25,0,0,2,10,1,1.0,0,0,0,-
76802,김성현,SSG,3루수,37,17,182,4,0,9,30,1,0.907,0,0,0,-
67900,김수윤,SSG,3루수,7,5,35,2,0,4,8,2,0.857,0,0,0,-
66917,김찬형,SSG,3루수,32,20,175 1/3,3,0,18,39,6,0.95,0,0,0,-
66917,김찬형,SSG,2루수,6,3,22 2/3,0,0,5,4,0,1.0,0,0,0,-
66917,김찬형,SSG,유격수,8,1,18 2/3,1,0,3,6,2,0.9,0,0,0,-
69825,김창평,SSG,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
69825,김창평,SSG,우익수,2,0,4,0,0,0,0,0,-,0,0,0,-
52803,김태윤,SSG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
52803,김태윤,SSG,3루수,2,0,5,0,0,0,2,0,1.000,0,0,0,-
52803,김태윤,SSG,2루수,2,0,2,0,0,0,1,0,1.000,0,0,0,-
65343,김택형,SSG,투수,24,0,22 2/3,0,0,2,3,1,1.0,0,0,0,-
73211,노경은,SSG,투수,77,0,80,0,0,3,8,0,1.0,0,0,0,-
50868,류효승,SSG,좌익수,2,1,5,0,0,0,0,0,-,0,0,0,-
55844,맥브룸,SSG,1루수,6,5,45,0,0,43,5,5,1.0,0,0,0,-
55844,맥브룸,SSG,우익수,10,10,72,0,0,15,0,0,1.0,0,0,0,-
62869,문승원,SSG,투수,23,21,105 1/3,0,1,4,17,0,1.0,0,0,0,-
54802,박기호,SSG,투수,18,1,24,0,0,0,4,1,1.0,0,0,0,-
67893,박성한,SSG,유격수,127,124,1065 1/3,20,0,222,340,90,0.966,0,0,0,-
50812,박시후,SSG,투수,52,1,52 1/3,3,0,5,13,0,0.857,0,0,0,-
60841,박종훈,SSG,투수,5,5,19,0,0,1,8,1,1.000,0,0,0,-
54805,박지환,SSG,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
54805,박지환,SSG,3루수,18,17,138 1/3,5,0,12,26,1,0.884,0,0,0,-
54805,박지환,SSG,우익수,9,4,37,0,0,8,0,0,1.0,0,0,0,-
61895,서진용,SSG,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
52804,석정우,SSG,2루수,9,7,57,2,0,13,17,5,0.938,0,0,0,-
52804,석정우,SSG,유격수,1,0,3,0,0,0,2,0,1.000,0,0,0,-
52804,석정우,SSG,3루수,20,8,78 1/3,2,0,2,7,0,0.818,0,0,0,-
53898,송영진,SSG,투수,21,8,63 1/3,2,0,4,6,1,0.833,0,0,0,-
66662,신범수,SSG,포수,23,8,82 1/3,0,0,75,4,0,1.0,0,9,1,10.0
55860,신지환,SSG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
66864,안상현,SSG,2루수,25,22,179 2/3,2,0,33,56,11,0.978,0,0,0,-
66864,안상현,SSG,유격수,32,17,170 1/3,3,0,37,42,15,0.963,0,0,0,-
66864,안상현,SSG,3루수,44,32,298 1/3,4,0,18,44,5,0.939,0,0,0,-
54833,앤더슨,SSG,투수,30,30,171 2/3,4,0,11,11,0,0.846,0,0,0,-
53827,에레디아,SSG,좌익수,86,86,740 2/3,2,0,194,6,0,0.99,0,0,0,-
60558,오태곤,SSG,우익수,21,10,95 2/3,0,0,14,1,1,1.0,0,0,0,-
60558,오태곤,SSG,중견수,12,5,49,0,0,11,0,0,1.0,0,0,0,-
60558,오태곤,SSG,좌익수,25,14,139,2,0,29,0,0,0.935,0,0,0,-
60558,오태곤,SSG,1루수,58,10,178 1/3,0,0,154,10,23,1.0,0,0,0,-
53892,이로운,SSG,투수,75,0,77,0,1,2,13,0,1.0,0,0,0,-
55832,이율예,SSG,포수,6,1,22,2,0,13,2,0,0.882,0,0,0,-
67807,이정범,SSG,1루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
