player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
51868,고명준,SSG,130,2,2,0,100,1,0
71837,김강민,SSG,1,0,0,0,-,0,0
51867,김건우,SSG,1,0,0,0,-,0,0
62934,김성욱,SSG,56,3,1,2,33.3,1,0
76802,김성현,SSG,59,2,1,1,50.0,1,0
67900,김수윤,SSG,7,0,0,0,-,0,0
66917,김찬형,SSG,44,0,0,0,-,1,0
69825,김창평,SSG,4,0,0,0,-,0,0
52803,김태윤,SSG,8,2,1,1,50.0,0,0
65343,김택형,SSG,1,0,0,0,-,0,0
73211,노경은,SSG,1,0,0,0,-,0,0
50868,류효승,SSG,27,1,0,1,0.0,0,0
55844,맥브룸,SSG,22,0,0,0,-,0,0
67893,박성한,SSG,127,11,5,6,45.5,4,1
54805,박지환,SSG,31,1,0,1,0.0,1,0
52804,석정우,SSG,27,0,0,0,-,1,0
66662,신범수,SSG,29,0,0,0,-,0,0
66864,안상현,SSG,102,23,17,6,73.9,2,0
53827,에레디아,SSG,96,3,1,2,33.3,5,0
60558,오태곤,SSG,122,33,25,8,75.8,2,0
53892,이로운,SSG,1,0,0,0,-,0,0
54806,이승민,SSG,2,0,0,0,-,0,0
55832,이율예,SSG,8,0,0,0,-,0,0
67807,이정범,SSG,3,0,0,0,-,0,0
79456,이지영,SSG,76,3,2,1,66.7,2,0
52807,임근우,SSG,3,0,0,0,-,0,0
52809,전영준,SSG,1,0,0,0,-,0,0
54812,정준재,SSG,132,45,37,8,82.2,4,0
54815,정현승,SSG,3,0,0,0,-,0,0
51897,조병현,SSG,2,0,0,0,-,0,0
51865,조형우,SSG,102,0,0,0,-,2,0
69804,채현우,SSG,41,2,2,0,100,0,0
68856,최민준,SSG,1,0,0,0,-,0,0
68805,최상민,SSG,23,2,1,1,50.0,1,0
75847,최정,SSG,95,1,1,0,100,3,0
68868,최준우,SSG,78,2,2,0,100,1,0
50854,최지훈,SSG,140,35,28,7,80.0,6,2
54803,최현석,SSG,1,0,0,0,-,0,0
69813,하재훈,SSG,18,3,1,2,33.3,0,0
68092,한두솔,SSG,1,0,0,0,-,0,0
62895,한유섬,SSG,128,1,1,0,100,2,0
50840,현원회,SSG,21,0,0,0,-,0,0
55897,홍대인,SSG,14,2,1,1,50.0,0,0
