game_id,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
20210403HTOB0,잠실,KIA,두산,canceled,nan,,,,nan,nan
20210403LTSK0,문학,롯데,SSG,canceled,nan,,,,nan,nan
20210403LGNC0,창원,LG,NC,canceled,nan,,,,nan,nan
20210403HHKT0,수원,한화,KT,canceled,nan,,,,nan,nan
20210403SSWO0,고척,삼성,키움,finished,1665,13:59,16:43,2:44,1,6
20210404HTOB0,잠실,KIA,두산,finished,2410,13:59,16:59,3:00,1,4
20210404LTSK0,문학,롯데,SSG,finished,2300,13:59,16:57,2:58,3,5
20210404LGNC0,창원,LG,NC,finished,4376,14:01,17:36,3:35,2,1
20210404HHKT0,수원,한화,KT,finished,1956,13:58,17:04,3:06,2,3
20210404SSWO0,고척,삼성,키움,finished,1655,13:59,17:23,3:24,4,7
20210406SSOB0,잠실,삼성,두산,finished,2245,18:29,21:41,3:12,3,6
20210406HHSK0,문학,한화,SSG,finished,2268,18:29,21:24,2:55,1,2
20210406LTNC0,창원,롯데,NC,finished,2327,18:30,22:29,3:59,10,5
20210406LGKT0,수원,LG,KT,finished,1956,18:31,21:11,2:40,3,2
20210406HTWO0,고척,KIA,키움,finished,1614,18:30,22:38,4:08,5,4
20210407SSOB0,잠실,삼성,두산,finished,2142,18:30,21:48,3:18,0,1
20210407HHSK0,문학,한화,SSG,finished,2264,18:29,22:24,3:55,17,0
20210407LTNC0,창원,롯데,NC,finished,2225,18:30,22:04,3:34,6,10
20210407LGKT0,수원,LG,KT,finished,1706,18:30,22:15,3:45,3,7
20210407HTWO0,고척,KIA,키움,finished,1628,18:31,23:21,4:50,8,7
20210408SSOB0,잠실,삼성,두산,finished,2273,18:30,21:38,3:08,6,1
20210408HHSK0,문학,한화,SSG,finished,2278,18:29,21:43,3:14,4,6
20210408LTNC0,창원,롯데,NC,finished,2261,18:30,22:27,3:57,8,4
20210408LGKT0,수원,LG,KT,finished,1605,18:30,21:41,3:11,7,3
20210408HTWO0,고척,KIA,키움,finished,1660,18:30,21:43,3:13,5,3
20210409OBHH0,한밭,두산,한화,finished,1300,18:29,21:15,2:46,0,7
20210409SKLG0,잠실,SSG,LG,finished,2414,18:30,22:21,3:51,5,9
20210409WOLT0,사직,키움,롯데,finished,2364,18:31,21:39,3:08,7,2
20210409KTSS0,대구,KT,삼성,finished,2724,18:31,21:29,2:58,5,7
20210409NCHT0,광주,NC,KIA,finished,3869,18:32,22:05,3:33,10,6
20210410SKLG0,잠실,SSG,LG,finished,2431,14:01,17:32,3:31,4,3
20210410KTSS0,대구,KT,삼성,finished,3813,14:00,17:17,3:17,6,7
20210410OBHH0,한밭,두산,한화,finished,1300,16:59,20:25,3:26,18,1
20210410WOLT0,사직,키움,롯데,finished,2364,16:59,20:11,3:12,0,13
20210410NCHT0,광주,NC,KIA,finished,4114,17:01,19:52,2:51,9,2
20210411OBHH0,한밭,두산,한화,finished,1300,13:59,17:22,3:23,2,3
20210411SKLG0,잠실,SSG,LG,finished,2454,14:00,16:20,2:20,0,1
20210411WOLT0,사직,키움,롯데,finished,2364,13:59,18:43,4:44,3,2
20210411KTSS0,대구,KT,삼성,finished,4658,13:59,17:16,3:17,2,4
20210411NCHT0,광주,NC,KIA,finished,4264,14:00,17:19,3:19,7,3
20210413KTOB0,잠실,KT,두산,finished,1128,18:30,22:04,3:34,8,7
20210413NCSK0,문학,NC,SSG,finished,1632,18:30,21:47,3:17,4,2
20210413HHSS0,대구,한화,삼성,finished,1363,18:29,21:38,3:09,3,4
20210413LTHT0,광주,롯데,KIA,finished,808,18:31,21:43,3:12,8,0
20210413LGWO0,고척,LG,키움,finished,1479,18:31,21:39,3:08,2,8
20210414KTOB0,잠실,KT,두산,finished,1038,18:30,21:46,3:16,1,3
20210414NCSK0,문학,NC,SSG,finished,1571,18:30,21:19,2:49,3,0
20210414HHSS0,대구,한화,삼성,finished,1564,18:30,21:30,3:00,6,2
20210414LTHT0,광주,롯데,KIA,finished,884,18:30,22:34,4:04,2,3
20210414LGWO0,고척,LG,키움,finished,1311,18:30,21:48,3:18,13,2
20210415KTOB0,잠실,KT,두산,finished,1124,18:30,22:09,3:39,8,3
20210415NCSK0,문학,NC,SSG,finished,1539,18:30,21:20,2:50,3,9
20210415HHSS0,대구,한화,삼성,finished,1728,18:30,20:52,2:22,0,4
20210415LTHT0,광주,롯데,KIA,finished,1503,18:31,22:31,4:00,5,10
20210415LGWO0,고척,LG,키움,finished,1354,18:31,21:33,3:02,6,4
20210416OBLG0,잠실,두산,LG,finished,2442,18:31,21:55,3:24,0,1
20210416HTSK0,문학,KIA,SSG,finished,2300,18:29,22:40,4:11,11,6
20210416SSLT0,사직,삼성,롯데,finished,1927,18:30,21:47,3:17,3,9
20210416WOKT0,수원,키움,KT,finished,929,18:30,21:39,3:09,4,8
20210416HHNC0,창원,한화,NC,finished,5061,19:00,22:09,3:09,1,9
20210417HTSK0,문학,KIA,SSG,finished,2300,14:00,17:42,3:42,3,4
20210417OBLG0,잠실,두산,LG,finished,2472,17:00,20:12,3:12,3,1
20210417SSLT0,사직,삼성,롯데,finished,2364,16:59,20:30,3:31,12,0
20210417HHNC0,창원,한화,NC,finished,3495,17:01,20:31,3:30,4,14
20210417WOKT0,수원,키움,KT,finished,1658,17:00,20:39,3:39,5,8
20210418OBLG0,잠실,두산,LG,finished,2472,13:59,17:52,3:53,9,1
20210418HTSK0,문학,KIA,SSG,finished,2300,14:00,17:24,3:24,2,4
20210418SSLT0,사직,삼성,롯데,finished,0,,,,0,0
20210418HHNC0,창원,한화,NC,finished,2632,14:00,17:21,3:21,11,3
20210418WOKT0,수원,키움,KT,finished,1956,13:59,17:11,3:12,2,10
20210420WOHH0,한밭,키움,한화,finished,1003,18:29,21:17,2:48,3,7
20210420HTLG0,잠실,KIA,LG,finished,2453,18:30,22:10,3:40,6,3
20210420OBLT0,사직,두산,롯데,finished,1197,18:28,21:30,3:02,5,10
20210420SKSS0,대구,SSG,삼성,finished,2104,18:29,21:49,3:20,10,7
20210420KTNC0,창원,KT,NC,finished,1229,18:30,21:44,3:14,5,2
