Name,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
양의지,570,12.10%,10.50%,1.15,0.414,0.581,0.995,0.256,2.8,0.315,-0.2,116,45.6,0.445,165
강백호,631,16.30%,13.60%,1.2,0.448,0.519,0.968,0.173,3.1,0.385,-0.5,126,48.9,0.442,163
이정후,544,11.40%,6.80%,1.68,0.438,0.522,0.959,0.162,5.4,0.373,0.5,108,41.4,0.44,162
최정,555,15.10%,18.40%,0.82,0.41,0.562,0.972,0.284,3.9,0.277,-0.4,109,40.5,0.436,159
홍창기,651,16.70%,14.60%,1.15,0.456,0.408,0.865,0.08,5.0,0.393,0.8,118,37.6,0.417,147
한유섬,519,11.60%,18.50%,0.63,0.373,0.534,0.907,0.256,2.4,0.287,0.0,90,26.3,0.408,141
전준우,619,8.60%,11.50%,0.75,0.405,0.469,0.874,0.121,3.1,0.384,-0.4,106,30.2,0.406,140
김재환,566,14.30%,22.40%,0.64,0.382,0.501,0.883,0.227,3.1,0.316,-1.1,96,26.5,0.403,138
추신수,580,17.80%,21.20%,0.84,0.409,0.451,0.86,0.187,5.3,0.315,0.8,98,27.0,0.403,138
김태연,220,15.50%,20.00%,0.77,0.418,0.42,0.839,0.119,3.2,0.373,-0.8,36,9.4,0.398,135
알테어,565,10.10%,27.60%,0.37,0.358,0.514,0.872,0.242,5.5,0.33,1.6,92,22.9,0.395,133
구자욱,614,8.00%,16.00%,0.5,0.361,0.516,0.877,0.212,8.2,0.329,3.5,100,24.3,0.394,132
박건우,525,9.50%,13.70%,0.69,0.4,0.441,0.841,0.116,5.7,0.37,2.4,85,20.4,0.393,132
오재일,488,11.90%,21.90%,0.54,0.365,0.509,0.874,0.225,1.8,0.319,0.0,78,18.1,0.391,130
노시환,458,15.90%,23.40%,0.68,0.386,0.466,0.852,0.195,3.6,0.328,0.4,73,16.3,0.389,129
피렐라,625,9.30%,14.20%,0.65,0.358,0.493,0.851,0.209,4.5,0.293,-0.8,99,22.2,0.389,129
페르난데스,617,10.50%,5.70%,1.86,0.391,0.443,0.833,0.128,1.4,0.313,-1.1,97,21.7,0.388,129
이명기,232,15.90%,11.60%,1.37,0.41,0.387,0.798,0.094,3.6,0.333,-0.2,36,7.7,0.386,127
안치홍,490,10.60%,11.80%,0.9,0.379,0.458,0.838,0.152,2.8,0.329,-2.2,76,16.1,0.386,127
박석민,205,13.20%,21.00%,0.63,0.361,0.48,0.841,0.222,1.3,0.283,-0.1,32,6.6,0.385,126
유한준,341,12.90%,10.60%,1.22,0.405,0.413,0.817,0.108,1.7,0.329,0.1,53,10.6,0.383,125
나성범,623,6.10%,24.90%,0.25,0.335,0.509,0.844,0.228,2.9,0.329,-0.4,95,18.6,0.382,124
정은원,608,17.30%,17.30%,1.0,0.407,0.384,0.791,0.101,5.5,0.346,-1.3,93,18.0,0.381,124
최재훈,467,15.40%,14.60%,1.06,0.405,0.387,0.791,0.112,2.3,0.317,-0.5,71,13.7,0.381,124
강민호,465,9.70%,11.60%,0.83,0.359,0.474,0.833,0.186,1.1,0.291,-0.2,70,12.9,0.379,123
정훈,561,12.10%,15.90%,0.76,0.38,0.438,0.819,0.146,4.1,0.332,1.2,84,15.2,0.378,122
노진혁,384,10.90%,23.40%,0.47,0.374,0.427,0.801,0.139,1.7,0.37,-0.4,57,9.7,0.376,121
김현수,595,12.90%,7.10%,1.83,0.376,0.435,0.811,0.15,2.4,0.279,0.2,88,15.0,0.376,120
한동희,496,12.30%,19.20%,0.64,0.364,0.443,0.807,0.177,1.2,0.304,-0.6,73,12.3,0.375,120
양석환,546,7.70%,24.90%,0.31,0.337,0.49,0.827,0.217,1.8,0.317,-1.1,80,13.2,0.374,120
채은성,448,8.50%,17.90%,0.48,0.359,0.452,0.812,0.176,3.1,0.305,-0.2,66,10.7,0.374,119
손아섭,610,10.00%,11.00%,0.91,0.39,0.397,0.787,0.077,4.5,0.359,-0.5,89,14.0,0.373,119
박동원,481,11.00%,23.70%,0.46,0.342,0.458,0.8,0.208,2.6,0.289,0.3,69,9.6,0.369,116
송우현,282,9.90%,17.40%,0.57,0.37,0.416,0.786,0.12,3.4,0.357,-0.3,40,5.4,0.368,116
이용규,547,13.00%,8.40%,1.54,0.392,0.373,0.764,0.076,7.3,0.323,2.3,77,9.4,0.366,114
김선빈,564,9.90%,6.90%,1.44,0.375,0.401,0.776,0.094,1.0,0.323,-0.2,79,9.4,0.365,114
박성한,471,10.40%,15.50%,0.67,0.377,0.388,0.765,0.086,4.1,0.358,0.0,65,7.5,0.364,113
김성현,274,10.60%,10.60%,1.0,0.356,0.426,0.782,0.143,3.3,0.296,0.5,38,4.2,0.363,113
최주환,470,11.30%,17.90%,0.63,0.353,0.429,0.782,0.172,1.9,0.281,-0.2,65,7.0,0.363,112
이성곤,208,13.90%,25.50%,0.55,0.377,0.374,0.75,0.109,3.5,0.372,-1.4,28,2.8,0.361,111
이대호,465,7.30%,10.80%,0.68,0.342,0.448,0.79,0.162,0.4,0.283,-0.2,63,6.4,0.361,111
박해민,546,12.80%,15.00%,0.85,0.382,0.374,0.756,0.085,5.4,0.337,-0.2,74,7.2,0.361,111
김인태,418,14.80%,16.00%,0.93,0.373,0.378,0.751,0.119,2.2,0.297,-1.0,57,5.3,0.36,110
로맥,421,14.00%,19.70%,0.71,0.34,0.425,0.765,0.2,2.2,0.235,0.1,56,4.2,0.356,108
