Name,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
김대유,50.2,9.95,2.66,3.73,0.36,26.80%,7.20%,19.60%,0.173,0.93,0.236,80.80%,2.13,3.01,-0.88
고영표,166.2,7.02,1.46,4.81,0.49,19.60%,4.10%,15.50%,0.236,1.04,0.285,73.50%,2.92,3.16,-0.25
박종훈,54.1,6.79,2.82,2.41,0.33,18.50%,7.70%,10.80%,0.202,1.05,0.245,73.50%,2.82,3.58,-0.76
정우영,65.0,5.68,3.6,1.58,0.0,15.60%,9.90%,5.70%,0.188,1.06,0.229,79.20%,2.22,3.59,-1.38
폰트,145.2,9.7,2.78,3.49,0.74,26.00%,7.50%,18.50%,0.206,1.09,0.266,66.80%,3.46,3.25,0.21
킹험,144.0,8.19,2.56,3.2,0.69,22.20%,6.90%,15.20%,0.215,1.1,0.263,71.10%,3.19,3.42,-0.23
이정용,69.2,9.56,2.97,3.22,0.52,26.10%,8.10%,18.00%,0.212,1.12,0.28,73.60%,2.97,2.94,0.03
미란다,173.2,11.66,3.26,3.57,0.57,31.70%,8.90%,22.80%,0.209,1.14,0.303,81.70%,2.33,2.62,-0.29
수아레즈,115.1,9.83,3.2,3.07,0.31,26.60%,8.70%,18.00%,0.213,1.14,0.292,79.00%,2.18,2.72,-0.54
오승환,62.1,8.23,2.31,3.56,0.43,22.50%,6.30%,16.20%,0.238,1.16,0.303,81.70%,2.02,2.95,-0.93
이민호,115.0,7.83,3.52,2.22,1.02,21.00%,9.40%,11.50%,0.213,1.17,0.249,69.30%,4.3,4.55,-0.25
정해영,65.1,6.75,3.86,1.75,0.69,18.00%,10.30%,7.70%,0.204,1.18,0.237,85.10%,2.2,4.25,-2.04
김재윤,68.2,8.39,3.15,2.67,0.66,22.90%,8.60%,14.30%,0.223,1.18,0.278,82.40%,2.49,3.42,-0.92
박세웅,163.0,6.9,2.93,2.36,1.1,18.20%,7.70%,10.50%,0.227,1.19,0.254,73.30%,3.98,4.5,-0.53
문승원,50.1,5.72,3.22,1.78,0.18,15.10%,8.50%,6.60%,0.219,1.19,0.258,69.30%,2.86,3.46,-0.6
요키시,181.1,6.5,2.28,2.85,0.6,17.70%,6.20%,11.50%,0.248,1.2,0.291,73.90%,2.88,3.53,-0.65
안우진,107.2,9.2,3.43,2.68,1.09,24.40%,9.10%,15.30%,0.219,1.2,0.269,75.60%,3.26,4.15,-0.89
멩덴,120.0,7.8,2.63,2.97,0.9,20.70%,7.00%,13.70%,0.237,1.2,0.283,73.20%,3.6,3.93,-0.33
루친스키,178.2,8.92,2.77,3.22,0.6,23.50%,7.30%,16.20%,0.232,1.2,0.296,71.60%,3.17,3.27,-0.09
