player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
63123,강승호,두산,113,10,8,2,80.0,3,0
79290,국해성,두산,4,0,0,0,-,0,0
68204,권민석,두산,33,0,0,0,-,0,0
50203,권휘,두산,2,0,0,0,-,0,0
77263,김강률,두산,8,0,0,0,-,0,0
67246,김명신,두산,4,0,0,0,-,0,0
68200,김민규,두산,2,0,0,0,-,0,0
65269,김민혁,두산,6,0,0,0,-,0,0
63257,김인태,두산,133,2,0,2,0.0,4,1
74206,김재호,두산,89,2,1,1,50.0,2,0
78224,김재환,두산,137,5,2,3,40.0,4,1
69104,남호,두산,1,0,0,0,-,0,0
67259,문원,두산,1,0,0,0,-,0,0
79215,박건우,두산,126,13,13,0,100.0,6,0
79215,박건우,두산,126,13,13,0,100,6,0
64468,박계범,두산,118,7,4,3,57.1,4,0
51298,박성재,두산,1,0,0,0,-,0,0
62244,박세혁,두산,96,6,4,2,66.7,1,0
63292,박소준,두산,1,0,0,0,-,0,0
50204,박지훈,두산,34,4,3,1,75.0,1,0
67266,박치국,두산,1,0,0,0,-,0,0
63559,백동훈,두산,5,0,0,0,-,0,0
66203,서예일,두산,5,0,0,0,-,0,0
64086,신성현,두산,11,0,0,0,-,1,0
50202,안권수,두산,87,3,3,0,100,0,0
51203,안재석,두산,96,1,1,0,100,1,2
64153,양석환,두산,133,5,2,3,40.0,6,0
50208,오명진,두산,2,0,0,0,-,0,0
77248,오재원,두산,45,2,2,0,100,0,2
62242,윤명준,두산,4,0,0,0,-,0,0
69205,이교훈,두산,2,0,0,0,-,0,0
64805,이승진,두산,1,0,0,0,-,0,0
66291,이영하,두산,1,0,0,0,-,0,0
63202,장승현,두산,92,0,0,0,-,4,0
68205,전민재,두산,9,0,0,0,-,0,0
79231,정수빈,두산,104,19,12,7,63.2,1,3
66209,조수행,두산,115,25,21,4,84.0,2,1
64213,최용제,두산,79,0,0,0,-,0,0
69209,페르난데스,두산,141,2,0,2,0.0,4,0
79240,허경민,두산,136,12,5,7,41.7,2,0
61643,홍건희,두산,1,0,0,0,-,0,0
66207,황경태,두산,1,0,0,0,-,0,0
