선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강상원,한화,0.108,35,49,37,7,4,0,0,0,4,2,2,0
강재민,한화,-,2,0,0,0,0,0,0,0,0,0,0,0
김건,한화,0.083,5,12,12,0,1,0,0,0,1,0,0,0
김기탁,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
김민하,한화,0.209,46,142,115,14,24,4,1,1,33,17,0,2
김종수,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
김지수,한화,0.083,11,25,24,0,2,1,0,0,3,0,0,0
김태균,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
김태연,한화,0.301,53,220,176,29,53,12,0,3,74,34,0,5
노수광,한화,0.231,52,180,160,21,37,7,0,3,53,14,2,0
노시환,한화,0.271,107,458,380,56,103,18,1,18,177,84,0,4
노태형,한화,0.116,18,49,43,6,5,1,0,0,6,1,0,0
박상언,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0
박정현,한화,0.196,33,120,107,10,21,4,0,0,25,9,3,1
백용환,한화,0.14,39,102,86,10,12,1,0,4,25,4,2,0
송윤준,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
송호정,한화,0.000,10,11,10,1,0,0,0,0,0,0,0,0
신정락,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
유로결,한화,0.143,34,112,98,11,14,5,0,1,22,7,2,2
윤대경,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
윤호솔,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
이도윤,한화,0.175,56,68,63,5,11,0,0,0,11,2,1,0
이성곤,한화,0.264,62,208,174,17,46,12,2,1,65,24,1,1
이성열,한화,0.21,46,140,119,15,25,8,0,2,39,20,0,2
이시원,한화,0.189,33,62,53,8,10,1,0,0,11,2,4,0
이원석,한화,0.175,43,130,114,12,20,1,1,1,26,9,4,2
이해창,한화,0.167,20,60,54,4,9,3,0,0,12,4,3,1
임종찬,한화,0.153,42,146,131,9,20,5,0,1,28,8,2,0
임준섭,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
장규현,한화,0.25,7,12,12,0,3,1,0,0,4,1,0,0
장민재,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
장운호,한화,0.235,103,338,285,36,67,10,0,0,77,28,7,3
장지승,한화,0.18,24,72,61,7,11,1,0,1,15,5,2,1
정민규,한화,0.125,6,17,16,1,2,1,0,0,3,0,0,0
정우람,한화,-,4,0,0,0,0,0,0,0,0,0,0,0
정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,4,3
정진호,한화,0.228,47,167,145,9,33,9,0,0,42,15,4,2
조한민,한화,0.197,52,145,127,15,25,6,2,5,50,18,1,2
최인호,한화,0.206,49,164,136,17,28,6,0,4,46,23,0,2
최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3
페레즈,한화,0.268,59,252,224,26,60,15,1,5,92,33,0,7
하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,5,3
허관회,한화,0.19,28,79,63,4,12,0,0,0,12,2,0,2
힐리,한화,0.257,67,268,249,27,64,11,1,7,98,37,0,1
