player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
50705,강재민,한화,2.13,58,2,1,5,13,0.667,63 1/3,51,2,26,5,55,16,15,1.22
51715,김기중,한화,4.7,15,2,4,0,0,0.333,53 2/3,63,4,36,4,36,32,28,1.84
67711,김기탁,한화,5.84,19,0,0,0,4,-,12 1/3,14,0,7,1,12,10,8,1.7
69745,김도현,한화,7.62,14,0,1,0,0,0.000,26,32,2,22,4,13,22,22,2.08
65764,김민우,한화,4.0,29,14,10,0,0,0.583,155 1/3,131,15,76,7,125,71,69,1.33
65769,김범수,한화,5.22,56,4,9,1,9,0.308,70 2/3,68,2,42,2,70,44,41,1.56
63765,김종수,한화,4.82,49,1,1,0,6,0.500,46 2/3,34,7,32,3,38,29,25,1.41
67737,김진영,한화,3.93,20,0,1,0,1,0.000,18 1/3,16,2,14,0,8,8,8,1.64
50720,남지민,한화,7.36,3,0,1,0,0,0.000,7 1/3,9,1,7,3,3,6,6,2.18
64554,문동욱,한화,0.0,1,0,0,0,0,-,1 1/3,1,0,1,0,2,0,0,1.5
51761,배동현,한화,4.5,20,1,3,0,0,0.250,38,34,3,25,4,26,21,19,1.55
64759,서균,한화,10.8,3,0,0,0,0,-,1 2/3,2,0,0,2,0,2,2,1.2
61156,송윤준,한화,3.55,17,0,0,0,2,-,12 2/3,12,1,6,2,8,5,5,1.42
60140,신정락,한화,8.55,20,0,2,0,2,0.000,20,25,3,15,3,14,24,19,2.0
50758,신지후,한화,0.0,2,0,0,0,0,-,1/3,0,0,1,0,0,2,0,3.0
69703,오동욱,한화,5.4,34,0,1,0,2,0.000,25,21,3,16,5,13,17,15,1.48
63464,윤대경,한화,3.94,43,2,5,0,7,0.286,77 2/3,73,8,34,6,54,35,34,1.38
69213,윤산흠,한화,6.0,5,0,0,0,0,-,3,7,0,2,2,2,2,2,3.0
63961,윤호솔,한화,4.62,55,3,0,0,8,1.000,48 2/3,41,7,30,3,42,29,25,1.46
63749,이충호,한화,7.71,17,1,0,0,0,1.000,16 1/3,20,1,13,3,11,17,14,2.02
79764,장민재,한화,2.76,12,0,2,0,0,0.000,29 1/3,34,4,8,0,13,17,9,1.43
77318,장시환,한화,7.04,19,0,11,0,1,0.000,69,87,4,48,6,47,62,54,1.96
50706,장웅정,한화,9.82,4,0,0,0,0,-,7 1/3,15,4,2,0,4,8,8,2.32
74857,정우람,한화,5.64,50,1,4,15,1,0.200,44 2/3,47,5,20,5,32,29,28,1.5
79440,정인욱,한화,4.82,8,0,0,0,0,-,9 1/3,6,2,10,0,6,6,5,1.71
61208,정진호,한화,0.0,3,0,0,0,0,-,1 2/3,1,0,1,0,0,0,0,1.2
65707,주현상,한화,3.58,43,2,2,0,4,0.500,50 1/3,46,6,21,1,33,21,20,1.33
51722,카펜터,한화,3.97,31,5,12,0,0,0.294,170,150,16,72,19,179,90,75,1.31
50815,킹험,한화,3.19,25,10,8,0,0,0.556,144,117,11,41,5,131,58,51,1.1
64760,황영국,한화,5.52,18,0,2,0,2,0.000,14 2/3,16,0,10,1,15,10,9,1.77
