player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
63628,고영창,KIA,5.79,24,0,2,0,6,0.000,23 1/3,30,0,10,2,6,19,15,1.71
68659,김유신,KIA,7.62,15,2,6,0,0,0.250,54 1/3,63,11,35,2,29,47,46,1.8
64580,김재열,KIA,3.86,24,1,0,0,0,1.000,32 2/3,28,4,18,4,18,18,14,1.41
69516,김현수,KIA,7.88,17,1,4,0,0,0.200,45 2/3,57,8,36,3,27,43,40,2.04
66630,김현준,KIA,5.49,19,0,1,0,2,0.000,19 2/3,15,4,12,0,19,13,12,1.37
66660,남하준,KIA,14.63,5,0,1,0,1,0.000,8,10,2,10,0,5,13,13,2.5
51636,다카하시,KIA,4.91,7,1,3,0,0,0.250,36 2/3,46,4,12,4,46,22,20,1.58
51619,멩덴,KIA,3.6,21,8,3,0,0,0.727,120,109,12,35,8,104,53,48,1.2
51645,박건우,KIA,0.0,3,0,0,0,0,-,3,2,0,1,1,3,0,0,1.0
63638,박준표,KIA,5.91,32,2,4,0,4,0.333,32,42,3,17,9,18,24,21,1.84
67646,박진태,KIA,5.95,59,3,3,0,9,0.500,65,68,6,36,13,45,44,43,1.6
50636,브룩스,KIA,3.35,13,3,5,0,0,0.375,78,93,4,16,1,55,34,29,1.4
66663,서덕원,KIA,7.44,24,1,0,0,1,1.000,32 2/3,36,7,14,0,24,28,27,1.53
68619,윤중현,KIA,3.92,30,5,6,0,2,0.455,82 2/3,91,7,31,14,33,44,36,1.48
65616,이민우,KIA,8.05,16,1,6,0,0,0.143,57,78,8,31,5,28,53,51,1.91
51668,이승재,KIA,7.5,25,2,1,0,5,0.667,24,26,5,18,3,17,20,20,1.83
51648,이의리,KIA,3.61,19,4,5,0,0,0.444,94 2/3,69,6,56,2,93,42,38,1.32
65665,이준영,KIA,5.55,50,3,2,1,9,0.600,35 2/3,30,3,19,0,26,25,22,1.37
62754,임기영,KIA,4.88,28,8,8,0,0,0.5,153,155,15,45,11,129,85,83,1.31
62754,임기영,KIA,4.88,28,8,8,0,0,0.500,153,155,15,45,11,129,85,83,1.31
51665,장민기,KIA,3.47,21,2,1,0,2,0.667,23 1/3,13,1,29,4,22,11,9,1.8
69645,장지수,KIA,3.14,9,0,0,0,0,-,14 1/3,9,1,13,3,5,6,5,1.53
63950,장현식,KIA,3.29,69,1,5,1,34,0.167,76 2/3,67,7,42,3,80,28,28,1.42
66609,전상현,KIA,3.46,15,1,0,0,7,1.000,13,15,1,6,0,8,6,5,1.62
50662,정해영,KIA,2.2,64,5,4,34,0,0.556,65 1/3,49,5,28,4,49,18,16,1.18
64615,차명진,KIA,7.59,4,0,1,0,0,0.000,10 2/3,12,1,13,1,6,9,9,2.34
50650,최용준,KIA,14.21,3,0,1,0,0,0.000,6 1/3,11,3,7,1,6,10,10,2.84
65464,최정용,KIA,0.0,1,0,0,0,0,-,1/3,1,0,0,0,0,0,0,3.0
61666,한승혁,KIA,4.56,8,0,3,0,0,0.000,23 2/3,25,0,10,2,17,15,12,1.48
78247,홍상삼,KIA,4.75,49,4,1,0,12,0.800,36,33,6,19,3,33,19,19,1.44
62908,황윤호,KIA,0.0,1,0,0,0,0,-,2/3,2,0,0,0,0,1,0,3.0
