player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
64906,강민국,KT,3루수,1,0,3,0,0,0,3,0,1.000,0,0,0,-
64906,강민국,KT,2루수,16,13,105,1,0,24,42,13,0.985,0,0,0,-
68050,강백호,KT,우익수,5,4,30 2/3,0,0,5,0,0,1.0,0,0,0,-
68050,강백호,KT,1루수,133,128,1068,19,0,1024,105,98,0.983,0,0,0,-
68050,강백호,KT,포수,1,0,1,0,0,2,0,0,1.000,1,0,0,-
68069,고명성,KT,유격수,4,0,4 2/3,0,0,0,3,0,1.000,0,0,0,-
68069,고명성,KT,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
68069,고명성,KT,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
64001,고영표,KT,투수,26,25,166 2/3,0,3,10,28,1,1.0,0,0,0,-
51003,권동진,KT,유격수,44,9,140,5,0,25,45,4,0.933,0,0,0,-
51003,권동진,KT,2루수,39,5,96 1/3,3,0,21,29,5,0.943,0,0,0,-
51003,권동진,KT,3루수,2,0,5,0,0,1,2,1,1.000,0,0,0,-
51005,김건형,KT,우익수,11,11,85,0,0,9,1,0,1.0,0,0,0,-
65048,김민수,KT,투수,56,1,58,2,1,6,7,0,0.867,0,0,0,-
64004,김민혁,KT,중견수,2,0,4,0,0,1,0,0,1.000,0,0,0,-
64004,김민혁,KT,우익수,5,1,14 2/3,1,0,5,0,0,0.833,0,0,0,-
64004,김민혁,KT,좌익수,38,30,225 2/3,0,0,48,0,0,1.0,0,0,0,-
64014,김병희,KT,2루수,12,7,54 1/3,2,0,6,17,2,0.92,0,0,0,-
64014,김병희,KT,1루수,2,0,3,0,0,2,0,1,1.000,0,0,0,-
64014,김병희,KT,3루수,19,10,94 2/3,3,0,8,22,3,0.909,0,0,0,-
65062,김재윤,KT,투수,65,0,67,0,0,1,9,1,1.0,0,0,0,-
62558,김준태,KT,포수,52,32,302,2,0,267,21,3,0.993,2,33,11,25.0
65040,김태훈,KT,우익수,12,11,91,0,0,17,0,0,1.0,0,0,0,-
65040,김태훈,KT,1루수,4,0,5,0,0,3,0,1,1.000,0,0,0,-
65040,김태훈,KT,좌익수,5,4,22,0,0,4,1,0,1.0,0,0,0,-
50040,데스파이네,KT,투수,33,33,188 2/3,1,0,9,36,0,0.978,0,0,0,-
64007,문상철,KT,좌익수,3,0,3 1/3,0,0,1,0,0,1.000,0,0,0,-
64007,문상철,KT,1루수,18,7,66 2/3,0,0,74,3,9,1.0,0,0,0,-
64007,문상철,KT,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
73113,박경수,KT,2루수,97,60,522,3,0,121,181,43,0.99,0,0,0,-
62802,박승욱,KT,1루수,2,0,2,0,0,0,0,0,-,0,0,0,-
62802,박승욱,KT,2루수,4,2,12,2,0,4,4,1,0.800,0,0,0,-
60559,박시영,KT,투수,48,0,45,1,2,2,4,0,0.857,0,0,0,-
64166,배정대,KT,중견수,144,139,1189 1/3,3,0,308,7,1,0.991,0,0,0,-
65516,배제성,KT,투수,26,26,141 2/3,3,1,8,16,1,0.889,0,0,0,-
50030,소형준,KT,투수,24,24,119,1,0,14,17,2,0.969,0,0,0,-
64012,송민섭,KT,중견수,17,0,34 2/3,0,0,7,0,0,1.0,0,0,0,-
64012,송민섭,KT,좌익수,58,0,102 1/3,0,0,22,1,0,1.0,0,0,0,-
64012,송민섭,KT,우익수,48,3,109 1/3,0,0,32,2,1,1.0,0,0,0,-
62556,신본기,KT,2루수,52,30,233 2/3,3,0,52,64,16,0.975,0,0,0,-
62556,신본기,KT,3루수,47,21,195,1,0,14,45,6,0.983,0,0,0,-
62556,신본기,KT,유격수,14,6,53 1/3,0,0,5,13,4,1.0,0,0,0,-
64006,심우준,KT,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
64006,심우준,KT,유격수,138,129,1065,19,0,210,327,78,0.966,0,0,0,-
64017,심재민,KT,투수,28,2,46 2/3,0,0,2,4,0,1.0,0,0,0,-
73738,안영명,KT,투수,35,0,35 1/3,0,0,1,7,0,1.0,0,0,0,-
51004,알몬테,KT,좌익수,35,33,241,2,0,52,1,0,0.964,0,0,0,-
65056,엄상백,KT,투수,10,9,52 2/3,1,0,3,2,0,0.833,0,0,0,-
64504,오윤석,KT,2루수,50,28,258,1,0,44,102,21,0.993,0,0,0,-
64504,오윤석,KT,투수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
64504,오윤석,KT,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
64504,오윤석,KT,3루수,5,0,10,0,0,0,3,1,1.0,0,0,0,-
64504,오윤석,KT,1루수,41,17,171 2/3,1,0,150,15,18,0.994,0,0,0,-
76757,유원상,KT,투수,11,0,13 1/3,0,0,0,2,0,1.0,0,0,0,-
74339,유한준,KT,우익수,15,11,85,0,0,11,0,0,1.0,0,0,0,-
74339,유한준,KT,좌익수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
67008,이대은,KT,투수,31,0,31,0,0,4,2,0,1.0,0,0,0,-
75342,이보근,KT,투수,16,0,11,0,0,0,2,0,1.0,0,0,0,-
69054,이상동,KT,투수,6,0,6 1/3,0,0,0,1,0,1.0,0,0,0,-
67048,이정현,KT,투수,2,1,8 2/3,0,0,0,3,0,1.000,0,0,0,-
65057,이창재,KT,투수,32,0,26 2/3,0,0,0,1,0,1.0,0,0,0,-
63634,이홍구,KT,포수,35,13,143 1/3,0,0,122,7,0,1.0,2,7,4,36.4
78548,장성우,KT,포수,110,97,813 1/3,7,0,698,43,8,0.991,3,75,19,20.2
75340,전유수,KT,투수,11,0,10 2/3,0,0,1,0,0,1.0,0,0,0,-
64868,조용호,KT,좌익수,104,75,619 1/3,0,0,119,5,1,1.0,0,0,0,-
64868,조용호,KT,우익수,45,38,289 1/3,0,0,56,2,1,1.0,0,0,0,-
64868,조용호,KT,중견수,2,2,10,0,0,2,0,0,1.000,0,0,0,-
64047,조현우,KT,투수,49,0,31,2,0,4,11,0,0.882,0,0,0,-
65060,주권,KT,투수,62,0,49,1,0,5,12,1,0.944,0,0,0,-
51060,지명성,KT,투수,3,0,4,0,0,0,1,0,1.000,0,0,0,-
50054,천성호,KT,3루수,8,1,21,2,0,0,5,1,0.714,0,0,0,-
50054,천성호,KT,1루수,12,2,37 2/3,1,0,31,0,2,0.969,0,0,0,-
50054,천성호,KT,2루수,9,4,31 2/3,0,0,4,11,2,1.0,0,0,0,-
