선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강민국,KT,18,0,0,0,-,1,0
강백호,KT,142,15,10,5,66.7,10,2
고명성,KT,7,0,0,0,-,0,0
고영표,KT,1,0,0,0,-,0,0
권동진,KT,86,6,3,3,50.0,5,0
김건형,KT,11,1,1,0,100,0,0
김민수,KT,6,0,0,0,-,0,0
김민혁,KT,75,9,6,3,66.7,3,0
김병희,KT,34,3,3,0,100,0,0
김재윤,KT,8,0,0,0,-,0,0
김준태,KT,58,0,0,0,-,0,0
김태훈,KT,44,1,1,0,100,0,0
문상철,KT,53,2,2,0,100,0,1
박경수,KT,118,1,0,1,0.0,3,0
박승욱,KT,8,1,1,0,100,0,0
박시영,KT,3,0,0,0,-,0,0
배정대,KT,144,26,19,7,73.1,2,0
송민섭,KT,122,16,15,1,93.8,0,0
신본기,KT,96,3,1,2,33.3,2,1
심우준,KT,139,22,16,6,72.7,3,1
심재민,KT,3,0,0,0,-,0,0
안영명,KT,1,0,0,0,-,0,0
알몬테,KT,60,1,1,0,100,2,0
오윤석,KT,97,4,4,0,100,1,0
유원상,KT,1,0,0,0,-,0,0
유한준,KT,104,1,1,0,100,1,0
이대은,KT,1,0,0,0,-,0,0
이창재,KT,1,0,0,0,-,0,0
이홍구,KT,37,0,0,0,-,0,0
장성우,KT,127,3,1,2,33.3,3,0
조용호,KT,138,21,12,9,57.1,1,0
조현우,KT,3,0,0,0,-,0,0
천성호,KT,41,1,1,0,100,0,0
하준호,KT,2,0,0,0,-,0,0
허도환,KT,62,0,0,0,-,3,0
호잉,KT,68,7,5,2,71.4,1,0
홍현빈,KT,43,1,0,1,0.0,3,0
황재균,KT,117,15,11,4,73.3,4,0
