선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김동욱,키움,9.0,3,0,0,0,0,-,3,7,2,1,0,2,3,3,2.67
김동혁,키움,5.05,40,0,5,1,0,0.000,82,89,5,34,14,30,51,46,1.5
김선기,키움,6.52,21,3,2,0,0,0.600,48 1/3,53,5,22,7,25,38,35,1.55
김성민,키움,3.28,47,2,3,1,11,0.400,46 2/3,43,4,35,6,36,21,17,1.67
김성진,키움,5.18,46,1,3,0,2,0.250,41 2/3,40,4,23,0,31,30,24,1.51
김인범,키움,0.0,3,0,0,0,0,-,5 1/3,3,0,1,0,5,0,0,0.75
김재웅,키움,3.54,51,0,1,1,11,0.000,53 1/3,49,5,33,1,47,24,21,1.54
김정인,키움,7.11,11,1,2,0,0,0.333,31 2/3,34,6,18,2,21,26,25,1.64
김준형,키움,3.14,14,0,0,0,0,-,14 1/3,15,2,7,3,8,6,5,1.53
김태훈,키움,3.22,66,4,2,11,15,0.667,64 1/3,60,1,33,1,52,26,23,1.45
문성현,키움,5.4,4,0,0,0,0,-,3 1/3,3,0,6,0,3,2,2,2.7
박관진,키움,81.0,2,0,0,0,0,-,2/3,5,0,3,1,0,9,6,12.0
박승주,키움,4.15,3,0,0,0,0,-,4 1/3,3,0,3,0,1,2,2,1.38
박주성,키움,4.91,13,0,1,0,0,0.000,18 1/3,24,1,9,2,12,11,10,1.8
브리검,키움,2.95,10,7,3,0,0,0.700,61,49,6,26,4,49,25,20,1.23
스미스,키움,6.3,2,1,0,0,0,1.000,10,9,1,5,0,5,7,7,1.4
안우진,키움,3.26,21,8,8,0,0,0.500,107 2/3,88,13,41,7,110,47,39,1.2
양현,키움,4.69,45,1,2,0,5,0.333,48,59,3,26,1,22,31,25,1.77
오주원,키움,9.31,22,1,1,1,0,0.500,19 1/3,35,3,4,0,11,20,20,2.02
요키시,키움,2.93,31,16,9,0,0,0.64,181 1/3,171,12,46,4,131,71,59,1.2
요키시,키움,2.93,31,16,9,0,0,0.640,181 1/3,171,12,46,4,131,71,59,1.2
윤정현,키움,1.46,10,0,0,0,1,-,12 1/3,11,0,5,1,7,2,2,1.3
이승호,키움,5.51,38,1,3,0,5,0.250,47 1/3,55,4,31,1,37,39,29,1.82
이종민,키움,23.14,2,0,0,0,0,-,2 1/3,4,1,7,0,3,6,6,4.71
임규빈,키움,10.38,5,0,0,0,0,-,8 2/3,13,3,4,0,6,10,10,1.96
장재영,키움,9.17,19,0,1,0,0,0.000,17 2/3,15,0,24,3,14,18,18,2.21
정찬헌,키움,4.01,23,9,5,0,0,0.643,114 1/3,133,6,27,6,59,55,51,1.4
조상우,키움,3.48,44,6,5,15,5,0.545,44,30,4,19,2,47,18,17,1.11
조영건,키움,0.0,1,0,0,0,0,-,1,1,0,2,0,3,0,0,3.0
최원태,키움,4.58,28,9,11,0,0,0.450,143 1/3,163,11,53,10,93,89,73,1.51
한현희,키움,3.89,18,6,2,0,1,0.750,85 2/3,86,4,30,6,61,42,37,1.35
