선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고우석,LG,5,0,0,0,-,0,0
구본혁,LG,123,0,0,0,-,0,0
김민성,LG,121,6,3,3,50.0,3,1
김용의,LG,102,6,6,0,100,2,1
김재성,LG,58,1,1,0,100,0,0
김주성,LG,3,0,0,0,-,0,0
김지용,LG,1,0,0,0,-,0,0
김진수,LG,1,0,0,0,-,0,0
김현수,LG,140,3,3,0,100,5,1
김호은,LG,7,0,0,0,-,0,0
라모스,LG,51,0,0,0,-,2,0
류원석,LG,1,0,0,0,-,0,0
문보경,LG,107,4,3,1,75.0,1,0
문성주,LG,31,2,1,1,50.0,1,1
보어,LG,32,0,0,0,-,0,0
서건창,LG,144,16,12,4,75.0,3,0
손호영,LG,8,0,0,0,-,0,0
신민재,LG,32,3,2,1,66.7,1,1
안익훈,LG,48,0,0,0,-,0,0
오지환,LG,134,18,12,6,66.7,6,2
유강남,LG,130,2,2,0,100,2,2
이상규,LG,3,0,0,0,-,0,0
이상영,LG,3,0,0,0,-,0,0
이상호,LG,45,3,2,1,66.7,0,0
이성우,LG,36,0,0,0,-,1,0
이영빈,LG,72,9,6,3,66.7,2,0
이우찬,LG,1,0,0,0,-,0,0
이재원,LG,62,6,5,1,83.3,5,0
이정용,LG,1,0,0,0,-,0,0
이주형,LG,14,3,2,1,66.7,0,0
이찬혁,LG,1,0,0,0,-,0,0
이천웅,LG,68,5,3,2,60.0,0,0
이형종,LG,90,4,3,1,75.0,2,0
장준원,LG,5,0,0,0,-,0,0
정주현,LG,73,6,3,3,50.0,1,0
진해수,LG,2,0,0,0,-,0,0
채원후,LG,4,0,0,0,-,0,0
채은성,LG,110,6,4,2,66.7,2,3
최민창,LG,3,0,0,0,-,0,0
최성훈,LG,5,0,0,0,-,0,0
한석현,LG,16,2,2,0,100,1,0
홍창기,LG,144,31,23,8,74.2,5,3
