선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강동호,롯데,투수,1,0,1 1/3,0,0,1,0,0,1.000,0,0,0,-
강로한,롯데,중견수,14,6,68 2/3,1,0,27,0,0,0.964,0,0,0,-
강로한,롯데,좌익수,2,1,11,0,0,7,0,0,1.000,0,0,0,-
강윤구,롯데,투수,22,1,16,1,0,0,2,1,0.667,0,0,0,-
강태율,롯데,포수,18,10,79 1/3,4,0,55,8,1,0.940,0,8,3,27.3
강태율,롯데,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
구승민,롯데,투수,68,0,62 1/3,0,0,5,7,0,1.0,0,0,0,-
김건국,롯데,투수,13,0,22,0,0,2,2,0,1.000,0,0,0,-
김대우,롯데,투수,39,0,35 1/3,0,0,1,4,0,1.0,0,0,0,-
김도규,롯데,투수,43,0,42,1,0,1,8,1,0.9,0,0,0,-
김동우,롯데,투수,5,0,5,0,0,0,1,0,1.000,0,0,0,-
김민수,롯데,2루수,35,23,205 1/3,3,0,51,60,18,0.974,0,0,0,-
김민수,롯데,유격수,6,2,23,0,0,5,4,0,1.000,0,0,0,-
김민수,롯데,1루수,22,9,96 1/3,0,0,94,10,5,1.000,0,0,0,-
김민수,롯데,3루수,22,14,145 1/3,0,0,9,30,3,1.000,0,0,0,-
김민수,롯데,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
김원중,롯데,투수,61,0,62 2/3,1,0,2,5,0,0.875,0,0,0,-
김유영,롯데,투수,26,0,18 2/3,0,0,0,2,0,1.0,0,0,0,-
김재유,롯데,중견수,55,38,339 1/3,3,0,88,3,1,0.968,0,0,0,-
김재유,롯데,좌익수,9,1,22,1,0,8,0,0,0.889,0,0,0,-
김재유,롯데,우익수,5,1,16,0,0,3,0,0,1.000,0,0,0,-
김주현,롯데,1루수,2,1,11,0,0,11,1,4,1.000,0,0,0,-
김진욱,롯데,투수,39,5,45 2/3,0,0,2,4,0,1.0,0,0,0,-
김창훈,롯데,투수,6,0,8,0,0,0,3,0,1.000,0,0,0,-
나균안,롯데,투수,23,7,46 1/3,0,1,0,8,0,1.000,0,0,0,-
