player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
61295,강동연,NC,7.83,12,3,2,0,1,0.600,23,25,4,14,0,14,21,20,1.7
50905,강태경,NC,5.68,3,0,1,0,0,0.000,12 2/3,13,2,10,2,10,8,8,1.82
60339,김건태,NC,5.4,6,0,0,0,0,-,6 2/3,2,1,7,0,5,4,4,1.35
68900,김영규,NC,5.37,37,5,3,0,6,0.625,63 2/3,69,10,28,1,42,40,38,1.52
75867,김진성,NC,7.17,42,2,4,1,9,0.333,37 2/3,43,7,18,1,37,34,30,1.62
67954,김진호,NC,27.0,1,0,1,0,0,0.000,1,2,0,3,0,1,3,3,5.0
50992,김태경,NC,4.8,7,0,0,0,0,-,15,11,1,9,1,10,8,8,1.33
67956,김태현,NC,11.81,6,0,0,0,0,-,5 1/3,5,0,7,4,3,8,7,2.25
69996,노시훈,NC,3.86,5,0,0,0,0,-,4 2/3,4,1,4,0,2,2,2,1.71
69940,루친스키,NC,3.17,30,15,10,0,0,0.6,178 2/3,160,12,55,10,177,76,63,1.2
69940,루친스키,NC,3.17,30,15,10,0,0,0.600,178 2/3,160,12,55,10,177,76,63,1.2
65949,류진욱,NC,2.08,44,1,0,1,7,1.000,43 1/3,40,2,22,0,31,15,10,1.43
65643,문경찬,NC,4.94,35,0,1,0,4,0.000,31,25,6,20,0,25,20,17,1.45
63991,박진우,NC,1.64,9,0,0,0,1,-,11,6,0,5,1,12,2,2,1.0
69974,배민서,NC,4.95,32,1,0,0,0,1.000,40,51,3,17,4,23,26,22,1.7
67962,소이현,NC,6.75,10,0,0,0,0,-,10 2/3,13,1,12,0,10,12,8,2.34
63914,손정욱,NC,6.57,15,1,0,0,0,1.000,12 1/3,17,1,7,0,8,9,9,1.95
69962,송명기,NC,5.91,24,8,9,0,0,0.471,123 1/3,147,12,58,9,102,83,81,1.66
68902,신민혁,NC,4.41,30,9,6,0,0,0.6,145,155,17,44,5,107,75,71,1.37
68902,신민혁,NC,4.41,30,9,6,0,0,0.600,145,155,17,44,5,107,75,71,1.37
50901,안인산,NC,5.4,7,0,0,0,0,-,6 2/3,3,0,7,3,9,5,4,1.5
76118,원종현,NC,4.25,61,2,2,14,6,0.500,53,67,5,23,3,45,27,25,1.7
68910,이승헌,NC,6.75,5,0,0,0,0,-,5 1/3,9,0,1,0,7,5,4,1.88
51948,이용준,NC,21.6,2,0,0,0,0,-,1 2/3,3,0,4,0,1,4,4,4.2
77211,이용찬,NC,2.19,39,1,3,16,3,0.250,37,27,2,11,1,35,11,9,1.03
65964,이우석,NC,5.59,10,1,0,0,0,1.000,9 2/3,13,1,7,3,8,6,6,2.07
60263,이재학,NC,5.2,17,6,6,0,0,0.500,83,74,14,52,6,65,50,48,1.52
63959,임정호,NC,4.15,60,0,4,0,12,0.000,34 2/3,37,2,25,3,24,20,16,1.79
78352,임창민,NC,3.79,46,0,3,0,17,0.000,40 1/3,35,2,20,4,29,23,17,1.36
62966,최금강,NC,4.5,20,2,1,1,0,0.667,28,29,4,17,2,25,14,14,1.64
51967,파슨스,NC,3.72,24,4,8,0,0,0.333,133,109,9,63,11,148,56,55,1.29
62655,홍성민,NC,3.92,53,3,4,0,14,0.429,41 1/3,53,3,12,2,26,19,18,1.57
