player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
51868,고명준,SSG,0.000,3,5,5,0,0,0,0,0,0,0,0,0
61353,고종욱,SSG,0.267,88,199,180,25,48,5,0,2,59,18,1,2
71837,김강민,SSG,0.238,122,260,223,43,53,11,1,8,90,27,3,3
69810,김규남,SSG,0.000,4,7,7,0,0,0,0,0,0,0,0,0
76430,김상수,SSG,-,3,0,0,0,0,0,0,0,0,0,0,0
76802,김성현,SSG,0.283,110,274,237,27,67,15,0,6,100,37,4,4
66917,김찬형,SSG,0.227,88,161,132,20,30,7,0,2,43,7,9,0
69825,김창평,SSG,0.080,40,28,25,6,2,0,0,0,2,1,2,0
79847,김태훈,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
65343,김택형,SSG,-,3,0,0,0,0,0,0,0,0,0,0,0
66052,남태혁,SSG,0.300,12,22,20,2,6,1,0,1,10,4,0,0
67872,로맥,SSG,0.225,107,421,355,55,80,11,0,20,151,52,0,3
64893,박민호,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
67893,박성한,SSG,0.302,135,471,407,53,123,21,1,4,158,44,12,2
64896,서동민,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
61895,서진용,SSG,0.000,5,1,1,0,0,0,0,0,0,0,0,0
62937,신재영,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
66864,안상현,SSG,0.256,37,40,39,9,10,2,0,1,15,4,0,0
61743,오준혁,SSG,0.217,26,50,46,7,10,2,0,2,18,5,0,0
60558,오태곤,SSG,0.268,122,253,235,47,63,10,0,9,100,35,1,1
64890,유서준,SSG,0.000,6,2,2,1,0,0,0,0,0,0,0,0
76812,이재원,SSG,0.280,107,313,271,29,76,13,0,3,98,30,6,2
67807,이정범,SSG,0.254,19,66,59,8,15,4,0,3,28,9,0,0
65869,이현석,SSG,0.266,39,89,79,7,21,5,0,4,38,19,3,2
63440,이흥련,SSG,0.236,90,146,127,15,30,3,0,3,42,14,2,0
51895,장지훈,SSG,-,2,0,0,0,0,0,0,0,0,0,0,0
71842,정상호,SSG,0.000,3,3,3,0,0,0,0,0,0,0,0,0
66960,정수민,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
75151,정의윤,SSG,0.230,62,178,165,21,38,2,0,7,61,24,0,2
51809,조요한,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
75847,최정,SSG,0.278,134,555,436,92,121,17,1,35,245,100,1,12
76267,최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,0,2
50854,최지훈,SSG,0.262,136,534,461,75,121,19,6,5,167,45,8,6
62884,최항,SSG,0.275,34,79,69,5,19,2,1,0,23,7,1,1
51817,추신수,SSG,0.265,137,580,461,84,122,19,2,21,208,69,0,4
69813,하재훈,SSG,-,2,0,0,0,0,0,0,0,0,0,0,0
62895,한유섬,SSG,0.278,135,519,442,71,123,18,1,31,236,95,1,6
