player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
51868,고명준,SSG,3,0,0,0,-,0,0
61353,고종욱,SSG,88,5,2,3,40.0,3,0
71837,김강민,SSG,122,6,3,3,50.0,3,0
69810,김규남,SSG,4,0,0,0,-,0,0
76430,김상수,SSG,3,0,0,0,-,0,0
76802,김성현,SSG,110,7,5,2,71.4,2,0
66917,김찬형,SSG,88,0,0,0,-,0,0
69825,김창평,SSG,40,3,2,1,66.7,0,0
79847,김태훈,SSG,1,0,0,0,-,0,0
65343,김택형,SSG,3,0,0,0,-,0,0
66052,남태혁,SSG,12,0,0,0,-,0,0
67872,로맥,SSG,107,1,1,0,100,6,0
64893,박민호,SSG,1,0,0,0,-,0,0
67893,박성한,SSG,135,17,12,5,70.6,3,0
64896,서동민,SSG,1,0,0,0,-,0,0
61895,서진용,SSG,5,0,0,0,-,0,0
62937,신재영,SSG,1,0,0,0,-,0,0
66864,안상현,SSG,37,4,3,1,75.0,1,0
61743,오준혁,SSG,26,0,0,0,-,0,0
60558,오태곤,SSG,122,13,9,4,69.2,0,0
64890,유서준,SSG,6,0,0,0,-,0,0
76812,이재원,SSG,107,2,0,2,0.0,2,0
67807,이정범,SSG,19,0,0,0,-,0,0
65869,이현석,SSG,39,0,0,0,-,2,0
63440,이흥련,SSG,90,0,0,0,-,0,0
51895,장지훈,SSG,2,0,0,0,-,0,0
71842,정상호,SSG,3,0,0,0,-,0,0
66960,정수민,SSG,1,0,0,0,-,0,0
75151,정의윤,SSG,62,0,0,0,-,0,0
51809,조요한,SSG,1,0,0,0,-,0,0
75847,최정,SSG,134,14,8,6,57.1,5,0
76267,최주환,SSG,116,3,2,1,66.7,3,1
50854,최지훈,SSG,136,32,26,6,81.3,4,2
62884,최항,SSG,34,1,1,0,100,0,0
51817,추신수,SSG,137,34,25,9,73.5,4,0
69813,하재훈,SSG,2,0,0,0,-,0,0
62895,한유섬,SSG,135,1,1,0,100,4,0
