선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,7
강한울,삼성,0.260,124,258,223,25,58,5,0,0,63,27,3,3
구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,1,12
권정웅,삼성,0.000,2,1,1,0,0,0,0,0,0,0,0,0
김도환,삼성,0.146,25,46,41,1,6,2,0,0,8,1,1,0
김동엽,삼성,0.238,69,203,185,20,44,9,0,4,65,24,0,4
김무신,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
김민수,삼성,0.263,47,87,76,9,20,5,0,3,34,13,2,2
김상수,삼성,0.235,132,496,429,46,101,17,1,3,129,42,8,4
김성윤,삼성,0.167,30,19,18,7,3,0,0,0,3,2,0,1
김성표,삼성,0.333,39,24,18,10,6,0,0,0,6,1,1,0
김응민,삼성,0.000,1,2,2,0,0,0,0,0,0,0,0,0
김지찬,삼성,0.274,120,336,296,50,81,6,0,1,90,26,10,3
김헌곤,삼성,0.281,118,364,317,38,89,8,2,4,113,27,3,5
김현준,삼성,0.250,13,4,4,2,1,0,0,0,1,0,0,0
김호재,삼성,0.227,87,90,75,9,17,2,0,0,19,7,3,1
노건우,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
문용익,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
박승규,삼성,0.182,59,78,66,13,12,1,0,3,22,5,1,0
박해민,삼성,0.291,127,542,454,78,132,22,1,5,171,54,9,7
백승민,삼성,0.000,4,3,3,0,0,0,0,0,0,0,0,0
송준석,삼성,0.235,19,55,51,5,12,2,0,2,20,4,0,0
안주형,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
오선진,삼성,0.214,23,46,42,5,9,0,0,0,9,2,0,0
오승환,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
오재일,삼성,0.285,120,484,418,64,119,20,0,25,214,97,0,8
이원석,삼성,0.231,131,480,399,40,92,19,0,9,138,59,2,8
이재익,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
이태훈,삼성,0.000,3,2,2,0,0,0,0,0,0,0,0,0
이학주,삼성,0.206,66,174,155,17,32,8,0,4,52,20,4,0
최영진,삼성,0.281,44,63,57,9,16,1,2,1,24,6,0,0
피렐라,삼성,0.286,140,621,553,102,158,25,2,29,274,97,0,3
