기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022-04-02,1,KT,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2022-04-02,1,두산,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2022-04-02,1,LG,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0
2022-04-02,1,SSG,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0
2022-04-02,1,롯데,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0
2022-04-02,6,삼성,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2022-04-02,6,키움,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2022-04-02,6,NC,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2022-04-02,6,KIA,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2022-04-02,6,한화,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2022-04-03,1,두산,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0
2022-04-03,1,LG,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0
2022-04-03,1,SSG,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0
2022-04-03,4,KT,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0
2022-04-03,4,삼성,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1
2022-04-03,4,키움,2,1,1,0,0.5,1.0,1승0무1패,1승,1-0-1,0-0-0
2022-04-03,4,롯데,2,1,1,0,0.5,1.0,1승0무1패,1패,0-0-0,1-0-1
2022-04-03,8,NC,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0
2022-04-03,8,KIA,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0
2022-04-03,8,한화,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2
2022-04-05,1,LG,3,3,0,0,1.0,0.0,3승0무0패,3승,0-0-0,3-0-0
2022-04-05,1,SSG,3,3,0,0,1.0,0.0,3승0무0패,3승,0-0-0,3-0-0
2022-04-05,3,두산,3,2,1,0,0.667,1.0,2승0무1패,1패,2-0-1,0-0-0
2022-04-05,3,삼성,3,2,1,0,0.667,1.0,2승0무1패,2승,0-0-0,2-0-1
2022-04-05,3,롯데,3,2,1,0,0.667,1.0,2승0무1패,1승,0-0-0,2-0-1
2022-04-05,6,KT,3,1,2,0,0.333,2.0,1승0무2패,2패,1-0-2,0-0-0
2022-04-05,6,키움,3,1,2,0,0.333,2.0,1승0무2패,1패,1-0-2,0-0-0
2022-04-05,6,KIA,3,1,2,0,0.333,2.0,1승0무2패,1승,1-0-2,0-0-0
2022-04-05,9,NC,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-3,0-0-0
2022-04-05,9,한화,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-0,0-0-3
2022-04-06,1,LG,4,4,0,0,1.0,0.0,4승0무0패,4승,0-0-0,4-0-0
2022-04-06,1,SSG,4,4,0,0,1.0,0.0,4승0무0패,4승,0-0-0,4-0-0
2022-04-06,3,삼성,4,3,1,0,0.75,1.0,3승0무1패,3승,0-0-0,3-0-1
2022-04-06,4,두산,4,2,2,0,0.5,2.0,2승0무2패,2패,2-0-2,0-0-0
2022-04-06,4,롯데,4,2,2,0,0.5,2.0,2승0무2패,1패,0-0-0,2-0-2
2022-04-06,4,KIA,4,2,2,0,0.5,2.0,2승0무2패,2승,2-0-2,0-0-0
2022-04-06,7,KT,4,1,3,0,0.25,3.0,1승0무3패,3패,1-0-3,0-0-0
2022-04-06,7,키움,4,1,3,0,0.25,3.0,1승0무3패,2패,1-0-3,0-0-0
2022-04-06,7,NC,4,1,3,0,0.25,3.0,1승0무3패,1승,1-0-3,0-0-0
2022-04-06,10,한화,4,0,4,0,0.0,4.0,0승0무4패,4패,0-0-0,0-0-4
2022-04-07,1,LG,5,5,0,0,1.0,0.0,5승0무0패,5승,0-0-0,5-0-0
2022-04-07,1,SSG,5,5,0,0,1.0,0.0,5승0무0패,5승,0-0-0,5-0-0
2022-04-07,3,두산,5,3,2,0,0.6,2.0,3승0무2패,1승,3-0-2,0-0-0
2022-04-07,3,삼성,5,3,2,0,0.6,2.0,3승0무2패,1패,0-0-0,3-0-2
2022-04-07,3,롯데,5,3,2,0,0.6,2.0,3승0무2패,1승,0-0-0,3-0-2
2022-04-07,3,KIA,5,3,2,0,0.6,2.0,3승0무2패,3승,3-0-2,0-0-0
2022-04-07,7,KT,5,1,4,0,0.2,4.0,1승0무4패,4패,1-0-4,0-0-0
2022-04-07,7,키움,5,1,4,0,0.2,4.0,1승0무4패,3패,1-0-4,0-0-0
2022-04-07,7,NC,5,1,4,0,0.2,4.0,1승0무4패,1패,1-0-4,0-0-0
2022-04-07,10,한화,5,0,5,0,0.0,5.0,0승0무5패,5패,0-0-0,0-0-5
2022-04-08,1,SSG,6,6,0,0,1.0,0.0,6승0무0패,6승,1-0-0,5-0-0
2022-04-08,2,LG,6,5,1,0,0.833,1.0,5승0무1패,1패,0-0-1,5-0-0
2022-04-08,3,두산,6,4,2,0,0.667,2.0,4승0무2패,2승,3-0-2,1-0-0
2022-04-08,4,삼성,6,3,3,0,0.5,3.0,3승0무3패,2패,0-0-1,3-0-2
2022-04-08,4,롯데,6,3,3,0,0.5,3.0,3승0무3패,1패,0-0-1,3-0-2
2022-04-08,4,KIA,6,3,3,0,0.5,3.0,3승0무3패,1패,3-0-2,0-0-1
2022-04-08,7,KT,6,2,4,0,0.333,4.0,2승0무4패,1승,1-0-4,1-0-0
2022-04-08,7,키움,6,2,4,0,0.333,4.0,2승0무4패,1승,1-0-4,1-0-0
2022-04-08,7,NC,6,2,4,0,0.333,4.0,2승0무4패,1승,1-0-4,1-0-0
2022-04-08,10,한화,6,0,6,0,0.0,6.0,0승0무6패,6패,0-0-1,0-0-5
2022-04-09,1,SSG,7,7,0,0,1.0,0.0,7승0무0패,7승,2-0-0,5-0-0
2022-04-09,2,LG,7,6,1,0,0.857,1.0,6승0무1패,1승,1-0-1,5-0-0
2022-04-09,3,두산,7,4,3,0,0.571,3.0,4승0무3패,1패,3-0-2,1-0-1
2022-04-09,3,롯데,7,4,3,0,0.571,3.0,4승0무3패,1승,1-0-1,3-0-2
2022-04-09,5,삼성,7,3,4,0,0.429,4.0,3승0무4패,3패,0-0-2,3-0-2
2022-04-09,5,키움,7,3,4,0,0.429,4.0,3승0무4패,2승,1-0-4,2-0-0
2022-04-09,5,KIA,7,3,4,0,0.429,4.0,3승0무4패,2패,3-0-2,0-0-2
